Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type ,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,,S,SA,26,18-19,,164.8453433,1.17,212,,11.31934,77.9526,GOOD,GOOD,22KV-1,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9526 11.31934, 77.95367 11.31847)"
20,,S,SA,26,19-20,,151.4819045,2.16,211,,11.31847,77.95367,GOOD,GOOD,WIRE CABLE-1,TAR ROAD CROSSING,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95367 11.31847, 77.95596 11.31662)"
21,,T,SD,28,20-21,,323.360418,5.96,208,"44°15'21""(RT)",11.31662,77.95596,GOOD,GOOD,,,SMALL ROCK CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95596 11.31662, 77.95627 11.31391)"
22,,S,SA,26,21-22,,301.9445847,3.02,208,,11.31391,77.95627,GOOD,GOOD,LT-1,SAND ROAD CROSSING,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95627 11.31391, 77.95654 11.31131)"
23,,S,SA,26,22-23,,289.3678299,1.76,209,,11.31131,77.95654,GOOD,GOOD,,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95654 11.31131, 77.95683 11.30872)"
24,,S,SA,26,23-24,,288.4983747,0.13,211,,11.30872,77.95683,GOOD,GOOD,LT-1,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95683 11.30872, 77.95713 11.30608)"
25,,S,SA,26,24-25,,294.1211211,1.09,216,,11.30608,77.95713,GOOD,GOOD,LT-2,TAR ROAD CROSSING-2,SMALL ROCK CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95713 11.30608, 77.95742 11.30335)"
26,,T,SB,24,25-26,,303.9096378,2.13,221,"14°21'53""(RT)",11.30335,77.95742,GOOD,GOOD,,SAND ROAD CROSSING,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95742 11.30335, 77.95702 11.30067)"
27,,S,SA,26,26-27,,299.9192588,2.21,221,,11.30067,77.95702,GOOD,GOOD,,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95702 11.30067, 77.95663 11.29821)"
28,,S,SA,26,27-28,,275.6736535,0.18,218,,11.29821,77.95663,GOOD,GOOD,LT-1,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95663 11.29821, 77.95624 11.29571)"
29,,S,SA,26,28-29,,280.0497866,1.34,223,,11.29571,77.95624,GOOD,GOOD,LT-1,SAND ROAD CROSSING,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95624 11.29571, 77.95585 11.29319)"
30,,S,SA,26,29-30,,282.2384238,0.78,221,,11.29319,77.95585,GOOD,GOOD,"LT-1,22KV-1",,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95585 11.29319, 77.95541 11.29046)"
31,,S,SA,26,30-31,,306.0527956,0.46,225,,11.29046,77.95541,GOOD,GOOD,,,SMALL ROCK CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95541 11.29046, 77.95506 11.28811)"
32,,T,SC,26,31-32,,262.9766301,1.67,231,"21°29'31""(LT)",11.28811,77.95506,GOOD,GOOD,,,SMALL ROCK CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95506 11.28811, 77.95566 11.285571)"
33,,S,SA,26,32-33,,288.6509124,0.57,227,,11.285571,77.95566,GOOD,GOOD,33KV-1,TAR ROAD CROSSING,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95566 11.285571, 77.95638 11.28282)"
34,2W,T,SC,26,33-34,,314.5759199,0.38,226,"19°37'50""(RT)",11.28282,77.95638,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95638 11.28282, 77.95613 11.28008)"
35,,S,SA,26,34-35,,304.587219,3.14,228,,11.28008,77.95613,GOOD,GOOD,LT-1,SAND ROAD CROSSING,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95613 11.28008, 77.95591 11.27731)"
36,,S,SA,26,35-36,,307.6217726,1.58,227,,11.27731,77.95591,GOOD,GOOD,,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95591 11.27731, 77.95565 11.27459)"
37,,S,SA,26,36-37,,302.482427,0.81,224,,11.27459,77.95565,GOOD,GOOD,,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95565 11.27459, 77.95542 11.27182)"
38,,S,SA,26,37-38,,307.7089193,1.31,223,,11.27182,77.95542,GOOD,GOOD,,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95542 11.27182, 77.95518 11.26907)"
39,,S,SA,26,38-39,,305.5938347,2.67,223,,11.26907,77.95518,GOOD,GOOD,22KV-1,TAR ROAD CROSSING,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95518 11.26907, 77.95509 11.26786)"
40,,S,SA,26,39-40,,134.3256773,0.77,221,,11.26786,77.95509,GOOD,GOOD,,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95509 11.26786, 77.95496 11.26628)"
41,2W,T,SC,26,40-41,,175.5055763,7.86,221,"18°21'22""(RT)",11.26628,77.95496,GOOD,GOOD,,,SMALL ROCK CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95496 11.26628, 77.9541 11.26428)"
42,,S,SA,26,41-42,,240.550284,1.22,217,,11.26428,77.9541,GOOD,GOOD,,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9541 11.26428, 77.95327 11.26219)"
43,,S,SA,26,42-43,,248.5377534,2.75,211,,11.26219,77.95327,GOOD,GOOD,,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95327 11.26219, 77.95242 11.26016)"
44,,T,SD,28,43-44,,243.1917382,1.5,206,"27°47'48""(RT)",11.26016,77.95242,GOOD,GOOD,LT-1,TAR ROAD CROSSING,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95242 11.26016, 77.95041 11.25851)"
45,,T,DC,28,44-45,,285.7020403,1.92,199,"59°38'12""(RT)",11.25851,77.95041,GOOD,GOOD,22KV LINE CROSSING,,PLAIN,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95041 11.25851, 77.95027 11.25856)"
NALLUR GANTRY,2W,T,T,20,45-GANTRY,,16.27092623,,202,,11.25856,77.95027,GOOD,GOOD,COMPOUND WALL CROSSING,,TOWER IN TAPPING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Length ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
