,Tower No,JOINT BOX, Supspension/Tenion,TOWER TYPE,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
32,T.NO 32,,T,DB,24,31-32,NO,228.1096228,7.15,358,"2°1'4""",77.33513889,11.21875,GOOD,GOOD,,MUD ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33513888888888 11.21875, 77.33375 11.219666666666667)"
33,T.NO 33,,T,DB,24,32-33,NO,182.5376673,5.6,359,"3°16'0""",77.33375,11.21966667,GOOD,GOOD,,DRAIN,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33375 11.219666666666667, 77.33202777777777 11.220888888888888)"
34,T.NO 34,,T,DC,26,33-34,NO,232.8454423,2.44,360,"25°42'28""",77.33202778,11.22088889,GOOD,GOOD,,DRAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33202777777777 11.220888888888888, 77.33066666666666 11.22113888888889)"
35,T.NO 35,,T,DD,28,34-35,NO,149.2816131,4.1,361,"31°8'26""",77.33066667,11.22113889,GOOD,GOOD,,DRAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33066666666666 11.22113888888889, 77.32922222222221 11.220611111111111)"
36,T.NO 36,,T,DD,28,35-36,YES,169.3664666,3.8,362,"37°30'7""",77.32922222,11.22061111,GOOD,GOOD,11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32922222222221 11.220611111111111, 77.32766666666666 11.218111111111112)"
37,T.NO 37,,S,DA,26,36-37,NO,324.4842061,5.3,363,,77.32766667,11.21811111,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32766666666666 11.218111111111112, 77.32622222222221 11.215777777777777)"
38,T.NO 38,,S,DA,26,37-38,NO,301.3254055,2.8,364,,77.32622222,11.21577778,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32622222222221 11.215777777777777, 77.32513888888889 11.213999999999999)"
39,T.NO 39,,T,DC,26,38-39,NO,230.8462692,6.4,365,"18°12'48""",77.32513889,11.214,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32513888888889 11.213999999999999, 77.32475 11.212277777777777)"
40,T.NO 40,,T,DB,24,39-40,YES,193.3959669,3.2,366,"5°36'11""",77.32475,11.21227778,GOOD,GOOD,2nos 11kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32475 11.212277777777777, 77.32405555555555 11.210194444444443)"
41,T.NO 41,,T,DB,24,40-41,NO,244.7733646,3.15,367,"3°31'40""",77.32405556,11.21019444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32405555555555 11.210194444444443, 77.32397222222222 11.209972222222222)"
42,GANTRY 110KV NETHAJI SS,2W,GANTRY,GANTRY,20,,,24.69817807,,368,,77.32397222,11.20997222,GOOD,GOOD,,,,NETHAJI PARK SUB STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TOTAL,8365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
