S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,
13,T.NO 13,T,DB,33,12-13,151.56846637740978,1,473,"2°25'47""",76.91511111111112,11.065750000000001,G00D,GOOD,,"TAAR ROAD,RIVER",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91511111111112 11.065750000000001, 76.9145 11.067222222222222)",,
14,T.NO 14,T,DD,37,13-14,174.77127910500627,1.28,481,"54°29'47""",76.9145,11.067222222222222,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9145 11.067222222222222, 76.91163888888889 11.06786111111111)",,
15,T.NO 15,T,DB,33,14-15,320.73197533142843,1.45,476,"8°16'55""",76.91163888888889,11.06786111111111,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91163888888889 11.06786111111111, 76.90905555555557 11.068861111111111)",,
16,T.NO 16,T,DB,33,15-16,302.9075766632456,0.8,481,"5°40'37""",76.90905555555557,11.068861111111111,G00D,GOOD,,"TAAR ROAD,RIVER",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90905555555557 11.068861111111111, 76.90661111111112 11.070083333333333)",,
17,T.NO 17,T,DD,37,16-17,299.63310898497184,1.2,480,"33°44'59""",76.90661111111112,11.070083333333333,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90661111111112 11.070083333333333, 76.90552777777778 11.071972222222222)",,
18,T.NO 18,T,DC,35,17-18,238.27085428142487,1.6,485,"21°35'50""",76.90552777777778,11.071972222222222,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90552777777778 11.071972222222222, 76.90444444444445 11.072833333333334)",,
19,T.NO 19,T,DD,37,18-19,155.08062419270823,1.3,499,"48°19'22""",76.90444444444445,11.072833333333334,G00D,GOOD,LT,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90444444444445 11.072833333333334, 76.90144444444445 11.07236111111111)",,
20,T.NO 20,T,DC,35,19-20,329.6209944769902,1,490,"27°54'9""",76.90144444444445,11.07236111111111,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.90144444444445 11.07236111111111, 76.89936111111112 11.070805555555555)",,
21,T.NO 21,T,DB,33,20-21,287.4178143400301,1.4,493,"7°44'12""",76.89936111111112,11.070805555555555,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89936111111112 11.070805555555555, 76.89719444444445 11.069583333333332)",,
22,T.NO 22,T,DC,35,21-22,271.88416651213805,1.9,490,"27°43'32""",76.89719444444445,11.069583333333332,G00D,GOOD,,"TAAR ROAD,RIVER",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89719444444445 11.069583333333332, 76.8948888888889 11.069527777777777)",,
23,T.NO 23,T,DB,24,22-23,252.1606630701942,6.15,492,"7°59'4""",76.8948888888889,11.069527777777777,G00D,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8948888888889 11.069527777777777, 76.89216666666667 11.069833333333333)",,
24,T.NO 24 LILO CHINNATHADAGAM,T,DC,35,23-24,299.60807732769825,3.85,497,"23°50'18""",76.89216666666667,11.069833333333333,G00D,GOOD,LT,RIVER,WATER LOGGED,CHINNATHADAGAM LILO.NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89216666666667 11.069833333333333, 76.89069444444445 11.06936111111111)",,
25,T.NO 25,T,DB,24,24-25,169.1892431568863,1,496,"9°21'59""",76.89069444444445,11.06936111111111,G00D,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89069444444445 11.06936111111111, 76.88950000000001 11.06875)",,
26,T.NO 26,T,DC,35,25-26,146.24978632463024,1,502,"18°47'3""",76.88950000000001,11.06875,G00D,GOOD,3nos LT,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88950000000001 11.06875, 76.88738888888889 11.068472222222223)",,
27,T.NO 27,T,DC,26,26-27,230.52114870440846,1,501,"20°38'12""",76.88738888888889,11.068472222222223,G00D,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88738888888889 11.068472222222223, 76.88622222222223 11.068722222222222)",,
28,T.NO 28,T,DD,40,27-28,132.9812016790343,0.78,504,"36°24'32""",76.88622222222223,11.068722222222222,G00D,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88622222222223 11.068722222222222, 76.88455555555556 11.068)",,
29,T.NO 29,T,DC,38,28-29,199.61963831246663,1.9,510,"29°16'51""",76.88455555555556,11.068,G00D,GOOD,"TF,HT,2nos LT","TAAR ROAD,RIVER",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88455555555556 11.068, 76.88255555555556 11.068194444444444)",,
30,T.NO 30,T,DB,24,29-30,216.8340379184043,2.05,512,"14°50'18""",76.88255555555556,11.068194444444444,G00D,GOOD,3nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88255555555556 11.068194444444444, 76.88013888888888 11.067777777777778)",,
31,T.NO 31,T,DD,28,30-31,269.9481431682759,1.35,516,"83°29'59""",76.88013888888888,11.067777777777778,G00D,GOOD,LT,"CANAL,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88013888888888 11.067777777777778, 76.88024999999999 11.065583333333334)",,
32,T.NO 32,T,DD,28,31-32,242.404620418011,3.85,515,"40°55'18""",76.88024999999999,11.065583333333334,G00D,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88024999999999 11.065583333333334, 76.88225 11.063527777777779)",,
33,T.NO 33,T,DB,24,32-33,316.8122472380132,1.5,537,"6°21'28""",76.88225,11.063527777777779,G00D,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88225 11.063527777777779, 76.88302777777777 11.062555555555557)",,
34,T.NO 34,T,DB,24,33-34,136.82105101189657,2.35,617,"12°22'44""",76.88302777777777,11.062555555555557,G00D,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88302777777777 11.062555555555557, 76.88388888888889 11.061833333333334)",,
35,T.NO 35,T,DB,24,34-35,123.5556554755791,1.85,669,"16°20'11""",76.88388888888889,11.061833333333334,G00D,GOOD,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88388888888889 11.061833333333334, 76.88458333333334 11.060777777777778)",,
36,T.NO 36,T,DB,24,35-36,139.7855500400524,2.45,713,"4°10'21""",76.88458333333334,11.060777777777778,G00D,GOOD,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88458333333334 11.060777777777778, 76.885 11.060083333333335)",,
37,T.NO 37,T,DB,24,36-37,88.68483523128404,3.95,690,"10°55'1""",76.885,11.060083333333335,G00D,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.885 11.060083333333335, 76.88558333333334 11.059361111111112)",,
38,T.NO 38,T,DB,24,37-38,102.82509421342633,5.15,623,"2°23'52""",76.88558333333334,11.059361111111112,G00D,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88558333333334 11.059361111111112, 76.88611111111112 11.058722222222222)",,
39,T.NO 39,T,DB,24,38-39,90.4267659490264,7.15,573,"0°1'4""",76.88611111111112,11.058722222222222,G00D,GOOD,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88611111111112 11.058722222222222, 76.88769444444445 11.056694444444446)",,
40,T.NO 40,T,DD,28,39-40,284.0862545073239,12,505,"34°54'55""",76.88769444444445,11.056694444444446,G00D,GOOD,2nos HT,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88769444444445 11.056694444444446, 76.88772222222222 11.056555555555557)",,
41,GANTRY SOMAYANPALAYAM ,,,20,40 -GANTRY,17.029386365926403,,504,,76.88772222222222,11.056555555555557,G00D,MISSING,,,,NO EARTH WIRE.SOMAYAMPALAYAM 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,8017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
