Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 24,,S,DA,26,23-24,216.3792966,6.93,425,,76.93638889,10.99222222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9363888888889 10.992222222222221, 76.93611111111112 10.99025)"
T.NO 25,,S,DA,26,24-25,221.903132,7.25,425,,76.93611111,10.99025,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93611111111112 10.99025, 76.93580555555556 10.988388888888888)"
T.NO 26,2W,T,DB,24,25-26,208.173005,7.43,425,"0°10'48""",76.93580556,10.98838889,GOOD,GOOD,"LT,11kv",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93580555555556 10.988388888888888, 76.93561111111111 10.986944444444443)"
T.NO 27,,S,DA,26,26-27,160.5147968,2.13,423,,76.93561111,10.98694444,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93561111111111 10.986944444444443, 76.93530555555556 10.984888888888888)"
T.NO 28,,S,DA,26,27-28,229.1069619,3.04,423,,76.93530556,10.98488889,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93530555555556 10.984888888888888, 76.935 10.982861111111111)"
T.NO 29,,S,DA,26,28-29,228.2542442,6.93,422,,76.935,10.98286111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.935 10.982861111111111, 76.93469444444445 10.980916666666667)"
T.NO 30,,T,DB,24,29-30,217.5178154,7.46,421,"0°43'25""",76.93469444,10.98091667,GOOD,GOOD,,DRAIN,CULTI VACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93469444444445 10.980916666666667, 76.93561111111111 10.97963888888889)"
T.NO 31,,T,MD,45,30-31,171.8196729,5.12,421,"44°43'44""",76.93561111,10.97963889,GOOD,GOOD,LT,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93561111111111 10.97963888888889, 76.93716666666667 10.977583333333333)"
T.NO 32,,T,MB,45,31-32,286.4000698,5.65,419,"0°27'1""",76.93716667,10.97758333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93716666666667 10.977583333333333, 76.9383888888889 10.975888888888889)"
T.NO 33,,S,DA,26,32-33,227.6224945,3.74,421,,76.93838889,10.97588889,GOOD,GOOD,"2nos LT,2nos 11kv","DRAIN,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9383888888889 10.975888888888889, 76.93961111111112 10.974222222222222)"
T.NO 34,,S,DA,26,33-34,228.2126202,6.12,419,,76.93961111,10.97422222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93961111111112 10.974222222222222, 76.94080555555556 10.972583333333333)"
T.NO 35,,T,DB,24,34-35,224.0200884,4.12,420,"0°21'2""",76.94080556,10.97258333,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94080555555556 10.972583333333333, 76.94241666666667 10.970416666666667)"
T.NO 36/1 UKKADAM LILO,3W,T,DB,24,35-36,298.2096578,4.74,419,"0°18'22""",76.94241667,10.97041667,GOOD,GOOD,,,PLAIN,UKKADAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94241666666667 10.970416666666667, 76.94308333333333 10.969444444444445)"
T.NO 37 ,,T,DB,24,36-37,129.034879,1.46,421,"0°16'46""",76.94308333,10.96944444,GOOD,GOOD,,,CULTI VACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94308333333333 10.969444444444445, 76.94452777777778 10.967527777777779)"
T.NO 38,,S,DA,26,37-38,265.2036953,4.17,423,,76.94452778,10.96752778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94452777777778 10.967527777777779, 76.94577777777778 10.965777777777777)"
T.NO 39,,S,DA,26,38-39,237.0337529,5.27,420,,76.94577778,10.96577778,GOOD,GOOD,3nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94577777777778 10.965777777777777, 76.94702777777778 10.964055555555555)"
T.NO 40,,S,DA,26,39-40,235.4166519,6.19,420,,76.94702778,10.96405556,GOOD,GOOD,"3nos LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94702777777778 10.964055555555555, 76.94830555555556 10.962361111111111)"
T.NO 41,,T,DB,24,40-41,232.0021552,7.07,419,"0°13'32""",76.94830556,10.96236111,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94830555555556 10.962361111111111, 76.94952777777779 10.960666666666667)"
T.NO 42,,S,DA,26,41-42,231.2249986,4.98,420,,76.94952778,10.96066667,GOOD,GOOD,"LT,2nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94952777777779 10.960666666666667, 76.95075 10.959)"
T.NO 43,,S,DA,26,42-43,226.4508777,5.12,420,,76.95075,10.959,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95075 10.959, 76.95194444444445 10.95736111111111)"
T.NO 44,,S,DA,26,43-44,223.0022421,6.07,421,,76.95194444,10.95736111,GOOD,GOOD,2nos HT,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95194444444445 10.95736111111111, 76.95336111111111 10.955416666666666)"
T.NO 45,,T,DB,24,44-45,265.8589852,4.95,420,"0°41'32""",76.95336111,10.95541667,GOOD,GOOD,"LT,HT",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95336111111111 10.955416666666666, 76.95444444444445 10.953944444444444)"
T.NO 46,,T,DB,24,45-46,201.4000993,3.96,420,"1°15'50""",76.95444444,10.95394444,GOOD,GOOD,"LT,2nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95444444444445 10.953944444444444, 76.95508333333333 10.953083333333332)"
T.NO 47 KUNIYAMUTHUR SS,3W,T,DB,24,46-47,117.8006791,3.87,421,"0°8'16""",76.95508333,10.95308333,GOOD,GOOD,LT,TAAR ROAD,PLAIN,KUNIYAMUTHUR SS NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95508333333333 10.953083333333332, 76.95572222222222 10.95225)"
T.NO 48,,T,DB,24,47-48,116.6061748,3.21,425,"0°47'3""",76.95572222,10.95225,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95572222222222 10.95225, 76.9568888888889 10.950638888888887)"
T.NO 49,,T,DB,24,48-49,219.020547,3.29,426,"2°19'15""",76.95688889,10.95063889,GOOD,GOOD,2nos LT,2nos MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9568888888889 10.950638888888887, 76.9581388888889 10.949111111111112)"
T.NO 50,,S,DA,26,49-50,217.278623,2.89,427,,76.95813889,10.94911111,GOOD,GOOD,"LT,2nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9581388888889 10.949111111111112, 76.95969444444445 10.947222222222223)"
T.NO 51,,S,DA,26,50-51,270.675082,2.87,426,,76.95969444,10.94722222,GOOD,GOOD,3nos LT,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95969444444445 10.947222222222223, 76.96088888888889 10.94575)"
T.NO 52,,S,DA,26,51-52,206.9323561,3.47,416,,76.96088889,10.94575,GOOD,GOOD,"4nos LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96088888888889 10.94575, 76.96230555555556 10.944055555555556)"
T.NO 53,,T,DB,24,52-53,242.8868049,4.31,414,"0°54'53""",76.96230556,10.94405556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96230555555556 10.944055555555556, 76.9635 10.942583333333333)"
T.NO 54,,S,DA,26,53-54,208.8300745,3.11,411,,76.9635,10.94258333,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9635 10.942583333333333, 76.96475000000001 10.941055555555556)"
T.NO 55,,S,DA,26,54-55,219.592805,3.74,407,,76.96475,10.94105556,GOOD,GOOD,LT,,CULTI VACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96475000000001 10.941055555555556, 76.96616666666667 10.939388888888889)"
T.NO 56,,S,DA,26,55-56,239.9416596,3.47,405,,76.96616667,10.93938889,GOOD,GOOD,,,HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96616666666667 10.939388888888889, 76.96747222222223 10.937777777777779)"
T.NO 57,,S,DA,26,56-57,228.1775624,5.17,412,,76.96747222,10.93777778,GOOD,GOOD,2nos LT,MUD ROAD,HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96747222222223 10.937777777777779, 76.96811111111111 10.937027777777779)"
T.NO 58,,T,DB,24,57-58,107.6289924,4.68,411,"0°35'6""",76.96811111,10.93702778,GOOD,GOOD,3nos LT,TAAR ROAD,HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96811111111111 10.937027777777779, 76.96983333333334 10.934944444444445)"
T.NO 59,,S,DA,26,58-59,299.2407058,7.43,390,,76.96983333,10.93494444,GOOD,GOOD,,,HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96983333333334 10.934944444444445, 76.97108333333334 10.933444444444445)"
T.NO 60,,S,DA,26,59-60,214.2195136,3.52,387,,76.97108333,10.93344444,GOOD,GOOD,"LT,HT",2nos MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97108333333334 10.933444444444445, 76.97247222222222 10.931861111111111)"
T.NO 61/1 LILO SIDCO,3W,T,DB,33,60-61,231.1406498,5.18,390,"0°41'19""",76.97247222,10.93186111,GOOD,GOOD,HT,TAAR ROAD,PLAIN,SIDCO LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97247222222222 10.931861111111111, 76.97369444444445 10.930361111111111)"
T.NO 62,,T,DB,33,61-62,212.4170426,4.38,389,"0°46'32""",76.97369444,10.93036111,GOOD,GOOD,,"ELECT-RAILWAY,TAAR ROAD",PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97369444444445 10.930361111111111, 76.97494444444445 10.928888888888888)"
T.NO 63,,S,DA,26,62-63,212.9272176,4.01,384,,76.97494444,10.92888889,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97494444444445 10.928888888888888, 76.97627777777778 10.927305555555556)"
T.NO 64,,S,DA,26,63-64,227.7827913,5.31,378,,76.97627778,10.92730556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97627777777778 10.927305555555556, 76.97752777777778 10.925805555555556)"
T.NO 65,,S,DA,26,64-65,215.7452201,5.21,372,,76.97752778,10.92580556,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97752777777778 10.925805555555556, 76.979 10.924083333333332)"
T.NO 66,,S,DA,26,65-66,249.0401574,4.05,375,,76.979,10.92408333,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.979 10.924083333333332, 76.98005555555555 10.922805555555556)"
T.NO 67,,S,DA,26,66-67,183.8613608,3.92,372,,76.98005556,10.92280556,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98005555555555 10.922805555555556, 76.98152777777779 10.921)"
T.NO 68,,T,DB,24,67-68,254.4209111,4.38,366,"0°5'13""",76.98152778,10.921,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98152777777779 10.921, 76.98311111111111 10.919166666666666)"
T.NO 69,,S,DA,26,68-69,267.2620437,5.21,372,,76.98311111,10.91916667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98311111111111 10.919166666666666, 76.98452777777779 10.917527777777778)"
T.NO 70,,T,DB,24,69-70,239.6038397,4.61,379,"0°50'15""",76.98452778,10.91752778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98452777777779 10.917527777777778, 76.9858611111111 10.915916666666668)"
T.NO 71,,T,DB,24,70-71,229.4449825,5.95,381,"1°2'33""",76.98586111,10.91591667,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9858611111111 10.915916666666668, 76.9871388888889 10.914333333333333)"
T.NO 72,,S,DA,26,71-72,224.5885126,4.82,372,,76.98713889,10.91433333,GOOD,GOOD,"2nos LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9871388888889 10.914333333333333, 76.98880555555556 10.912416666666667)"
T.NO 73,,S,DA,26,72-73,278.6485241,3.92,377,,76.98880556,10.91241667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98880555555556 10.912416666666667, 76.98997222222222 10.911027777777779)"
T.NO 74,,S,DA,26,73-74,199.4818287,4.62,383,,76.98997222,10.91102778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98997222222222 10.911027777777779, 76.99113888888888 10.909611111111111)"
T.NO 75,,S,DA,26,74-75,204.4749373,3.12,379,,76.99113889,10.90961111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99113888888888 10.909611111111111, 76.99272222222223 10.90775)"
T.NO 76,2W,T,DB,24,75-76,266.0695398,2.65,379,"0°18'55""",76.99272222,10.90775,GOOD,GOOD,2nos LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99272222222223 10.90775, 76.99402777777777 10.906194444444445)"
T.NO 77,,S,DA,26,76-77,224.9644416,2.99,377,,76.99402778,10.90619444,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99402777777777 10.906194444444445, 76.99558333333333 10.904388888888889)"
T.NO 78,,S,DA,26,77-78,263.1368465,4.65,380,,76.99558333,10.90438889,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99558333333333 10.904388888888889, 76.99666666666667 10.903083333333333)"
T.NO 79,,S,DA,26,78-79,186.0376306,3.96,384,,76.99666667,10.90308333,GOOD,GOOD,"2nos LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99666666666667 10.903083333333333, 76.99816666666666 10.901277777777779)"
T.NO 80,,T,DB,24,79-80,256.9708155,3.12,384,"0°15'47""",76.99816667,10.90127778,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99816666666666 10.901277777777779, 76.99933333333334 10.899888888888889)"
T.NO 81,,T,DB,24,80-81,200.7710138,4.02,388,"2°21'30""",76.99933333,10.89988889,GOOD,GOOD,"LT,2nos HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99933333333334 10.899888888888889, 77.00044444444444 10.898305555555556)"
T.NO 82,,S,DA,26,81-82,213.0844903,3.97,383,,77.00044444,10.89830556,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00044444444444 10.898305555555556, 77.00177777777778 10.896583333333332)"
T.NO 83,,S,DA,26,82-83,239.0083681,4.19,382,,77.00177778,10.89658333,GOOD,GOOD,2nos HT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00177777777778 10.896583333333332, 77.00341666666667 10.894194444444445)"
T.NO 84,,T,DB,24,83-84,320.6555785,3.38,380,"3°0'28""",77.00341667,10.89419444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00341666666667 10.894194444444445, 77.00363888888889 10.893194444444443)"
T.NO 85,,T,DC,26,84-85,112.8051417,2.9,380,"21°46'40""",77.00363889,10.89319444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00363888888889 10.893194444444443, 77.00172222222223 10.892999999999999)"
T.NO 86,,T,DD,28,85-86,211.2557692,5.18,381,"96°33'14""",77.00172222,10.893,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00172222222223 10.892999999999999, 77.0015 10.892694444444444)"
87DP1,,T,DP,28,86-87DP1,39.66106403,,378,"50°3'35""",77.0015,10.89269444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0015 10.892694444444444, 77.0015 10.892444444444443)"
87DP2,,T,DP,28,87DP1-87DP2,28.01785145,,378,"31°38'41""",77.0015,10.89244444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0015 10.892444444444443, 77.00136111111111 10.892333333333333)"
T.NO 88,,T,DD,28,87DP2-88,21.26029163,7.39,386,"46°46'7""",77.00136111,10.89233333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00136111111111 10.892333333333333, 77.00130555555556 10.891972222222222)"
GANTRY O.K MANDAPAM 230KV SS,2W,,GANTRY,20,88-GANTRY,38.47076812,,386,,77.00130556,10.89197222,GOOD,MSSING,,,PLAIN,O.K MANDAPAM 230KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
