Tower No,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 10,T,DD+3,31,9-10,292.138665705175,3.73,358,"66°35'51""",77.32327777777778,11.012,GOOD,GOOD,NIL,DRAIN,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32327777777778 11.012, 77.32397222222222 11.0105)"
T.NO 11,T,DB,24,10-11,183.412104289766,3.51,360,"11°38'54""",77.32397222222222,11.0105,GOOD,GOOD,NIL,NIL,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32397222222222 11.0105, 77.3243611111111 11.008833333333333)"
T.NO 12,T,DD+3,31,11-12,188.2153022471871,3.23,362,"55°51'53""",77.3243611111111,11.008833333333333,GOOD,GOOD,NIL,DRAIN,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3243611111111 11.008833333333333, 77.32627777777778 11.008111111111111)"
T.NO 13,T,DD+3,31,12-13,224.3680012836055,5.47,362,"45°19'22""",77.32627777777778,11.008111111111111,GOOD,GOOD,HT,"TAAR ROAD,DRAIN",WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32627777777778 11.008111111111111, 77.32713888888888 11.00613888888889)"
T.NO 14,T,DC,26,13-14,235.4591259645716,6.74,363,"28°15'11""",77.32713888888888,11.00613888888889,GOOD,GOOD,NIL,NIL,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32713888888888 11.00613888888889, 77.32886111111111 11.004833333333334)"
T.NO 15,T,DD+6,34,14-15,238.8242031285774,8.37,362,"30°36'41""",77.32886111111111,11.004833333333334,GOOD,GOOD,NIL,DRAIN,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32886111111111 11.004833333333334, 77.32958333333333 11.003)"
T.NO 16,T,DD,28,15-16,216.33538776631067,5.3,359,"32°5'5""",77.32958333333333,11.003,GOOD,GOOD,NIL,NIL,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32958333333333 11.003, 77.3291111111111 11.000638888888888)"
T.NO 17,T,DD,28,16-17,266.36065775560775,6.8,364,"47°22'55""",77.3291111111111,11.000638888888888,GOOD,GOOD,NIL,NIL,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3291111111111 11.000638888888888, 77.33055555555555 10.998722222222222)"
T.NO 18,T,DC,26,17-18,264.20068130116545,2.45,369,"18°19'25""",77.33055555555555,10.998722222222222,GOOD,GOOD,HT,NIL,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33055555555555 10.998722222222222, 77.332 10.99772222222222)"
T.NO 19,T,DB,24,18-19,193.3416664870767,2.79,367,"0°17'54""",77.332,10.99772222222222,GOOD,GOOD,LT,NIL,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.332 10.99772222222222, 77.33402777777778 10.996277777777777)"
T.NO 20,T,DC,26,19-20,272.1488563268271,4.23,368,"27°6'3""",77.33402777777778,10.996277777777777,GOOD,GOOD,LT,MUD ROAD,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33402777777778 10.996277777777777, 77.33574999999999 10.996027777777776)"
T.NO 21,T,DC,26,20-21,189.7893569197177,5.33,368,"21°3'43""",77.33574999999999,10.996027777777776,GOOD,GOOD,NIL,NIL,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33574999999999 10.996027777777776, 77.33744444444444 10.996472222222222)"
T.NO 22,S ,DA+9,35,21-22,191.3792047219342,7.23,368,"0°0'0""",77.33744444444444,10.996472222222222,GOOD,GOOD,2nos LT,TAAR ROAD,WATER LOGGED,SINGANURPUDHUR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33744444444444 10.996472222222222, 77.33922222222222 10.99686111111111)"
T.NO 23,S,DA+9,35,22-23,197.9520143873257,8,368,"0°0'0""",77.33922222222222,10.99686111111111,GOOD,GOOD,"2nos LT,HT",RIVER,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33922222222222 10.99686111111111, 77.34188888888889 10.997416666666666)"
T.NO 24,T,DD,28,23-24,298.9314302645341,5.25,368,"39°28'47""",77.34188888888889,10.997416666666666,GOOD,GOOD,NIL,MUD ROAD,WATER LOGGED,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34188888888889 10.997416666666666, 77.34341666666666 10.996638888888889)"
T.NO 25,T,DC,26,24-25,187.3846311734236,6.25,368,"19°10'14""",77.34341666666666,10.996638888888889,GOOD,GOOD,"LT,HT",NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34341666666666 10.996638888888889, 77.34452777777777 10.9955)"
T.NO 26,T,DC,26,25-26,175.3681841155915,5.75,368,"25°45'15""",77.34452777777777,10.9955,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34452777777777 10.9955, 77.34636111111111 10.994833333333332)"
T.NO 27,T,DD,28,26-27,213.506440183897,8,368,"74°41'27""",77.34636111111111,10.994833333333332,,2W,,,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.NO 39,T,DB,24,38-39,324.82148943689054,4.52,368,"8°3'19""",77.36955555555555,10.991722222222222,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36955555555555 10.991722222222222, 77.37172222222222 10.992388888888888)"
T.NO 40,S,DA,26,39-40,247.63077353188558,5.78,368,"0°0'0""",77.37172222222222,10.992388888888888,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37172222222222 10.992388888888888, 77.37427777777778 10.992944444444444)"
T.NO 41,T,DB,24,40-41,286.02447447727263,8.37,368,"6°6'22""",77.37427777777778,10.992944444444444,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37427777777778 10.992944444444444, 77.3758611111111 10.993277777777777)"
T.NO 42,S,DA,26,41-42,178.53851125177448,2.87,368,"0°0'0""",77.3758611111111,10.993277777777777,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3758611111111 10.993277777777777, 77.37772222222222 10.993444444444444)"
T.NO 43,T,DD,28,42-43,203.8872237291979,6.57,368,"47°28'12""",77.37772222222222,10.993444444444444,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37772222222222 10.993444444444444, 77.37974999999999 10.991805555555555)"
T.NO 45,S,DA,26,43-45,285.9545418418809,10.25,368,"0°0'0""",77.37974999999999,10.991805555555555,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37974999999999 10.991805555555555, 77.38152777777778 10.990388888888887)"
T.NO 46,T,DC,26,45-46,249.09837414162303,3.02,368,"19°29'40""",77.38152777777778,10.990388888888887,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38152777777778 10.990388888888887, 77.38294444444443 10.989916666666666)"
T.NO 47,T,DD,28,46-47,164.43843832875572,2.74,381,"50°15'16""",77.38294444444443,10.989916666666666,GOOD,GOOD,"HT,LT",NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38294444444443 10.989916666666666, 77.38527777777779 10.991305555555554)"
T.NO 48,S,DA,26,47-48,295.8530040408581,2.59,380,"0°0'0""",77.38527777777779,10.991305555555554,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38527777777779 10.991305555555554, 77.38811111111112 10.992944444444444)"
T.NO 49,T,DD,28,48-49,361.00554012369395,3.27,373,"45°11'29""",77.38811111111112,10.992944444444444,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38811111111112 10.992944444444444, 77.38866666666668 10.994972222222222)"
T.NO 50,S,DA,26,49-50,233.32380932943812,5.79,376,"0°0'0""",77.38866666666668,10.994972222222222,GOOD,GOOD,"HT,LT",NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38866666666668 10.994972222222222, 77.3893888888889 10.997638888888888)"
T.NO 51,S,DA,26,50-51,302.6962173533062,8.36,380,"0°0'0""",77.3893888888889,10.997638888888888,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3893888888889 10.997638888888888, 77.38988888888889 10.999944444444443)"
T.NO 52,T,DB,24,51-52,261.6333312099206,3.75,376,"1°49'0""",77.38988888888889,10.999944444444443,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38988888888889 10.999944444444443, 77.39052500000001 11.00215)"
,,,,,,,,,77.39052500000001,11.00215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.NO 54,S,DA,26,53-54,265.3337520934719,3.02,385,"0°0'0""",77.39275,11.00313888888889,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39275 11.00313888888889, 77.39536111111111 11.004305555555556)"
T.NO 55,T,DD,28,54-55,314.1591953134589,4.37,383,"61°35'16""",77.39536111111111,11.004305555555556,GOOD,GOOD,LT,MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39536111111111 11.004305555555556, 77.39547222222222 11.005777777777778)"
T.NO 56,T,DD,28,55-56,164.3684884641822,3.97,382,"83°29'14""",77.39547222222222,11.005777777777778,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39547222222222 11.005777777777778, 77.39744444444445 11.00586111111111)"
T.NO 57,T,DB,24,56-57,214.23351745233518,6.27,376,"7°53'22""",77.39744444444445,11.00586111111111,GOOD,GOOD,NIL,MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39744444444445 11.00586111111111, 77.39975000000001 11.00625)"
T.NO 58,T,DB,24,57-58,256.3454700204394,2.45,377,"9°31'37""",77.39975000000001,11.00625,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39975000000001 11.00625, 77.40227777777778 11.006277777777777)"
T.NO 59,T,DD,28,58-59,276.04528613979267,2.4,378,"52°56'7""",77.40227777777778,11.006277777777777,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40227777777778 11.006277777777777, 77.40325 11.005027777777778)"
T.NO 60,T,DD,28,59-60,176.64087862100325,4.5,370,"74°2'19""",77.40325,11.005027777777778,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40325 11.005027777777778, 77.40458333333333 11.005527777777777)"
T.NO 61,T,DB,24,60-61,156.5439235486322,2.75,374,"2°53'30""",77.40458333333333,11.005527777777777,GOOD,GOOD,NIL,2nos MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40458333333333 11.005527777777777, 77.40633333333334 11.00611111111111)"
T.NO 62,T,DD,28,61-62,200.19240744843447,7.02,370,"36°26'53""",77.40633333333334,11.00611111111111,GOOD,GOOD,HT,"DRAIN,TAAR ROAD",PLAIN,TIRUPPUR-DHARAPURAM ROAD(THONGUTTIPALAYAM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40633333333334 11.00611111111111, 77.40786111111112 11.005638888888889)"
T.NO 63,T,DB,24,62-63,175.86358349584486,3.73,370,"0°4'24""",77.40786111111112,11.005638888888889,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40786111111112 11.005638888888889, 77.41002777777778 11.004944444444444)"
T.NO 64,T,DB,24,63-64,249.23884127479008,5.38,370,"11°17'16""",77.41002777777778,11.004944444444444,GOOD,GOOD,NIL,",MUD ROAD",PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41002777777778 11.004944444444444, 77.41147222222223 11.004166666666666)"
T.NO 65,T,DD,28,64-65,179.88885457415086,8.79,373,"34°8'49""",77.41147222222223,11.004166666666666,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41147222222223 11.004166666666666, 77.414 11.004388888888888)"
T.NO 66,T,DD,28,65-66,277.31750756127894,3.96,376,"85°13'11""",77.414,11.004388888888888,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.414 11.004388888888888, 77.41397222222223 11.006305555555555)"
T.NO 67,T,DC,26,66-67,213.0211257129208,6.7,371,"19°44'24""",77.41397222222223,11.006305555555555,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41397222222223 11.006305555555555, 77.41452777777778 11.007861111111112)"
T.NO 68,T,DD,28,67-68,181.8378398463862,3.6,367,"77°21'4""",77.41452777777778,11.007861111111112,GOOD,GOOD,LT,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41452777777778 11.007861111111112, 77.4171388888889 11.007583333333333)"
T.NO 69,S,DA,26,68-69,287.56912212544654,6,366,"0°0'0""",77.4171388888889,11.007583333333333,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4171388888889 11.007583333333333, 77.41966666666667 11.00725)"
T.NO 70,T,DC,26,69-70,278.84224930953343,5.3,367,"18°18'6""",77.41966666666667,11.00725,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41966666666667 11.00725, 77.42152777777778 11.00763888888889)"
T.NO 71,T,DC,26,70-71,206.52602741543257,3.4,370,"19°12'26""",77.42152777777778,11.00763888888889,GOOD,GOOD,NIL,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42152777777778 11.00763888888889, 77.42291666666667 11.007472222222223)"
T.NO 72,S,DA,26,71-72,152.0690632574555,7.6,364,"0°0'0""",77.42291666666667,11.007472222222223,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42291666666667 11.007472222222223, 77.42450000000001 11.00725)"
T.NO 73,T,DD,28,72-73,175.5135322418189,7.05,365,"58°48'55""",77.42450000000001,11.00725,GOOD,GOOD,HT,MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42450000000001 11.00725, 77.42594444444445 11.009)"
T.NO 74,T,DB+6,30,73-74,251.2866888635369,6.4,369,"1°30'17""",77.42594444444445,11.009,GOOD,GOOD,"HT,LT","DRAIN,MUD ROAD",PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42594444444445 11.009, 77.42711111111112 11.010388888888889)"
T.NO 75,T,DD,28,74-75,198.07321878537743,4.8,370,"57°52'10""",77.42711111111112,11.010388888888889,GOOD,GOOD,NIL,MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42711111111112 11.010388888888889, 77.43 11.009972222222222)"
T.NO 76,T,DB+6,30,75-76,318.912213626258,2.3,367,"9°20'24""",77.43,11.009972222222222,GOOD,GOOD,"HT,LT","DRAIN,MUD ROAD",PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43 11.009972222222222, 77.43230555555556 11.01)"
T.NO 77,T,DD+6,34,76-77,252.0972034751675,3.4,368,"65°53'18""",77.43230555555556,11.01,GOOD,GOOD,HT,"DRAIN,MUD ROAD",PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43230555555556 11.01, 77.43311111111112 11.011861111111111)"
T.NO 78,T,DC+6,32,77-78,221.92341021172146,8.9,367,"21°36'9""",77.43311111111112,11.011861111111111,GOOD,GOOD,NIL,"DRAIN,TAAR ROAD",PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43311111111112 11.011861111111111, 77.43488888888889 11.013638888888888)"
T.NO 79,T,DB+6,30,78-79,277.2183255125822,4.58,362,"10°3'36""",77.43488888888889,11.013638888888888,GOOD,GOOD,NIL,"DRAIN,TAAR ROAD",PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43488888888889 11.013638888888888, 77.43641666666667 11.01586111111111)"
T.NO 80,T,DC,26,79-80,298.15767640629343,8.8,362,"19°24'9""",77.43641666666667,11.01586111111111,GOOD,GOOD,HT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43641666666667 11.01586111111111, 77.43869444444445 11.0175)"
T.NO 81,T,DC,26,80-81,307.405269961333,6.77,364,"23°39'34""",77.43869444444445,11.0175,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43869444444445 11.0175, 77.44094444444445 11.017972222222223)"
T.NO 82,T,DD,28,81-82,251.31852299422738,4.6,358,"80°33'31""",77.44094444444445,11.017972222222223,GOOD,GOOD,NIL,MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44094444444445 11.017972222222223, 77.44083333333333 11.01977777777778)"
T.NO 83,T,DB,24,82-83,200.3596765818911,3.2,358,"14°9'56""",77.44083333333333,11.01977777777778,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44083333333333 11.01977777777778, 77.44033333333334 11.021472222222224)"
T.NO 84,T,DD,28,83-84,195.13328778042973,5.3,358,"30°24'48""",77.44033333333334,11.021472222222224,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44033333333334 11.021472222222224, 77.44086111111112 11.023777777777779)"
T.NO 85,T,DD,28,84-85,261.51290599127225,4.2,357,"68°26'23""",77.44086111111112,11.023777777777779,GOOD,GOOD,NIL,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44086111111112 11.023777777777779, 77.44288888888889 11.024055555555556)"
T.NO 86,T,DC,26,85-86,223.6000894454204,3.8,353,"25°31'15""",77.44288888888889,11.024055555555556,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44288888888889 11.024055555555556, 77.44480555555556 11.023472222222223)"
T.NO 87,T,DC,26,86-87,218.28879952943075,3.5,345,"27°56'22""",77.44480555555556,11.023472222222223,GOOD,GOOD,"2nos HT,LT",2nos TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44480555555556 11.023472222222223, 77.44619444444444 11.023750000000001)"
T.NO 88,T,DD,28,87-88,154.9322432549145,2.8,353,"35°19'9""",77.44619444444444,11.023750000000001,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44619444444444 11.023750000000001, 77.44791666666667 11.025527777777778)"
T.NO 89,T,DB,24,88-89,273.034796317246,5.8,350,"8°49'54""",77.44791666666667,11.025527777777778,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44791666666667 11.025527777777778, 77.44969444444445 11.028)"
T.NO 90,T,DC,26,89-90,335.6441568089634,3.4,347,"25°49'4""",77.44969444444445,11.028,GOOD,GOOD,HT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44969444444445 11.028, 77.45008333333334 11.03025)"
T.NO 91,T,DB,24,90-91,253.02371430362015,3.2,345,"5°37'0""",77.45008333333334,11.03025,GOOD,GOOD,LT,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45008333333334 11.03025, 77.45025 11.033111111111111)"
T.NO 92/1 ALAGUMALAI LILO,T,MC,45,91-92/1,317.5106297433206,2.67,342,"16°27'17""",77.45025,11.033111111111111,GOOD,GOOD,LT,NIL,PLAIN,ALAGUMALAI LILO NEED 3 WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45025 11.033111111111111, 77.44988888888889 11.034722222222221)"
T.NO 93,T,DB,24,92/1-93,183.86136081297778,2.45,336,"11°37'16""",77.44988888888889,11.034722222222221,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44988888888889 11.034722222222221, 77.44986111111112 11.036694444444445)"
T.NO 94,T,DD,28,93-94,217.0829334609241,4.81,349,"88°45'35""",77.44986111111112,11.036694444444445,GOOD,GOOD,NIL,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44986111111112 11.036694444444445, 77.45188888888889 11.036777777777777)"
