S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,T.NO 17,T,DB,24,16-17,236.7720422685077,3.56,28,"0°25'38""",80.1571388888889,13.085722222222223,GOOD,GOOD,HT 1,ROAD 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1571388888889 13.085722222222223, 80.15544444444446 13.085083333333333)"
20,T.NO 18,S,DA,26,17-18,197.5854245636555,4.56,4,,80.15544444444446,13.085083333333333,GOOD,GOOD,HT 1+1,ROAD 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15544444444446 13.085083333333333, 80.15352777777778 13.084194444444446)"
21,T.NO 19,S,DA,26,18-19,229.5059912072014,,23,,80.15352777777778,13.084194444444446,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15352777777778 13.084194444444446, 80.15172222222223 13.083527777777778)"
22,T.NO 20,S,DA,26,19-20,209.15305400591214,4.32,13,,80.15172222222223,13.083527777777778,GOOD,GOOD,LT 1,CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15172222222223 13.083527777777778, 80.14961111111111 13.082611111111111)"
23,T.NO 21,T,DB,24,20-21,248.96586111352696,3.77,17,"0°54'26""",80.14961111111111,13.082611111111111,GOOD,GOOD,"HT 4,LT 1",ROAD 2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14961111111111 13.082611111111111, 80.14786111111111 13.081916666666666)"
24,T.NO 22,S,DA,26,21-22,204.63626267111115,4.46,8,,80.14786111111111,13.081916666666666,GOOD,GOOD,LT 1+1,ROAD 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14786111111111 13.081916666666666, 80.1461388888889 13.081277777777778)"
25,T.NO 23,S,DA,26,22-23,200.9601950635996,2.91,10,,80.1461388888889,13.081277777777778,GOOD,GOOD,"LT 2+1,HT 1","ROAD 1,MUD ROAD 1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1461388888889 13.081277777777778, 80.14450000000001 13.080527777777778)"
26,T.NO 24,S,DA,26,23-24,195.49424543960367,,12,,80.14450000000001,13.080527777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14450000000001 13.080527777777778, 80.14241666666668 13.079749999999999)"
27,T.NO 25,S,DA,26,24-25,241.8098426450007,1.86,14,,80.14241666666668,13.079749999999999,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14241666666668 13.079749999999999, 80.14072222222222 13.079083333333333)"
28,T.NO 26,T,DB,24,25-26,198.15650380444242,1.55,17,"2°5'43""",80.14072222222222,13.079083333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14072222222222 13.079083333333333, 80.13933333333334 13.078472222222222)"
29,T.NO 27 LILO 110KV AYYAMPAKKAM SS,T,DB,24,26-27,165.19685227025363,2.37,17,"0°39'55""",80.13933333333334,13.078472222222222,GOOD,GOOD,,,PLAIN,AYYAMPAKKAM LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13933333333334 13.078472222222222, 80.13694444444445 13.077416666666666)"
30,T.NO 28,S,DA,26,27-28,285.112258592997,,17,,80.13694444444445,13.077416666666666,GOOD,GOOD,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13694444444445 13.077416666666666, 80.13438888888889 13.07636111111111)"
31,T.NO 29,S,DA,26,28-29,299,,19,,80.13438888888889,13.07636111111111,GOOD,GOOD,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13438888888889 13.07636111111111, 80.13230555555555 13.0755)"
32,T.NO 30,T,DB,24,29-30,246.46500765828807,,18,"2°31'30""",80.13230555555555,13.0755,GOOD,GOOD,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13230555555555 13.0755, 80.13022222222222 13.074694444444445)"
33,T.NO 31,S,DA,26,30-31,243.10080213771406,,19,,80.13022222222222,13.074694444444445,GOOD,GOOD,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13022222222222 13.074694444444445, 80.12838888888888 13.074)"
34,T.NO 32,S,DA,26,31-32,213.0187785149469,1.36,18,,80.12838888888888,13.074,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12838888888888 13.074, 80.12688888888889 13.073444444444444)"
35,T.NO 33,T,DB,24,32-33,173.69225659193907,2.77,20,"1°56'54""",80.12688888888889,13.073444444444444,GOOD,GOOD,"LT -1 ,HT - 1",ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12688888888889 13.073444444444444, 80.12508333333332 13.072861111111111)"
36,T.NO 34,T,DB,24,33-34,204.91949638821583,3.16,18,"6°13'42""",80.12508333333332,13.072861111111111,GOOD,GOOD,,ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12508333333332 13.072861111111111, 80.12424999999999 13.072472222222222)"
37,T.NO 35 LILO,T,DB,24,34-35,99.31767214348109,4.38,25,"5°20'1""",80.12424999999999,13.072472222222222,GOOD,GOOD,,,PLAIN,AVADI LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12424999999999 13.072472222222222, 80.12313888888889 13.072055555555556)"
38,T.NO 36,T,DD,28,35-36,130.6330739131557,3.96,21,"37°24'41""",80.12313888888889,13.072055555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12313888888889 13.072055555555556, 80.12302777777776 13.071916666666667)"
39,T.NO 37,T,DD,28,36-37,20.248456731316587,3.53,18,"33°58'15""",80.12302777777776,13.071916666666667,GOOD,GOOD,"LT -1 ,HT - 1",ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12302777777776 13.071916666666667, 80.12133333333333 13.071194444444444)"
40,T.NO 38,T,DB,24,37-38,201.16162655934158,2.36,21,"0°22'15""",80.12133333333333,13.071194444444444,GOOD,GOOD,"LT -1 ,HT - 1",ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12133333333333 13.071194444444444, 80.11966666666666 13.070472222222222)"
41,T.NO 39,S,DA,26,38-39,196.0637651377735,2.79,17,,80.11966666666666,13.070472222222222,GOOD,GOOD,"LT -1 ,HT - 1",ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11966666666666 13.070472222222222, 80.11808333333333 13.069833333333333)"
42,T.NO 40,S,DA,26,39-40,186.25251676151922,4.19,27,,80.11808333333333,13.069833333333333,GOOD,GOOD,LT - 1,ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11808333333333 13.069833333333333, 80.11638888888888 13.069083333333333)"
43,T.NO 41,T,DC,26,40-41,202.2671500763285,2.37,21,"23°29'41""",80.11638888888888,13.069083333333333,GOOD,GOOD,LT - 1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11638888888888 13.069083333333333, 80.11522222222222 13.069055555555556)"
44,T.NO 42,T,DD,28,41-42,127,5.14,30,"97°45'55""",80.11522222222222,13.069055555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11522222222222 13.069055555555556, 80.11524999999999 13.068861111111111)"
45,GT 110KV THIRUVERKADU SS,T,GT,15,42-GT,22.20360331117452,,31,,80.11524999999999,13.068861111111111,GOOD,MISSING,,,PLAIN,THIRUVERKADU 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,8119M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
