S. No ,Tower No,Supspension/Tension,Tower Type,Tower Height (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
13,T.NO 12,T,DB,24,11-12,100.244700608062,6.54,42,"0°21'45""",80.01466666666667,12.735527777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01466666666667 12.735527777777778, 80.01675 12.735777777777777)"
14,T.NO 13,S,DA,26,12-13,229.59311836377,5.43,38,,80.01675,12.735777777777777,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01675 12.735777777777777, 80.01958333333333 12.735972222222221)"
15,T.NO 14,S,DA,26,13-14,305.722096028403,6.25,49,,80.01958333333333,12.735972222222221,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01958333333333 12.735972222222221, 80.02094444444444 12.736027777777776)"
16,T.NO 15/1 LILO ANJUR ,T,DB,24,14-15,148.054044186574,6.34,52,"1°29'7""",80.02094444444444,12.736027777777776,GOOD,GOOD,,ROAD-1,PLAIN,ANJUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02094444444444 12.736027777777776, 80.022 12.736194444444443)"
17,T.NO 16,S,DA,26,15-16,117.711511756497,4.52,53,,80.022,12.736194444444443,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.022 12.736194444444443, 80.0245 12.736416666666665)"
18,T.NO 17,S,DA,26,16-17,271.812435329953,5.03,52,,80.0245,12.736416666666665,GOOD,GOOD,HT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0245 12.736416666666665, 80.02722222222222 12.736666666666666)"
19,T.NO 18,T,DC,26,17-18,297.417215372614,6.27,57,"21°58'46""",80.02722222222222,12.736666666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02722222222222 12.736666666666666, 80.02952777777777 12.736027777777776)"
20,T.NO 19,T,DC,26,18-19,259.200694443514,6.85,54,"24°39'44""",80.02952777777777,12.736027777777776,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02952777777777 12.736027777777776, 80.03219444444444 12.736416666666665)"
21,T.NO 20,S,DA,26,19-20,295.005084701942,5.92,56,,80.03219444444444,12.736416666666665,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.03219444444444 12.736416666666665, 80.03486111111111 12.736805555555554)"
22,T.NO 21,S,DA,26,20-21,289.774049907855,5.17,53,,80.03486111111111,12.736805555555554,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.03486111111111 12.736805555555554, 80.03744444444445 12.73725)"
23,T.NO 22,S,DA,26,21-22,287.210724033766,5.74,54,,80.03744444444445,12.73725,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.03744444444445 12.73725, 80.04041666666666 12.737694444444443)"
24,T.NO 23,S,DA,26,22-23,326.401593133367,6.9,59,,80.04041666666666,12.737694444444443,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.04041666666666 12.737694444444443, 80.04316666666666 12.73811111111111)"
25,T.NO 24,S,DA,26,23-24,300.389746829015,6.13,60,,80.04316666666666,12.73811111111111,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.04316666666666 12.73811111111111, 80.04605555555555 12.738527777777778)"
26,T.NO 25,S,DA,26,24-25,317.351540093947,5.28,59,,80.04605555555555,12.738527777777778,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.04605555555555 12.738527777777778, 80.04783333333333 12.738833333333332)"
27,T.NO 26,S,DA,26,25-26,195.634863968568,5.73,64,,80.04783333333333,12.738833333333332,GOOD,GOOD,"LT-1 , HT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.04783333333333 12.738833333333332, 80.05013888888888 12.739138888888888)"
28,T.NO 27,T,DC,26,26-27,252.438111227287,6.01,57,"16°44'5""",80.05013888888888,12.739138888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05013888888888 12.739138888888888, 80.05225 12.73886111111111)"
29,T.NO 28,T,DD,28,27-28,231.365511690917,6.48,53,"61°35'2""",80.05225,12.73886111111111,GOOD,GOOD,LT-1,"ROAD-1 , MUD ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05225 12.73886111111111, 80.05324999999999 12.736194444444443)"
30,T.NO 29,T,DB,24,28-29,315.431450556218,5.31,50,"4°46'10""",80.05324999999999,12.736194444444443,GOOD,GOOD,LT-1,"ROAD-1 , MUD ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05324999999999 12.736194444444443, 80.05394444444444 12.733666666666666)"
31,T.NO 30,S,DA,26,29-30,287.424772766719,4.78,50,,80.05394444444444,12.733666666666666,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05394444444444 12.733666666666666, 80.05452777777778 12.731555555555556)"
32,T.NO 31,S,DA,26,30-31,243.559027753027,4.31,49,,80.05452777777778,12.731555555555556,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05452777777778 12.731555555555556, 80.05527777777777 12.729000000000001)"
33,T.NO 32,S,DA,26,31-32,291.893816309973,4.57,52,,80.05527777777777,12.729000000000001,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05527777777777 12.729000000000001, 80.056 12.726583333333334)"
34,T.NO 33,T,DD,28,32-33,281.040922287129,3.45,49,"52°31'46""",80.056,12.726583333333334,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.056 12.726583333333334, 80.05836111111111 12.725666666666667)"
35,T.NO 34,S,DA,26,33-34,275.57213211789,4.13,50,,80.05836111111111,12.725666666666667,GOOD,GOOD,LT-1,"ROAD-1 , MUD ROAD-1",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05836111111111 12.725666666666667, 80.06049999999999 12.724805555555555)"
36,T.NO 35,T,DC,26,34-35,249.771895937073,4.85,47,"20°32'19""",80.06049999999999,12.724805555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.06049999999999 12.724805555555555, 80.06288888888889 12.72475)"
37,T.NO 36,S,DA,26,35-36,259.094577326504,5.72,47,,80.06288888888889,12.72475,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.06288888888889 12.72475, 80.0658611111111 12.724722222222223)"
38,T.NO 37,S,DA,26,36-37,325.055379897026,5.2,42,,80.0658611111111,12.724722222222223,GOOD,GOOD,"HT-1 , LT-2",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0658611111111 12.724722222222223, 80.06861111111111 12.72461111111111)"
39,T.NO 38,S,DA,26,37-38,297.203633894339,4.93,39,,80.06861111111111,12.72461111111111,GOOD,GOOD,HT-1,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.06861111111111 12.72461111111111, 80.07108333333333 12.724555555555556)"
40,T.NO 39,S,DA,26,38-39,270.090725497933,4.51,41,,80.07108333333333,12.724555555555556,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07108333333333 12.724555555555556, 80.07352777777777 12.724527777777778)"
41,T.NO 40,S,DA,26,39-40,264.030301291348,4.38,42,,80.07352777777777,12.724527777777778,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07352777777777 12.724527777777778, 80.07575 12.724555555555556)"
42,T.NO 41,S,DA,26,40-41,243.002057604457,IN WATER,42,,80.07575,12.724555555555556,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07575 12.724555555555556, 80.07833333333333 12.724416666666666)"
43,T.NO 42,S,DA,26,41-42,280.401497856199,5.05,38,,80.07833333333333,12.724416666666666,GOOD,GOOD,LT-2,"CANAL , ROAD-2",FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07833333333333 12.724416666666666, 80.08080555555556 12.724388888888889)"
44,T.NO 43,S,DA,26,42-43,268.046637733063,3.95,34,,80.08080555555556,12.724388888888889,GOOD,GOOD,LT-1,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08080555555556 12.724388888888889, 80.08338888888889 12.724333333333334)"
45,T.NO 44,S,DA,26,43-44,281.144091170346,3.36,32,,80.08338888888889,12.724333333333334,GOOD,GOOD,LT-2,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08338888888889 12.724333333333334, 80.08605555555555 12.724277777777777)"
46,T.NO 45,S,DA,26,44-45,289.084762656215,5.08,32,,80.08605555555555,12.724277777777777,GOOD,GOOD,LT-1,ROAD-1,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08605555555555 12.724277777777777, 80.08891666666666 12.724194444444445)"
47,T.NO 46,T,DC,26,45-46,309.161769952237,4.72,30,"20°56'33""",80.08891666666666,12.724194444444445,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08891666666666 12.724194444444445, 80.09097222222222 12.723361111111112)"
48,T.NO 47,S,DA,26,46-47,241.778824548388,4.29,28,,80.09097222222222,12.723361111111112,GOOD,GOOD,"HT-1 , LT-1,400KV",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09097222222222 12.723361111111112, 80.09313888888889 12.722472222222223)"
49,T.NO 48,S,DA,26,47-48,256.704109822963,6.51,30,,80.09313888888889,12.722472222222223,GOOD,GOOD,LT-1 ,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09313888888889 12.722472222222223, 80.09555555555555 12.721527777777778)"
50,T.NO 49,T,DB,24,48-49,282.630500831032,5.88,24,"1°38'23""",80.09555555555555,12.721527777777778,GOOD,GOOD,"LT-1,230KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09555555555555 12.721527777777778, 80.09655555555555 12.72113888888889)"
51,T.NO 50,T,DB,24,49-50,115.520560940466,5.4,24,"2°18'49""",80.09655555555555,12.72113888888889,GOOD,GOOD,LT-1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09655555555555 12.72113888888889, 80.09788888888889 12.720611111111111)"
52,T.NO 51,T,DB,24,50-51,155.46703830716,6.35,28,"0°15'1""",80.09788888888889,12.720611111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09788888888889 12.720611111111111, 80.09980555555555 12.719833333333334)"
53,T.NO 52,S,DA,26,51-52,225.248751383887,5.76,26,,80.09980555555555,12.719833333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09980555555555 12.719833333333334, 80.10219444444444 12.71888888888889)"
54,T.NO 53,S,DA,26,52-53,279.308073639127,5.2,26,,80.10219444444444,12.71888888888889,GOOD,GOOD,"LT-3 , HT-2",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10219444444444 12.71888888888889, 80.10449999999999 12.717888888888888)"
55,T.NO 54/1 THIRUKAZHUKUNDRAM LILO,T,DB,24,53-54,275.768018450291,4.78,29,"1°1'19""",80.10449999999999,12.717888888888888,GOOD,GOOD,,,PLAIN,THIRUKAZHUKUNDRAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10449999999999 12.717888888888888, 80.10691666666666 12.717)"
56,T.NO 55,S,DA,26,54-55,278.792037189013,3.21,39,,80.10691666666666,12.717,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10691666666666 12.717, 80.10955555555554 12.716)"
57,T.NO 56,S,DA,26,55-56,307.148172711478,5.61,39,,80.10955555555554,12.716,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10955555555554 12.716, 80.11180555555555 12.715055555555555)"
58,T.NO 57,S,DA,26,56-57,266.947560393423,6.16,42,,80.11180555555555,12.715055555555555,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11180555555555 12.715055555555555, 80.11425 12.714083333333333)"
59,T.NO 58,T,DB,24,57-58,284.859614547236,7.1,77,"14°58'35""",80.11425,12.714083333333333,GOOD,GOOD,HT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11425 12.714083333333333, 80.11716666666666 12.713722222222222)"
60,T.NO 59,S,DA,26,58-59,317.657047773223,6.31,50,,80.11716666666666,12.713722222222222,GOOD,GOOD,,,HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11716666666666 12.713722222222222, 80.11977777777777 12.713416666666665)"
61,T.NO 60,S,DA,26,59-60,287.141080307225,7.18,54,,80.11977777777777,12.713416666666665,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11977777777777 12.713416666666665, 80.1223611111111 12.713138888888889)"
62,T.NO 61,S,DA,26,60-61,280.71693928226,4.43,36,,80.1223611111111,12.713138888888889,GOOD,GOOD,,,HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1223611111111 12.713138888888889, 80.12491666666666 12.712833333333332)"
63,T.NO 62,S,DA,26,61-62,282.179021190449,3.29,33,,80.12491666666666,12.712833333333332,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12491666666666 12.712833333333332, 80.12763888888888 12.712555555555555)"
64,T.NO 63,S,DA,26,62-63,296.952858211535,4.71,34,,80.12763888888888,12.712555555555555,GOOD,GOOD,LT-1 HT-3,"MUD ROAD-1 , ROAD-2",FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.12763888888888 12.712555555555555, 80.13033333333333 12.712222222222222)"
65,T.NO 64,S,DA,26,63-64,294.210808774933,3.61,32,,80.13033333333333,12.712222222222222,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13033333333333 12.712222222222222, 80.13283333333332 12.711916666666665)"
66,T.NO 65,S,DA,26,64-65,273.250800547775,4.72,29,,80.13283333333332,12.711916666666665,GOOD,GOOD,LT-1,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13283333333332 12.711916666666665, 80.13513888888889 12.711666666666666)"
67,T.NO 66,S,DA,26,65-66,250.683066839386,5.49,28,,80.13513888888889,12.711666666666666,GOOD,GOOD,LT-1,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13513888888889 12.711666666666666, 80.13772222222222 12.711388888888887)"
68,T.NO 67,S,DA,26,66-67,283.591255154315,4.83,29,,80.13772222222222,12.711388888888887,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13772222222222 12.711388888888887, 80.14055555555557 12.711083333333333)"
69,T.NO 68,T,DC,26,67-68,308.228811112784,3.36,30,"20°53'57""",80.14055555555557,12.711083333333333,GOOD,GOOD,"LT-1 , HT-1",ROAD-1,ROAD POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14055555555557 12.711083333333333, 80.14283333333334 12.711666666666666)"
70,T.NO 69,S,DA,26,68-69,255.156814527851,4.61,29,,80.14283333333334,12.711666666666666,GOOD,GOOD,"HT-2 , LT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14283333333334 12.711666666666666, 80.14561111111112 12.712361111111111)"
71,T.NO 70,S,DA,26,69-70,313.114994850135,3.61,29,,80.14561111111112,12.712361111111111,GOOD,GOOD,HT-1,ROAD-1,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14561111111112 12.712361111111111, 80.14800000000001 12.712944444444444)"
72,T.NO 71,S,DA,26,70-71,265.81948762271,4.71,31,,80.14800000000001,12.712944444444444,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14800000000001 12.712944444444444, 80.15055555555556 12.713555555555555)"
73,T.NO 72,S,DA,26,71-72,286.43498389687,3.16,35,,80.15055555555556,12.713555555555555,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15055555555556 12.713555555555555, 80.15313888888889 12.714222222222222)"
74,T.NO 73,T,DB,24,72-73,288.617393793236,4.25,28,"4°59'33""",80.15313888888889,12.714222222222222,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15313888888889 12.714222222222222, 80.15533333333335 12.714555555555554)"
75,T.NO 74,S,DA,26,73-74,243.148103015426,5.78,28,,80.15533333333335,12.714555555555554,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15533333333335 12.714555555555554, 80.15702777777778 12.714833333333333)"
76,T.NO 75,S,DA,26,74-75,187.259178680245,6.59,27,,80.15702777777778,12.714833333333333,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15702777777778 12.714833333333333, 80.15883333333333 12.71511111111111)"
77,T.NO 76,S,DA,26,75-76,198.436387792159,7.28,30,,80.15883333333333,12.71511111111111,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.15883333333333 12.71511111111111, 80.16130555555556 12.715527777777776)"
78,T.NO 77,S,DA,26,76-77,270.601182554696,6.71,30,,80.16130555555556,12.715527777777776,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16130555555556 12.715527777777776, 80.1635 12.715805555555555)"
79,T.NO 78,S,DA,26,77-78,241.002074679867,6.21,31,,80.1635,12.715805555555555,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1635 12.715805555555555, 80.16625 12.716277777777776)"
80,T.NO 79,S,DA,26,78-79,301.179348561617,7.61,32,,80.16625,12.716277777777776,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16625 12.716277777777776, 80.16847222222222 12.71661111111111)"
81,T.NO 80,S,DA,26,79-80,245.800732301594,5.31,29,,80.16847222222222,12.71661111111111,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16847222222222 12.71661111111111, 80.17052777777778 12.716944444444444)"
82,T.NO 81,S,DA,26,80-81,226.874414599796,4.61,27,,80.17052777777778,12.716944444444444,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17052777777778 12.716944444444444, 80.17241666666668 12.717305555555555)"
83,T.NO 82,S,DA,26,81-82,207.694487168052,5.72,24,,80.17241666666668,12.717305555555555,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17241666666668 12.717305555555555, 80.17450000000001 12.717611111111111)"
84,T.NO 83,T,DC,26,82-83,229.532132826757,6.21,22,"28°18'12""",80.17450000000001,12.717611111111111,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17450000000001 12.717611111111111, 80.17625000000001 12.717027777777778)"
85,T.NO 84,T,DD,28,83-84,200.192407448434,4.71,19,"42°56'44""",80.17625000000001,12.717027777777778,GOOD,GOOD,LT-1 HT-1,ROAD-1,FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17625000000001 12.717027777777778, 80.17797222222222 12.71775)"
86,T.NO 85,S,DA,26,84-85,202.615399217335,5.62,19,,80.17797222222222,12.71775,GOOD,GOOD,LT-1 HT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17797222222222 12.71775, 80.17944444444444 12.718333333333334)"
87,T.NO 86,S,DA,26,85-86,174.928556845359,4.32,18,,80.17944444444444,12.718333333333334,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17944444444444 12.718333333333334, 80.18122222222223 12.719194444444444)"
88,T.NO 87,T,DB,24,86-87,212.438226315322,3.61,19,"3°31'32""",80.18122222222223,12.719194444444444,GOOD,GOOD,HT-1,"POND , ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18122222222223 12.719194444444444, 80.18166666666667 12.71936111111111)"
89,110KV THIRUPORUR SS,T,GANTRY,15,87-GT,52.2015325445527,,16,,80.18166666666667,12.71936111111111,GOOD,MISSING,,,PLAIN,110KV THIRUPORUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,21932M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
