S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,T.NO 27,T,DA,26,26-27,192.16659439142902,3.78,18,"4°2'35""",80.13272222222221,13.367833333333333,GOOD,GOOD,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13272222222221 13.367833333333333, 80.13347222222222 13.366222222222222)"
29,T.NO 28,T,SC,26,27-28,354,3.52,20,"21°31'39""",80.13347222222222,13.366222222222222,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13347222222222 13.366222222222222, 80.13227777777777 13.36336111111111)"
30,T.NO 29,S,SB,24,28-29,143,3.87,17,,80.13227777777777,13.36336111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13227777777777 13.36336111111111, 80.13222222222221 13.36125)"
31,T.NO 30,S,SA,26,29-30,232.07757323791543,3.56,16,,80.13222222222221,13.36125,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13222222222221 13.36125, 80.13305555555554 13.358833333333333)"
32,T.NO 31,S,SA,26,30-31,283.9788724535683,3.97,20,,80.13305555555554,13.358833333333333,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13305555555554 13.358833333333333, 80.13372222222223 13.356944444444444)"
33,T.NO 32,T,SB,24,31-32,221.38202275704322,3.12,20,"4°24'35""",80.13372222222223,13.356944444444444,GOOD,GOOD,HT,POND,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13372222222223 13.356944444444444, 80.13461111111111 13.354472222222222)"
34,T.NO 33,S,SA,26,32-33,287.4595623735624,3.24,18,,80.13461111111111,13.354472222222222,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13461111111111 13.354472222222222, 80.13544444444445 13.352027777777778)"
35,T.NO 34,S,SA,26,33-34,286.1904959987316,3.28,15,,80.13544444444445,13.352027777777778,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13544444444445 13.352027777777778, 80.13619444444446 13.35)"
36,T.NO 35,S,SA,26,34-35,238.88281646028875,3.31,16,,80.13619444444446,13.35,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13619444444446 13.35, 80.1371388888889 13.347777777777779)"
37,T.NO 36,S,SA,26,35-36,264.2460974167831,3.48,11,,80.1371388888889,13.347777777777779,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1371388888889 13.347777777777779, 80.13791666666667 13.345472222222222)"
38,T.NO 37,S,SA,26,36-37,268.79360111431225,3.51,12,,80.13791666666667,13.345472222222222,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13791666666667 13.345472222222222, 80.13894444444445 13.343194444444444)"
39,T.NO 38,S,SA,26,37-38,276.7959537276512,3.68,19,,80.13894444444445,13.343194444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13894444444445 13.343194444444444, 80.13975 13.341277777777778)"
40,T.NO 39,T,SD,28,38-39,228.40534144367115,3.72,21,"56°10'47""",80.13975,13.341277777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.13975 13.341277777777778, 80.14016666666667 13.339666666666668)"
41,T.NO 40,T,SD,28,39-40,185.06755523321746,3.38,30,"69°14'14""",80.14016666666667,13.339666666666668,GOOD,GOOD,"HT-3,LT-2",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14016666666667 13.339666666666668, 80.14111111111112 13.337805555555557)"
42,T.NO 41,T,SC,26,40-41,227.6532450899833,3.72,30,"17°16'33""",80.14111111111112,13.337805555555557,GOOD,GOOD,HT,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14111111111112 13.337805555555557, 80.14233333333334 13.336416666666667)"
43,T.NO 42,T,SC,26,41-42,202.82997806044352,3.86,25,"17°24'10""",80.14233333333334,13.336416666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14233333333334 13.336416666666667, 80.14286111111112 13.335166666666668)"
44,T.NO 43,T,SB,24,42-43,150.6154042586614,3.32,20,"2°7'57""",80.14286111111112,13.335166666666668,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14286111111112 13.335166666666668, 80.14311111111111 13.333777777777778)"
45,T.NO 44,S,SA,26,43-44,154.20765220960988,3.39,22,,80.14311111111111,13.333777777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14311111111111 13.333777777777778, 80.14325000000001 13.331472222222223)"
46,T.NO 45,T,SB,24,44-45,256.43907658545334,3.87,19,"2°53'16""",80.14325000000001,13.331472222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14325000000001 13.331472222222223, 80.1433888888889 13.329694444444444)"
47,T.NO 46,T,SB,24,45-46,198.56736892047493,3.92,23,"8°8'33""",80.1433888888889,13.329694444444444,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1433888888889 13.329694444444444, 80.14361111111111 13.327555555555556)"
48,T.NO 47,T,SD,28,46-47,238.01890681204299,3.95,25,"2°2'28""",80.14361111111111,13.327555555555556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14361111111111 13.327555555555556, 80.14383333333333 13.325916666666666)"
49,T.NO 48,T,SD,28,47-48,182.7183625145541,3.67,15,"64°37'17""",80.14383333333333,13.325916666666666,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.14383333333333 13.325916666666666, 80.14525 13.325222222222221)"
50,T.NO 49/1 DURAINALLUR LILO,T,DC,26,48-49,171.73526137634053,,14,,80.14525,13.325222222222221,GOOD,MISSING,,,PLAIN,DURAINALLUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
