S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,19,T,SC,22,18-19,94,3.12,15.968465,"47°13'35"" L",10.76436111111111,79.60094444444444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60094444444444 10.76436111111111, 79.60133333333333 10.764083333333334)"
21,20,T,DP,22,19-20,51.95311840522016,1.16,17.0675029999999,"39°31'41"" L",10.764083333333334,79.60133333333333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60133333333333 10.764083333333334, 79.60161111111111 10.764111111111111)"
22,21,T,DP,22,20-21,31.20859958441962,1.71,16.995083,"31°34'46"" R",10.764111111111111,79.60161111111111,GOOD,Available,110 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60161111111111 10.764111111111111, 79.60216666666666 10.763805555555555)"
23,22,T,SC,22,21-22,68.10589175736655,2.16,16.098621,"32°54'28"" R",10.763805555555555,79.60216666666666,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60216666666666 10.763805555555555, 79.60305555555556 10.762166666666667)"
24,23,T,SC,22,22-23,207.22581634285024,3.24,19.473341,"10°14'31"" L",10.762166666666667,79.60305555555556,GOOD,Available,LT, ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60305555555556 10.762166666666667, 79.60397222222221 10.761027777777779)"
25,24,T,SC,22,23-24,161,3.72,17.59936,"25°3'45"" R",10.761027777777779,79.60397222222221,GOOD,Available,"HT,LT 2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60397222222221 10.761027777777779, 79.60447222222221 10.758888888888889)"
26,25,S,SA,22,24-25,244,2.19,18.2297249999999,"12°58'27"" R",10.758888888888889,79.60447222222221,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60447222222221 10.758888888888889, 79.60447222222221 10.757305555555556)"
27,26,T,SC,22,25-26,176.74426462316492,3.18,17.994394,"20°12'44"" L",10.757305555555556,79.60447222222221,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60447222222221 10.757305555555556, 79.60508333333333 10.755722222222222)"
28,27,T,SC,22,26-27,186.76476262231526,2.73,16.5894429999999,"29°12'35"" R",10.755722222222222,79.60508333333333,GOOD,Available,LT,METAL ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60508333333333 10.755722222222222, 79.60475 10.753527777777778)"
29,28,S,SA,22,27-28,247,2.14,17.9575999999999,,10.753527777777778,79.60475,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60475 10.753527777777778, 79.60447222222221 10.751694444444444)"
30,29,T,SC,22,28-29,207,1.79,18.1148379999999,"17°7'2"" L",10.751694444444444,79.60447222222221,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60447222222221 10.751694444444444, 79.60483333333333 10.74936111111111)"
31,30,S,SA,22,29-30,260.9001835608652,2.13,20.279118,,10.74936111111111,79.60483333333333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60483333333333 10.74936111111111, 79.6051111111111 10.74725)"
32,31,S,SA,22,30-31,235.52866164615054,2.76,18.7413479999999,,10.74725,79.6051111111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6051111111111 10.74725, 79.60533333333333 10.74575)"
33,32,S,SA,22,31-32,170,1.72,18.2630419999999,,10.74575,79.60533333333333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60533333333333 10.74575, 79.60558333333333 10.743888888888888)"
34,33,S,SA,22,32-33,207.95259118083536,2.36,17.55862,,10.743888888888888,79.60558333333333,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60558333333333 10.743888888888888, 79.60580555555555 10.742055555555554)"
35,34,T,SC,22,33-34,202.62947605091682,2.18,18.674427,"26°28'48"" R",10.742055555555554,79.60580555555555,GOOD,Available,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60580555555555 10.742055555555554, 79.60516666666666 10.740194444444443)"
36,35,S,SA,22,34-35,222,2.93,20.358118,,10.740194444444443,79.60516666666666,GOOD,Available,"LT -2NO,HT",METAL ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60516666666666 10.740194444444443, 79.60452777777778 10.73847222222222)"
37,36,T,SC,22,35-36,201.6748107674382,1.63,21.049551,"47°37'12"" R",10.73847222222222,79.60452777777778,GOOD,Available,LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60452777777778 10.73847222222222, 79.60291666666666 10.737833333333333)"
38,37,S,SA,22,36-37,195,2.46,19.4333969999999,,10.737833333333333,79.60291666666666,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60291666666666 10.737833333333333, 79.60119444444445 10.737166666666665)"
39,38,S,SA,22,37-38,200.94730248593476,3.09,19.8964369999999,,10.737166666666665,79.60119444444445,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60119444444445 10.737166666666665, 79.59944444444444 10.736444444444444)"
40,39,S,SA,22,38-39,206.7304144721414,4.01,20.4329469999999,,10.736444444444444,79.59944444444444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59944444444444 10.736444444444444, 79.5976111111111 10.735722222222222)"
41,40,S,SA,22,39-40,220,3.26,19.2119789999999,,10.735722222222222,79.5976111111111,GOOD,Available,"HT,LT",VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5976111111111 10.735722222222222, 79.59561111111111 10.734888888888888)"
42,41,S,SA,22,40-41,236.7578200232417,4.27,18.266953,,10.734888888888888,79.59561111111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59561111111111 10.734888888888888, 79.59372222222221 10.734194444444444)"
43,42,T,SC,22,41-42,225,1.09,19.766493,"31°25'56"" L",10.734194444444444,79.59372222222221,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59372222222221 10.734194444444444, 79.59266666666666 10.732833333333334)"
44,43,T,SC,22,42-43,188.5295081389775,1.47,19.6257839999999,"38°24'43"" L",10.732833333333334,79.59266666666666,GOOD,Available,LT,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59266666666666 10.732833333333334, 79.59269444444443 10.730611111111111)"
45,44,S,SA,22,43-44,245.7772995504855,2.63,18.269133,,10.730611111111111,79.59269444444443,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59269444444443 10.730611111111111, 79.59280555555556 10.728527777777778)"
46,45,S,SA,22,44-45,231.45261351736212,3.11,17.377827,,10.728527777777778,79.59280555555556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59280555555556 10.728527777777778, 79.5928611111111 10.726416666666667)"
47,46,T,SC,22,45-46,235,2.27,18.141085,"15°55'6"" R",10.726416666666667,79.5928611111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5928611111111 10.726416666666667, 79.59224999999999 10.724)"
48,47,S,SA,22,46-47,275.63390244888313,1.06,18.1401159999999,,10.724,79.59224999999999,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59224999999999 10.724, 79.59166666666667 10.722083333333334)"
49,48,S,SA,22,47-48,223.51563009869804,4.37,16.3458709999999,,10.722083333333334,79.59166666666667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59166666666667 10.722083333333334, 79.59122222222221 10.719833333333334)"
50,49,S,SA,22,48-49,253.39368573587203,1.01,16.9032039999999,,10.719833333333334,79.59122222222221,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59122222222221 10.719833333333334, 79.59055555555555 10.717333333333334)"
51,50,S,SA,22,49-50,288,2.16,16.787306,,10.717333333333334,79.59055555555555,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59055555555555 10.717333333333334, 79.58991666666667 10.715)"
52,51,S,SA,22,50-51,268,3.19,18.452738,,10.715,79.58991666666667,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58991666666667 10.715, 79.58933333333333 10.712777777777777)"
53,52,T,SC,22,51-52,260,4.43,19.324766,"20°15'9"" L",10.712777777777777,79.58933333333333,GOOD,Available,LT - 2NO,RIVER,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58933333333333 10.712777777777777, 79.58955555555555 10.710472222222222)"
54,53,S,SA,22,52-53,254.5923523898696,2.71,12.152016,,10.710472222222222,79.58955555555555,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58955555555555 10.710472222222222, 79.58980555555556 10.707999999999998)"
55,54,S,SA,22,53-54,277,2.16,12.733687,,10.707999999999998,79.58980555555556,GOOD,Available,HT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58980555555556 10.707999999999998, 79.59002777777778 10.705777777777778)"
56,55,S,SA,22,54-55,250,3.24,13.5267599999999,,10.705777777777778,79.59002777777778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59002777777778 10.705777777777778, 79.59019444444444 10.703527777777778)"
57,56,S,SA,22,55-56,249.97440530661584,2.92,14.420422,,10.703527777777778,79.59019444444444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59019444444444 10.703527777777778, 79.59044444444444 10.700999999999999)"
58,57,S,SA,22,56-57,278.77916008841646,1.79,14.760674,,10.700999999999999,79.59044444444444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59044444444444 10.700999999999999, 79.59063888888889 10.698944444444445)"
59,58,S,SA,22,57-58,230,2.06,17.165627,,10.698944444444445,79.59063888888889,GOOD,Available,LT,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59063888888889 10.698944444444445, 79.59097222222222 10.696166666666667)"
60,59,T,SC,22,58-59,314,3.12,16.995287,"5°17'36"" L",10.696166666666667,79.59097222222222,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59097222222222 10.696166666666667, 79.59125 10.695027777777778)"
61,60,S,SA,22,59-60,128.87071547596685,2.71,15.853951,,10.695027777777778,79.59125,GOOD,Available,"HT ,66 KV",CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59125 10.695027777777778, 79.59208333333333 10.692555555555556)"
62,61,S,SA,22,60-61,287.41344106233964,1.84,15.170521,,10.692555555555556,79.59208333333333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59208333333333 10.692555555555556, 79.59283333333333 10.690083333333334)"
63,62,S,SA,22,61-62,285.6559280597235,2.46,15.564816,,10.690083333333334,79.59283333333333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59283333333333 10.690083333333334, 79.59363888888889 10.687583333333334)"
64,63,T,SC,22,62-63,292.19455689455276,4.26,14.315796,"0°42'47"" R",10.687583333333334,79.59363888888889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59363888888889 10.687583333333334, 79.59427777777778 10.685472222222222)"
65,64,S,SA,22,63-64,242.24492979439583,3.45,14.7640879999999,,10.685472222222222,79.59427777777778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59427777777778 10.685472222222222, 79.59508333333333 10.682972222222222)"
66,65,S,SA,22,64-65,289.68585466849106,2.76,14.531707,,10.682972222222222,79.59508333333333,GOOD,Available,HT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59508333333333 10.682972222222222, 79.59591666666667 10.680361111111111)"
67,66,S,SA,22,65-66,305,3.71,14.116799,,10.680361111111111,79.59591666666667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59591666666667 10.680361111111111, 79.59669444444444 10.677777777777777)"
68,67,S,SA,22,66-67,297.5848502399666,2.65,14.037409,,10.677777777777777,79.59669444444444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59669444444444 10.677777777777777, 79.59738888888889 10.675638888888889)"
69,68,S,SA,22,67-68,251,3.19,13.4479229999999,,10.675638888888889,79.59738888888889,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59738888888889 10.675638888888889, 79.59816666666666 10.673222222222222)"
70,69,S,SA,22,68-69,284,2.73,14.689857,,10.673222222222222,79.59816666666666,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59816666666666 10.673222222222222, 79.59869444444443 10.670944444444444)"
71,70,T,SC,22,69-70,259.00989419927555,3.72,17.601286,"32°35'6"" L",10.670944444444444,79.59869444444443,GOOD,Available,LT,ROAD & CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59869444444443 10.670944444444444, 79.60072222222222 10.668999999999999)"
72,71,S,SA,22,70-71,307.45339051834117,2.19,17.6195619999999,,10.668999999999999,79.60072222222222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60072222222222 10.668999999999999, 79.60258333333333 10.667)"
73,72,S,SA,22,71-72,305,2.92,16.220222,,10.667,79.60258333333333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60258333333333 10.667, 79.60449999999999 10.665000000000001)"
74,73,T,SC,22,72-73,306,3.36,14.965479,"47°39'42"" R",10.665000000000001,79.60449999999999,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60449999999999 10.665000000000001, 79.60433333333333 10.662666666666667)"
75,74,S,SA,22,73-74,260,2.71,15.605492,,10.662666666666667,79.60433333333333,GOOD,Available,LT,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60433333333333 10.662666666666667, 79.60422222222222 10.660777777777778)"
76,75,S,SA,22,74-75,212,1.16,16.4514029999999,,10.660777777777778,79.60422222222222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60422222222222 10.660777777777778, 79.60411111111111 10.659277777777778)"
77,76,S,SA,22,75-76,165.9757229692532,3.23,15.800117,,10.659277777777778,79.60411111111111,GOOD,Available,LT,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60411111111111 10.659277777777778, 79.60397222222221 10.657083333333334)"
78,77,S,SA,22,76-77,245,4.02,15.689137,,10.657083333333334,79.60397222222221,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60397222222221 10.657083333333334, 79.60377777777778 10.654916666666667)"
79,78,S,SA,22,77-78,244,1.46,15.190123,,10.654916666666667,79.60377777777778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60377777777778 10.654916666666667, 79.6036111111111 10.652666666666667)"
80,79,S,SA,22,78-79,246.98991973377179,2.46,16.370874,,10.652666666666667,79.6036111111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6036111111111 10.652666666666667, 79.60344444444443 10.650444444444444)"
81,80,S,SA,22,79-80,250,1.09,15.4262789999999,,10.650444444444444,79.60344444444443,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60344444444443 10.650444444444444, 79.60327777777778 10.648027777777777)"
82,81,S,SA,22,80-81,270,3.45,15.883402,,10.648027777777777,79.60327777777778,GOOD,Available,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60327777777778 10.648027777777777, 79.60305555555556 10.645888888888889)"
83,82,S,SA,22,81-82,240,2.1,15.793753,,10.645888888888889,79.60305555555556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60305555555556 10.645888888888889, 79.60308333333333 10.64536111111111)"
84,LILO : 82/1,T,DC,26,82- 82/1,61,1.45,18.714611,"69°27'50"" L",10.64536111111111,79.60308333333333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60308333333333 10.64536111111111, 79.60580555555555 10.644527777777776)"
85, 82/2,S,DA,26, 82/1- 82/2,315,2.49,14.707378,,10.644527777777776,79.60580555555555,GOOD,Available,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60580555555555 10.644527777777776, 79.60858333333333 10.643777777777776)"
86, 82/3,S,DA,26, 82/2- 82/3,317,3.67,13.491447,,10.643777777777776,79.60858333333333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60858333333333 10.643777777777776, 79.61136111111111 10.643055555555556)"
87, 82/4,T,DC,26, 82/3- 82/4,316.2038823422055,4.01,14.034893,"9°48'21"" R",10.643055555555556,79.61136111111111,GOOD,Available,HT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61136111111111 10.643055555555556, 79.613 10.64236111111111)"
88, 82/5,T,DC,26, 82/4- 82/5,194.61068521630955,1.96,14.3595919999999,"23°49'18"" L",10.64236111111111,79.613,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.613 10.64236111111111, 79.61544444444444 10.642333333333333)"
89, 82/6,S,DA,26, 82/5- 82/6,266.8458864182882,2.2,13.112532,,10.642333333333333,79.61544444444444,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61544444444444 10.642333333333333, 79.61769444444444 10.642305555555556)"
90, 82/7,S,DA,26, 82/6- 82/7,247.50782794246487,1.79,15.965684,,10.642305555555556,79.61769444444444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61769444444444 10.642305555555556, 79.61947222222221 10.642277777777778)"
91, 82/8,S,DA,26, 82/7- 82/8,195.0768719426145,2.18,16.433302,,10.642277777777778,79.61947222222221,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61947222222221 10.642277777777778, 79.62191666666666 10.642249999999999)"
92, 82/9,S,DA,26, 82/8- 82/9,270,3.27,15.129555,,10.642249999999999,79.62191666666666,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62191666666666 10.642249999999999, 79.62458333333333 10.642166666666666)"
93, 82/10,S,DA,26, 82/9- 82/10,292.1170139526234,3.46,13.836492,,10.642166666666666,79.62458333333333,GOOD,Available,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62458333333333 10.642166666666666, 79.62733333333333 10.642277777777778)"
