,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 10SC,S,24,9-10,NO,,232.071109791805,5.61,110,,78.71322222222223,10.246166666666666,GOOD,GOOD,NO,LT 2 NOS,,PLAIN AREA,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71322222222223 10.246166666666666, 78.71097222222222 10.247416666666666)"
12,T.NO 11SC,S,24,10-11,NO,,282.6764935398768,5.61,116,,78.71097222222222,10.247416666666666,GOOD,GOOD,NO,230 KV CROSSING ABOVE OUR LINE,,PLAIN LAND,"PUDHUKOTTAI - KARAIKUDI 230KV SC LINE T.NO 96 {78°42'45.34"" E 10°14'49.13"" N}   T.NO-97 {78°42'44.26"" E 10°14'46.57"" N}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71097222222222 10.247416666666666, 78.70886111111112 10.248666666666665)"
13,T.NO 12 (14)SC,S,24,11-12,NO,,270.11293934204633,3.19,102,,78.70886111111112,10.248666666666665,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70886111111112 10.248666666666665, 78.70669444444445 10.249888888888888)"
14,T.NO 13 (15)SC,S,24,12-13,NO,,271.01660465735307,3.51,100,,78.70669444444445,10.249888888888888,GOOD,GOOD,NO,LT 2 NOS,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70669444444445 10.249888888888888, 78.70455555555556 10.251055555555556)"
15,T.NO 14SC,T,28,13-14,NO,,268.1734513332742,,102,"51°11'24.25""",78.70455555555556,10.251055555555556,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70455555555556 10.251055555555556, 78.70333333333333 10.250555555555556)"
16,T.NO 15 (17)SC,T,28,14-15,YES,,144.4714504668656,6.17,102,"52°52'53.65""",78.70333333333333,10.250555555555556,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70333333333333 10.250555555555556, 78.70266666666667 10.247972222222222)"
17,T.NO 16 (18)SC,S,24,15-16,NO,,294.25329225006135,5.91,103,,78.70266666666667,10.247972222222222,GOOD,GOOD,NO,,MUD ROAD ,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70266666666667 10.247972222222222, 78.702 10.245444444444443)"
18,T.NO 17 (19)SC,S,24,16-17,NO,,290.8367239534925,2.9,106,,78.702,10.245444444444443,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.702 10.245444444444443, 78.70133333333334 10.242999999999999)"
19,T.NO 18 (20)SC,S,27,17-18,NO,,278.0287754891569,5.61,111,,78.70133333333334,10.242999999999999,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70133333333334 10.242999999999999, 78.70063888888889 10.240527777777777)"
20,T.NO 19SC,T,31,18-19,YES,,284.20063335608523,3.37,104,"32°51'6.01""",78.70063888888889,10.240527777777777,GOOD,GOOD,NO,11KV,,CULTIVATION LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70063888888889 10.240527777777777, 78.69958333333334 10.23961111111111)"
21,T.NO 20SC,T,31,19-20,YES,,152.3975065412817,5.11,105,"55°10'53.13""",78.69958333333334,10.23961111111111,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69958333333334 10.23961111111111, 78.69686111111112 10.240277777777777)"
22,T.NO 21SC,S,27,20-21,YES,,306.3233585608515,6.31,109,,78.69686111111112,10.240277777777777,GOOD,GOOD,YES,,TAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69686111111112 10.240277777777777, 78.69413888888889 10.241083333333332)"
23,T.NO 22 (24)SC,S,27,21-22,YES,,311.87818134649945,4.91,108,,78.69413888888889,10.241083333333332,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND ,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69413888888889 10.241083333333332, 78.6923888888889 10.241638888888888)"
24,T.NO 23SC,S,27,22-23,YES,,201.45719148245863,6.6,113,,78.6923888888889,10.241638888888888,GOOD,GOOD,NO,LT 2 NOS,TAAR ROAD 2 NOS,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6923888888889 10.241638888888888, 78.68952777777778 10.242333333333333)"
25,T.NO 24SC,S,24,23-24,YES,,321.846236578898,5.11,106,,78.68952777777778,10.242333333333333,GOOD,GOOD,NO,,MUD ROAD ,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68952777777778 10.242333333333333, 78.68683333333334 10.24311111111111)"
26,T.NO 25 (27)SC,T,24,24-25,YES,,308.1330881291394,4.01,110,"4°37'43.93""",78.68683333333334,10.24311111111111,GOOD,GOOD,NO,LT,,PLAIN LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68683333333334 10.24311111111111, 78.68472222222222 10.243916666666665)"
27,T.NO 26SC,S,24,25-26,YES,,249.2087478400387,5.13,114,,78.68472222222222,10.243916666666665,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68472222222222 10.243916666666665, 78.68225000000001 10.244916666666667)"
28,T.NO 27SC,S,24,26-27,YES,,292.30805667993485,3.99,115,,78.68225000000001,10.244916666666667,GOOD,GOOD,NO,"LT,11KV",,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68225000000001 10.244916666666667, 78.68027777777779 10.245944444444444)"
29,T.NO 28SC,S,27,27-28,YES,,244.23758924457144,4.61,114,,78.68027777777779,10.245944444444444,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68027777777779 10.245944444444444, 78.67780555555557 10.247083333333332)"
30,T.NO 29 (32)SC,S,24,28-29,NO,,299.23402212983734,4.69,115,,78.67780555555557,10.247083333333332,GOOD,GOOD,NO,11KV ,TAAR ROAD,,"BUSHES, POND CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67780555555557 10.247083333333332, 78.67572222222223 10.247972222222222)"
31,T.NO 30SC,T,26,29-30,NO,,247.64894508154077,3.91,114,"25°53'45.08""",78.67572222222223,10.247972222222222,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67572222222223 10.247972222222222, 78.67386111111112 10.250055555555555)"
32,T.NO 31SC,S,24,30-31,NO,,309.23453882126427,5.77,118,,78.67386111111112,10.250055555555555,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67386111111112 10.250055555555555, 78.67205555555556 10.252027777777778)"
33,T.NO 32 (34)SC,S,24,31-32,YES,,294.4961799412685,3.96,121,,78.67205555555556,10.252027777777778,GOOD,GOOD,NO,,,,RUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67205555555556 10.252027777777778, 78.67036111111112 10.253777777777778)"
34,T.NO 33 (35)SC,S,24,32-33,NO,,266.6927070618917,6.57,122,,78.67036111111112,10.253777777777778,GOOD,GOOD,NO,LT 2 NOS,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67036111111112 10.253777777777778, 78.66836111111111 10.255944444444445)"
35,T.NO 34SC,S,24,33-34,NO,,326.45520366506645,3.11,124,,78.66836111111111,10.255944444444445,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66836111111111 10.255944444444445, 78.66641666666668 10.258055555555556)"
36,T.NO 35SC,S,24,34-35,NO,,316.4253466459348,6.01,122,,78.66641666666668,10.258055555555556,GOOD,GOOD,NO,LT,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66641666666668 10.258055555555556, 78.66486111111112 10.259777777777778)"
37,T.NO 36SC,S,24,35-36,NO,,253.71243564319033,3.61,130,,78.66486111111112,10.259777777777778,GOOD,GOOD,NO,LT,MUD ROAD ,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66486111111112 10.259777777777778, 78.66344444444445 10.261333333333333)"
38,T.NO 37SC,T,28,36-37,NO,,234.43762496664223,3.69,136,"44°46'54.28""",78.66344444444445,10.261333333333333,GOOD,GOOD,NO,,,PLAIN LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66344444444445 10.261333333333333, 78.66075000000001 10.261472222222222)"
39,T.NO 38SC,S,27,37-38,NO,,294.55050500720586,6.61,132,,78.66075000000001,10.261472222222222,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66075000000001 10.261472222222222, 78.65836111111112 10.261722222222222)"
40,T.NO 39SC,S,27,38-39,NO,,262.497619036821,3.21,134,,78.65836111111112,10.261722222222222,GOOD,GOOD,NO,"11KV , LT",TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65836111111112 10.261722222222222, 78.65616666666668 10.261777777777779)"
41,T.NO 40SC,S,24,39-40,NO,,240.16869071550522,3.22,135,,78.65616666666668,10.261777777777779,GOOD,GOOD,NO,,,CULTIVATION LAND,INSIDE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65616666666668 10.261777777777779, 78.65408333333333 10.261861111111111)"
42,T.NO 41 (43)SC,T,28,40-41,DIFFICULT,,229.21823662178366,6.71,152,"44°22'30.37""",78.65408333333333,10.261861111111111,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65408333333333 10.261861111111111, 78.65230555555556 10.263694444444445)"
43,T.NO 42 (44)SC,S,27,41-42,YES,,280.87185690275203,5.33,137,,78.65230555555556,10.263694444444445,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65230555555556 10.263694444444445, 78.6503888888889 10.265555555555556)"
44,T.NO 43SC,S,27,42-43,NO,,294.15982050579237,,137,,78.6503888888889,10.265555555555556,GOOD,GOOD,NO,,TAAR ROAD,,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6503888888889 10.265555555555556, 78.64866666666667 10.267361111111112)"
45,T.NO 44SC,T,28,43-44,NO,,273.80467490530543,3.91,138,"54°4'15.01""",78.64866666666667,10.267361111111112,GOOD,GOOD,NO,,,WATER LOGGED AREA,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64866666666667 10.267361111111112, 78.64897222222223 10.268944444444445)"
46,T.NO 45 (47)SC,S,27,44-45,NO,,178.27226368675525,4.71,139,,78.64897222222223,10.268944444444445,GOOD,GOOD,NO,,,PLAIN AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64897222222223 10.268944444444445, 78.64927777777778 10.270472222222223)"
47,T.NO 46 (48)SC,T,31,45-46,YES,,172.19175357722565,6.01,141,"49°48'1.92""",78.64927777777778,10.270472222222223,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64927777777778 10.270472222222223, 78.6481388888889 10.271833333333333)"
48,T.NO 47SC,S,24,46-47,NO,,194.90510511528424,5.91,142,,78.6481388888889,10.271833333333333,GOOD,GOOD,NO,LT,TAAR ROAD,MUD ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6481388888889 10.271833333333333, 78.64711111111112 10.273083333333334)"
49,T.NO 48SC,T,27,47-48,NO,,178.6644900364927,5.11,139,"7°21'57.01""",78.64711111111112,10.273083333333334,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64711111111112 10.273083333333334, 78.64594444444445 10.274972222222223)"
50,T.NO 49SC,S,24,48-49,NO,,246.272207120495,4.61,136,,78.64594444444445,10.274972222222223,GOOD,GOOD,NO,LT,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64594444444445 10.274972222222223, 78.64472222222223 10.277083333333334)"
51,T.NO 50SC,S,24,49-50,YES,,269.65162710430656,3.11,138,,78.64472222222223,10.277083333333334,GOOD,GOOD,NO,LT,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64472222222223 10.277083333333334, 78.64333333333335 10.279333333333334)"
52,T.NO 51SC,S,24,50-51,NO,,291.8938163099726,3.99,143,,78.64333333333335,10.279333333333334,GOOD,GOOD,NO,LT,MUD ROAD ,,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64333333333335 10.279333333333334, 78.64294444444445 10.282166666666667)"
53,T.NO 52SC,T,29,51-52,YES,,315.67388235329196,5.16,144,"18°19'19.55""",78.64294444444445,10.282166666666667,GOOD,GOOD,NO,,TAAR ROAD,,"BUSHES, POND CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64294444444445 10.282166666666667, 78.64200000000001 10.284027777777778)"
54,T.NO 53SC,S,24,52-53,YES,,229.88910370002316,3.31,138,,78.64200000000001,10.284027777777778,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64200000000001 10.284027777777778, 78.64183333333334 10.286722222222222)"
55,T.NO 54SC,T,26,53-54,NO,,296.4321170183825,6.11,137,"24°21'36.77""",78.64183333333334,10.286722222222222,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64183333333334 10.286722222222222, 78.64097222222223 10.288333333333334)"
56,T.NO 55SC,T,26,54-55,NO,,201.71762441591463,6.71,135,"18°3'42.56""",78.64097222222223,10.288333333333334,GOOD,GOOD,NO,11KV,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64097222222223 10.288333333333334, 78.64055555555557 10.290722222222222)"
57,T.NO 56SC,S,24,55-56,NO,,269.6145396672813,4.61,132,,78.64055555555557,10.290722222222222,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64055555555557 10.290722222222222, 78.64016666666667 10.293222222222223)"
58,T.NO 57SC,S,24,56-57,NO,,280.3176769310134,3.61,129,,78.64016666666667,10.293222222222223,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64016666666667 10.293222222222223, 78.63969444444444 10.295638888888888)"
59,T.NO 58SC,S,27,57-58,NO,,272.44265451650557,6.67,127,,78.63969444444444,10.295638888888888,GOOD,GOOD,NO,LT 2 NOS,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63969444444444 10.295638888888888, 78.63930555555557 10.298194444444444)"
60,T.NO 59SC,S,24,58-59,NO,,285.674640106538,4.17,131,,78.63930555555557,10.298194444444444,GOOD,GOOD,NO,,,INSIDE FENCH,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63930555555557 10.298194444444444, 78.63883333333334 10.300638888888889)"
61,T.NO 60  (61)SC,T,28,59-60,NO,,276.739950133695,4.68,130,"26°18'54.73""",78.63883333333334,10.300638888888889,GOOD,GOOD,NO,11KV,,CULTIVATION LAND,BUSHES,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63883333333334 10.300638888888889, 78.63786111111112 10.301916666666667)"
62,T.NO 61SC,S,24,60-61,NO,,176.40011337864837,3.61,130,,78.63786111111112,10.301916666666667,GOOD,GOOD,NO,LT 2 NOS,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63786111111112 10.301916666666667, 78.63688888888889 10.303)"
63,T.NO 62SC,T,28,61-62,YES,,159.55249919697278,3.69,131,"52°19'46.18""",78.63688888888889,10.303,GOOD,GOOD,NO,,MUD ROAD ,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63688888888889 10.303, 78.63741666666667 10.30563888888889)"
64,T.NO 63SC,S,24,62-63,NO,,297.12118739665806,3.91,131,,78.63741666666667,10.30563888888889,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63741666666667 10.30563888888889, 78.63797222222223 10.307833333333335)"
65,T.NO 64SC,S,27,63-64,YES,,250.06599129029922,5.96,129,,78.63797222222223,10.307833333333335,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63797222222223 10.307833333333335, 78.6383888888889 10.310500000000001)"
66,T.NO 65 (66)SC,T,31,64-65,YES,,297.89259809535383,5.61,132,"36°10'19.42""",78.6383888888889,10.310500000000001,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6383888888889 10.310500000000001, 78.63744444444445 10.312333333333335)"
67,T.NO 66SC,S,24,65-66,NO,,229.87170334775874,4.61,131,,78.63744444444445,10.312333333333335,GOOD,GOOD,NO,11KV,TAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63744444444445 10.312333333333335, 78.63541666666667 10.314194444444444)"
68,T.NO 67SC,T,26,66-67,NO,,302.1208367524491,6.67,138,"22°25'55.38""",78.63541666666667,10.314194444444444,GOOD,GOOD,NO,,MUD ROAD ,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63541666666667 10.314194444444444, 78.63336111111111 10.314916666666667)"
69,T.NO 68SC,S,24,67-68,DIFFICULT,,239.23210486889087,3.61,128,,78.63336111111111,10.314916666666667,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63336111111111 10.314916666666667, 78.6316111111111 10.315611111111112)"
70,T.NO 69SC,S,24,68-69,DIFFICULT,,207.23899247004653,3.46,123,,78.6316111111111,10.315611111111112,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6316111111111 10.315611111111112, 78.62916666666666 10.316694444444444)"
71,T.NO 70SC,S,24,69-70,DIFFICULT,,292.72683512107324,5.61,124,,78.62916666666666,10.316694444444444,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62916666666666 10.316694444444444, 78.62705555555554 10.317499999999999)"
72,T.NO 71 (73)SC,T,24,70-71,DIFFICULT,,246.78938388836744,6.69,126,"8°5'17.33""",78.62705555555554,10.317499999999999,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62705555555554 10.317499999999999, 78.62497222222221 10.318)"
73,T.NO 72SC,S,24,71-72,DIFFICULT,,234.77648945326703,7.91,127,,78.62497222222221,10.318,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62497222222221 10.318, 78.62266666666666 10.320083333333333)"
74,T.NO 73SC,S,24,72-73,DIFFICULT,,341.0630440255877,6.66,125,,78.62266666666666,10.320083333333333,GOOD,GOOD,NO,LT,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62266666666666 10.320083333333333, 78.62091666666666 10.321416666666666)"
75,T.NO 74SC,S,24,73-74,DIFFICULT,,243.47895186237352,7.17,126,,78.62091666666666,10.321416666666666,GOOD,GOOD,NO,LT,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62091666666666 10.321416666666666, 78.6183611111111 10.322444444444445)"
76,T.NO 75SC,T,26,74-75,DIFFICULT,,302.3177136722227,6.15,128,"27°37'1.88""",78.6183611111111,10.322444444444445,GOOD,GOOD,NO,LT,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6183611111111 10.322444444444445, 78.61627777777777 10.322222222222223)"
77,T.NO 76SC,S,24,75-76,DIFFICULT,,231.04977818643323,6.67,126,,78.61627777777777,10.322222222222223,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61627777777777 10.322222222222223, 78.61433333333333 10.322055555555556)"
78,T.NO 77SC,T,24,76-77,DIFFICULT,,213.67732682715777,7.19,130,"9°56'3.21""",78.61433333333333,10.322055555555556,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61433333333333 10.322055555555556, 78.61325 10.322138888888889)"
79,T.NO 78SC,T,28,77-78,YES,,117.51595636338071,6.65,129,"45°17'57.71""",78.61325,10.322138888888889,GOOD,GOOD,NO,11KV,MUD ROAD ,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61325 10.322138888888889, 78.61208333333333 10.323527777777777)"
80,T.NO 79SC,T,28,78-79,DIFFICULT,,200.38463014912097,5.17,129,"36°14'58.50""",78.61208333333333,10.323527777777777,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61208333333333 10.323527777777777, 78.61016666666666 10.324)"
81,T.NO 80SC,S,27,79-80,YES,,216.83173199511182,3.9,129,,78.61016666666666,10.324,GOOD,GOOD,NO,11KV,,PLAIN LAND,"BUSHES, POND CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61016666666666 10.324, 78.60766666666666 10.3245)"
82,T.NO 81SC,S,24,80-81,NO,,277.50495491071865,6.67,133,,78.60766666666666,10.3245,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60766666666666 10.3245, 78.60552777777777 10.324916666666667)"
