S. No ,Tower No,Supspension/Tenion,,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO-30,T,DB,DC,27,29-30,NO,284.50834785643815,,64,"0°00'00.00""",79.15397222222222,10.767611111111112,GOOD,GOOD,NO,"3nos LT, 11KV",3nos STREET TAAR ROAD,PLAIN LAND,OVER BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15397222222222 10.767611111111112, 79.15675 10.767416666666668)"
T,T.NO-31,S,DA,DC,26,30-31,YES,304.8688242506931,0.55,60,"3°46'0.33""",79.15675,10.767416666666668,GOOD,GOOD,NO,,RIVER CROSSING,PLAIN LAND,PUDHU RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15675 10.767416666666668, 79.15958333333334 10.76738888888889)"
14,T.NO-32,S,DA,DC,26,31-32,NO,307.01465763054375,0.46,57,"2°45'28.46""",79.15958333333334,10.76738888888889,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15958333333334 10.76738888888889, 79.16208333333334 10.767277777777778)"
15,T.N0-33,T,DC,DC,26,32-33,NO,276.4633791300396,1.02,56,"17°21'14.49""",79.16208333333334,10.767277777777778,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16208333333334 10.767277777777778, 79.16286111111111 10.767472222222223)"
16,T.NO-5 LILO,T,DD,DC,29,33-5 LILO,YES,86.58521813797087,,58,"55°52'6.69""",79.16286111111111,10.767472222222223,GOOD,GOOD,NO,,CANAL,PLAIN LAND," LILO TO AYYAMPETTAI 110KV ( NEED JUNCTION BOX ) OVER BUSHES, 2 EARTH WIRE. 1E/W CONNECT TO AYYAMPETTAI 110KV T.NO-34, ANOTHER E/W CONTINUE TO OUR T.NO-4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16286111111111 10.767472222222223, 79.1631388888889 10.768194444444445)"
17,T.NO-4,T,DC,DC,32,5 LILO-4,YES,87.31551981177229,0.27,55,"17°55'13.75""",79.1631388888889,10.768194444444445,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1631388888889 10.768194444444445, 79.16316666666667 10.768916666666668)"
18,T.NO-3,T,DB,DC,27,4-3,YES,79.05694150420949,0.35,55,"7°0'50.73""",79.16316666666667,10.768916666666668,GOOD,GOOD,NO,"66KV SC LINE CROSSING BELOW(NOT IN USE)  OUR LINE, LT",TAAR ROAD (SH),PLAIN LAND,OVER BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16316666666667 10.768916666666668, 79.16325 10.769527777777778)"
19,T.NO-2,T,DD,DC,26,3-2,YES,68.8839603971781,1.69,52,"59°10'49.00""",79.16325,10.769527777777778,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16325 10.769527777777778, 79.16377777777778 10.76975)"
20,T.NO-1,T,DD,DC,26,2-1,YES,62.39390995922599,,53,"46°12'9.96""",79.16377777777778,10.76975,GOOD,GOOD,YES,11KV,,PLAIN LAND,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16377777777778 10.76975, 79.16388888888889 10.770000000000001)"
21,GANTRY MARIAMMANKOIL 11OKV ,GANTRY,GANTRY,GANTRY,20,1-GANTRY,SS,29.154759474226502,,52,,79.16388888888889,10.770000000000001,GOOD,NO,,,,SS, NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,=SUM(I8:I26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
