Tower No,Tower Type,Tower Type,Tower Height (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,SA,S,26,10-11,,250,3.81,152.75,,11.75951325415186,78.89787280777415,GOOD,GOOD,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89787280777415 11.75951325415186, 78.89651410133949 11.761039075728208)"
12,SA,S,26,11-12,,224.6011,4.23,152.22,,11.761039075728208,78.89651410133949,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89651410133949 11.761039075728208, 78.89510280929692 11.762609255717567)"
13,SB,T,24,12-13,,232.0761,7.89,155.18,"7d20'33""RT",11.762609255717567,78.89510280929692,GOOD,GOOD,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89510280929692 11.762609255717567, 78.89312138240632 11.765487777228866)"
14,SA,S,26,13-14,,384,,153.26,,11.765487777228866,78.89312138240632,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89312138240632 11.765487777228866, 78.8920107268578 11.767094463715098)"
15,SA,S,26,14-15,,215,4.68,156.52,,11.767094463715098,78.8920107268578,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8920107268578 11.767094463715098, 78.89028583831521 11.769596388992978)"
16,SA,S,26,15-16,,334.664,1.04,157.26,,11.769596388992978,78.89028583831521,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89028583831521 11.769596388992978, 78.88887302347943 11.771645620339743)"
17,SA,S,26,16-17,,274.1123,6.72,153.83,,11.771645620339743,78.88887302347943,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88887302347943 11.771645620339743, 78.88738681427847 11.773801251587853)"
18,SC,T,26,17-18,,288.3467,,156.85," 23d14'33""LT",11.773801251587853,78.88738681427847,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88738681427847 11.773801251587853, 78.8852840416773 11.775124632972402)"
19,SA,S,26,18-19,,272.0162,,157.54,,11.775124632972402,78.8852840416773,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8852840416773 11.775124632972402, 78.88337481675465 11.776337247255016)"
20,SA,S,26,19-20,,247.6442,,158.93,,11.776337247255016,78.88337481675465,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88337481675465 11.776337247255016, 78.88093707333135 11.777869657310884)"
21,SA,S,26,20-21,,315,,163.16,,11.777869657310884,78.88093707333135,GOOD,GOOD,HT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88093707333135 11.777869657310884, 78.87878956660919 11.779200302237541)"
22,SA,S,26,21-22,,276,,163.43,,11.779200302237541,78.87878956660919,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87878956660919 11.779200302237541, 78.87714882017525 11.780244249654208)"
23,SB,T,24,22-23,,213,4.87,161.91," 11d35'13""LT",11.780244249654208,78.87714882017525,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87714882017525 11.780244249654208, 78.87390882290664 11.781465244518632)"
24,SA,S,26,23-24,,378.1757,2.8,161.7,,11.781465244518632,78.87390882290664,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87390882290664 11.781465244518632, 78.8708182793515 11.782635835538768)"
25,SA,S,26,24-25,,360.9651,,162.82,,11.782635835538768,78.8708182793515,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8708182793515 11.782635835538768, 78.8681508263804 11.783634245314328)"
26,SA,S,26,25-26,,311.0764,,165.29,,11.783634245314328,78.8681508263804,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8681508263804 11.783634245314328, 78.86533482769865 11.784707247976872)"
27,SA,S,26,26-27,,329.1515,,165.74,,11.784707247976872,78.86533482769865,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86533482769865 11.784707247976872, 78.86290334640618 11.785624998274352)"
28,SA,S,26,27-28,,284,4.95,165.47,,11.785624998274352,78.86290334640618,GOOD,GOOD,"LT-1,HT-2",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86290334640618 11.785624998274352, 78.86006643171562 11.786695765708005)"
29,SA,S,26,28-29,,331.1838,5.25,165.61,,11.786695765708005,78.86006643171562,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86006643171562 11.786695765708005, 78.85759445412538 11.787628705786197)"
30,SA,S,26,29-30,,288.5817,17.95,166.23,,11.787628705786197,78.85759445412538,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85759445412538 11.787628705786197, 78.85580983419996 11.78830224333923)"
31,SC,T,26,30-31,,208.3407,14.47,165.85," 23d14'34""RT",11.78830224333923,78.85580983419996,GOOD,GOOD,HT-1,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85580983419996 11.78830224333923, 78.85410212376499 11.789938523933438)"
32,SA,S,26,31-32,,259.6891,,168.68,,11.789938523933438,78.85410212376499,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85410212376499 11.789938523933438, 78.85214476857499 11.791813978974027)"
33,SA,S,26,32-33,,297.6554,19.85,168.86,,11.791813978974027,78.85214476857499,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85214476857499 11.791813978974027, 78.8504568376083 11.793431243109294)"
34,SC,T,26,33-34,,256.6788,2.11,168.33," 18d18'42""RT",11.793431243109294,78.8504568376083,GOOD,GOOD,LT-1,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8504568376083 11.793431243109294, 78.84920683809639 11.795798240371612)"
35,SD,T,28,34-35,,295.2405,,169.1," 48d20'15""LT",11.795798240371612,78.84920683809639,GOOD,GOOD,HT-1,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84920683809639 11.795798240371612, 78.84721208574139 11.796294606480435)"
36,SA,S,26,35-36,,224.2856,,170.2,,11.796294606480435,78.84721208574139,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84721208574139 11.796294606480435, 78.84506924575419 11.796827804769812)"
37,SA,S,26,36-37,,240.9332,17.34,173.78,,11.796827804769812,78.84506924575419,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84506924575419 11.796827804769812, 78.84302984235416 11.797335246652269)"
38,SD,T,28,37-38,,229.3097,3.15,174.16," 30d44'44""RT",11.797335246652269,78.84302984235416,GOOD,GOOD,LT-1,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84302984235416 11.797335246652269, 78.84111884337717 11.799219242672462)"
39,SA,S,26,38-39,,294.7176,10.45,176.14,,11.799219242672462,78.84111884337717,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84111884337717 11.799219242672462, 78.83913284531178 11.801171246304824)"
40,SA,S,26,39-40,,305.8195,17.94,177.83,,11.801171246304824,78.83913284531178,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83913284531178 11.801171246304824, 78.83782084607974 11.80245424731866)"
41,SA,S,26,40-41,,201.521,9.35,182.42,,11.80245424731866,78.83782084607974,GOOD,GOOD,"LT-2,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83782084607974 11.80245424731866, 78.83618554530197 11.804059042697022)"
42,SA,S,26,41-42,,251.6088,,178.87,,11.804059042697022,78.83618554530197,GOOD,GOOD,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83618554530197 11.804059042697022, 78.83468484805348 11.805533244456754)"
43,SB,T,24,42-43,,231.0247,9.3,181.33," 4d50'3""LT",11.805533244456754,78.83468484805348,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83468484805348 11.805533244456754, 78.83281484941159 11.8070892424652)"
44,SA,S,26,43-44,,266.8326,11.65,182.46,,11.8070892424652,78.83281484941159,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83281484941159 11.8070892424652, 78.83084385056137 11.808725239692299)"
45,SA,S,26,44-45,,280.9555,5.05,184.96,,11.808725239692299,78.83084385056137,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83084385056137 11.808725239692299, 78.82893985131102 11.810296245402403)"
46,SB,T,24,45-46,,270.7358,2.98,187.98," 12d29'11""RT",11.810296245402403,78.82893985131102,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82893985131102 11.810296245402403, 78.82787770390459 11.811663274314679)"
47,SA,S,26,46-47,,190.4599,3.15,189.67,,11.811663274314679,78.82787770390459,GOOD,GOOD,HT-1,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82787770390459 11.811663274314679, 78.82710385303558 11.812659241825523)"
48,SD,T,28,47-48,,138.7865,2.97,188.54," 39d10'48""LT",11.812659241825523,78.82710385303558,GOOD,GOOD,HT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82710385303558 11.812659241825523, 78.82546185355123 11.813044241258256)"
49,SD,T,28,48-49,,183.993,14.92,192.89," 87d4'11""RT",11.813044241258256,78.82546185355123,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82546185355123 11.813044241258256, 78.82553885386253 11.813455241869576)"
GANTRY KALLAKURICHI,GANTRY,T,20,49-GAT,,46,,196.65,,11.813455241869576,78.82553885386253,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=SUM(G8:G56),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
