SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,T,"03°44'38""LT",HC,21.94,T9-T10,344.39432016808394,2.42,70,8.73246038213057,77.60146267540456,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60146267540456 8.73246038213057, 77.60335732550527 8.734655118052245)"
12,11,S,,GC,23.62,T10-T11,320.179333057187,1.52,71,8.734655118052245,77.60335732550527,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60335732550527 8.734655118052245, 77.60531298875594 8.736976764331132)"
13,12,S,,GC,23.62,T11-T12,335.23529165358775,1.74,73,8.736976764331132,77.60531298875594,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60531298875594 8.736976764331132, 77.60696221162038 8.73896767892542)"
14,13,S,,GC,23.62,T12-T13,285.51924411489125,1.46,76,8.73896767892542,77.60696221162038,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60696221162038 8.73896767892542, 77.60881528688641 8.741272074436099)"
15,14,S,,GC,23.62,T13-T14,326.6006993639671,1.59,71,8.741272074436099,77.60881528688641,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60881528688641 8.741272074436099, 77.61074244708092 8.743483989131558)"
16,15,T,"00°29'11""LT",HC,21.94,T14-T15,323.9559079658454,2.72,66,8.743483989131558,77.61074244708092,GOOD,AVAILABLE,11KV LINE ,"CART TRACK,ROAD",PLAIN LAND,"DC LINE, 11kv LINE ,cart track ,road,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61074244708092 8.743483989131558, 77.61243459036118 8.745611400209471)"
17,16,S,,GC,23.62,T15-T16,300.24051529570653,1.89,67,8.745611400209471,77.61243459036118,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61243459036118 8.745611400209471, 77.61416393962936 8.747655615158289)"
18,17,S,,GC+3,26.62,T16-T17,295.696942162065,1.49,65,8.747655615158289,77.61416393962936,GOOD,AVAILABLE,,ROAD,PLAIN LAND,"DC LINE,Road,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61416393962936 8.747655615158289, 77.61599790711956 8.74987810569272)"
19,18,S,,GC,23.62,T17-T18,318.23277243241097,1.53,64,8.74987810569272,77.61599790711956,GOOD,AVAILABLE,,"ODAI (NALA),ROAD",WATER LOGGED AREA,"DC line , odai(nala) , Road , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61599790711956 8.74987810569272, 77.61770546079046 8.751909043288723)"
20,19,S,,GC,23.62,T18-T19,293.02828337372233,1.82,64,8.751909043288723,77.61770546079046,GOOD,AVAILABLE,,ODAI(NALA),PLAIN LAND,"dC line,odai( nala) , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61770546079046 8.751909043288723, 77.61949818325253 8.754062908347635)"
21,20,S,,GC,23.62,T19-T20,309.48347331642987,1.71,64,8.754062908347635,77.61949818325253,GOOD,AVAILABLE,LT LINE,"CART TRACK-2NOS,ODAI(NALA)",WATER LOGGED AREA,"DC line , 2nos cart track, 1nos LT line, odai(nala) , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61949818325253 8.754062908347635, 77.62134556174621 8.756324459236804)"
22,21,S,,GC,23.62,T20-T21,322.5140451282262,1.38,66,8.756324459236804,77.62134556174621,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC line  , 11kv line , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62134556174621 8.756324459236804, 77.6231885667546 8.758565115270526)"
23,22,S,,GC,23.62,T21-T22,320.41733437670416,1.54,66,8.758565115270526,77.6231885667546,GOOD,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"Dc line , LT line , CART track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6231885667546 8.758565115270526, 77.6250731605532 8.760802113308417)"
24,23,T,"00°03'50""LT",HC,21.94,T22-T23,323.0259035076861,2.76,68,8.760802113308417,77.6250731605532,GOOD,AVAILABLE,11KV LINE,CART TRACK,PLAIN LAND,"Dc line, 11kv line , cart track ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6250731605532 8.760802113308417, 77.62685548249486 8.76303612204717)"
25,24,S,,GC,23.62,T23-T24,315.651387871225,1.84,69,8.76303612204717,77.62685548249486,GOOD,AVAILABLE,,"POND,ODAI BUND",WATER LOGGED AREA,"DC line  , pond ,odai bund , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62685548249486 8.76303612204717, 77.62857712729192 8.765092177057893)"
26,25,S,,GC,23.62,T24-T25,296.1549008154116,1.58,69,8.765092177057893,77.62857712729192,GOOD,AVAILABLE,,POND ,WATER LOGGED AREA,"Dc line  , pond, water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62857712729192 8.765092177057893, 77.63025887688961 8.767089564294515)"
27,26,S,,GC,23.62,T25-T26,288.35565615056515,1.36,70,8.767089564294515,77.63025887688961,GOOD,AVAILABLE,LT LINE-3NOS,CART TRACK,PLAIN LAND,"Dc line , 3nos LT line , cart track, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63025887688961 8.767089564294515, 77.63195235346444 8.769133337862836)"
28,27,T,"00°06'16""RT",HC,21.94,T26-T27,293.12904196790214,2.84,70,8.769133337862836,77.63195235346444,GOOD,AVAILABLE,,,PLAIN LAND,"Dc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63195235346444 8.769133337862836, 77.63323981753307 8.770686700962575)"
29,28,T,"00°04'41""LT",HC+3,24.94,T27-T28,222.81559055410048,2.9,71,8.770686700962575,77.63323981753307,GOOD,AVAILABLE,LT LINE,"ROAD,ODAI(NALA)",AGRI LAND,"DC line , Road SH 39 ( thenkasi to tirunelveli), ODAI(NALA) , LT  LINE, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63323981753307 8.770686700962575, 77.63499163034855 8.772814944781421)"
30,29,S,,GC,23.62,T28-T29,304.42913344480297,1.53,72,8.772814944781421,77.63499163034855,GOOD,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"DC line  , cart track , LT line , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63499163034855 8.772814944781421, 77.6368990209968 8.775113821246189)"
31,30,T,"00°31'51""LT",HC,21.94,T29-T30,329.8941240231959,2.49,73,8.775113821246189,77.6368990209968,GOOD,AVAILABLE,LT LINE,,PLAIN LAND,"DC line , well, LT line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6368990209968 8.775113821246189, 77.63869341041696 8.77732619578559)"
32,31,T,"00°52'06""RT",HC,21.94,T30-T31,314.61053437547037,2.78,72,8.77732619578559,77.63869341041696,GOOD,AVAILABLE,400KV LINE,ODAI(NALA),PLAIN LAND,"Dc line , 400 kv multi circuit  under crossing in our line , odai(nala) , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63869341041696 8.77732619578559, 77.64044992913416 8.779425908029314)"
33,32,T,"00°20'53""LT",HC,21.94,T31-T32,302.3230295230184,2.76,75,8.779425908029314,77.64044992913416,GOOD,AVAILABLE,400KV LINE-2NOS,,PLAIN LAND,"Dc line , 2 nos  400 kv under crossing in our line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64044992913416 8.779425908029314, 77.64225002785288 8.781604463523202)"
34,33,T,"00°24'42""LT",HC,21.94,T32-T33,312.10474120883606,2.74,76,8.781604463523202,77.64225002785288,GOOD,AVAILABLE,400KV LINE,CART TRACK,PLAIN LAND,"Dc line , 400 kv under crossing in our line , cart track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64225002785288 8.781604463523202, 77.64416612817794 8.783889696918166)"
35,34,T,"01°03'43""LT",HC,21.94,T33-T34,329.34327711063787,2.37,78,8.783889696918166,77.64416612817794,GOOD,NOT AVAILABLE,230Kv line,"ODAI (NALA),CART TRACK",PLAIN LAND,"DC line, 230 kv under crossing in our line , T33-T34 EARTHWIRE IS NOT AVAILABLE , odai(nala) ,  cart track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64416612817794 8.783889696918166, 77.64591391800043 8.786021178618297)"
36,35,S,,GC,26.62,T34-T35,304.4247944977675,1.9,78,8.786021178618297,77.64591391800043,GOOD,AVAILABLE,400KV LINE,ROAD,PLAIN LAND,"SC line  , 400 kv under crossing in our line , Road , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64591391800043 8.786021178618297, 77.6477079812409 8.788276572542372)"
37,36,T,"05°40'16""RT",HC,21.94,T35-T36,318.30646007429675,2.82,79,8.788276572542372,77.6477079812409,GOOD,AVAILABLE,"LT LINE,400KV LINE",,PLAIN LAND,"DC line, LT , 400 kv under crossing in our line , plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6477079812409 8.788276572542372, 77.64862127677873 8.789202969186054)"
38,36A,T,"07°55'28""LT",HC,21.94,T36-T36A,143.60330974243757,2.52,80,8.789202969186054,77.64862127677873,GOOD,AVAILABLE,,,PLAIN LAND,"Dc line  , loli on tvl , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64862127677873 8.789202969186054, 77.64934312337164 8.790172775855877)"
39,37,T,"02°36'09""RT",HC,21.94,T36A-T37,133.55070327408754,2.45,78,8.790172775855877,77.64934312337164,GOOD,NOT AVAILABLE,,,PLAIN LAND,"Dc line , plain land, T36A-T387 EARTHWIRE IS NOT AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64934312337164 8.790172775855877, 77.651294432813 8.792551065488926)"
40,38,S,,GC,23.62,T37-T38,339.75319106079417,1.86,77,8.792551065488926,77.651294432813,GOOD,AVAILABLE,,"ODAI BUND,ODAI (NALA)-2NOS",AGRI LAND,"DC line  , 2nos odai( nala) , odai bund , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.651294432813 8.792551065488926, 77.65310425183488 8.794773276716093)"
41,39,T,"00°44'42""RT",HC,21.94,T38-T39,316.52312412362596,2.58,79,8.794773276716093,77.65310425183488,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC line , LT line , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65310425183488 8.794773276716093, 77.654890938468 8.796908666299485)"
42,40,S,,GC,23.62,T39-T40,307.48047914138346,1.32,87,8.796908666299485,77.654890938468,GOOD,AVAILABLE,,ODAI(NALA),PLAIN LAND,"DC line  , odai(nala) , cart track, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.654890938468 8.796908666299485, 77.6567912890843 8.799175918025176)"
43,41,S,,GC,23.62,T40-T41,326.7023481304876,2.33,92,8.799175918025176,77.6567912890843,GOOD,AVAILABLE,,,PLAIN LAND,"DC line  , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6567912890843 8.799175918025176, 77.65855785375392 8.801269204520581)"
44,42,T,"00°38'24""LT",HC+3,24.94,T41-T42,302.48398827383573,2.53,89,8.801269204520581,77.65855785375392,GOOD,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"DC line  , Road , 11kv line , sheet , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65855785375392 8.801269204520581, 77.6600109411105 8.80303978292916)"
45,43,T,"38°02'55""RT",KC+3,27,T42-T43,252.96373809897665,2.93,99,8.80303978292916,77.6600109411105,GOOD,AVAILABLE,"11KV LINE,LT LINE-2NOS",ROAD NH-41,PLAIN LAND,"Dc line , Road SH 41 ( tirunelveli to sankarankovil ) , 11kv line , 2nos LT line, street road , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6600109411105 8.80303978292916, 77.66115877296548 8.803297584929712)"
46,44,T,"10°17'28""LT",HC,21.94,T43-T44,129.5459086694055,2.42,98,8.803297584929712,77.66115877296548,GOOD,AVAILABLE,LT LINE-2NOS,"FENCING-2NOS,ROAD",HILLS AREA,"DC LINE ,2NOS LT LINE,2NOS  COMPOUND,2NOS FENCING,(TIRUNELVELI TO SANGARANKOIL) ROAD ,HILL AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66115877296548 8.803297584929712, 77.66252014600225 8.80409996237305)"
47,45,S,,GC,23.62,T44-T45,174.20763206297423,1.58,99,8.80409996237305,77.66252014600225,GOOD,AVAILABLE,,,HILLS AREA,"DC LINE,HILL AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66252014600225 8.80409996237305, 77.66511820661503 8.805143233212114)"
48,46,S,,GC,23.62,T45-T46,308.4476547763408,1.7,104,8.805143233212114,77.66511820661503,GOOD,AVAILABLE,LT LINE,,HILLS AREA,"DC LINE,LT LINE,HILL AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66511820661503 8.805143233212114, 77.66764987020188 8.806221299304855)"
49,47,S,,GC,23.62,T46-T47,303.1766501991828,1.82,104,8.806221299304855,77.66764987020188,GOOD,AVAILABLE,,,HILLS AREA,"DC LINE,HILL AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66764987020188 8.806221299304855, 77.67038673289882 8.807311280945038)"
50,48,S,,GC,23.62,T47-T48,324.5536594217437,1.73,105,8.807311280945038,77.67038673289882,GOOD,AVAILABLE,,,HILLS AREA,"DC LINE ,HILL AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67038673289882 8.807311280945038, 77.67298847091868 8.808351231544565)"
51,49,S,,GC,23.62,T48-T49,308.68557021343844,1.84,104,8.808351231544565,77.67298847091868,GOOD,AVAILABLE,,,HILLS AREA,"DC LINE,HILL AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67298847091868 8.808351231544565, 77.67576489395965 8.809537952420062)"
52,50,S,,GC,23.62,T49-T50,332.68043885535633,1.74,98,8.809537952420062,77.67576489395965,GOOD,AVAILABLE,,FENCING ,AGRI LAND,"DC LINE,AGRI LAND,FENCING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67576489395965 8.809537952420062, 77.67822012252752 8.810506004293819)"
53,51,T,"00°36'56""RT",HC,21.94,T50-T51,290.7554291874708,2.81,95,8.810506004293819,77.67822012252752,GOOD,AVAILABLE,,FENCING,AGRI LAND,"DC LINE,AGRI LAND,FENCING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67822012252752 8.810506004293819, 77.68085002834775 8.811589345461767)"
54,52,S,,GC+3,26.62,T51-T52,313.3706475995935,1.93,93,8.811589345461767,77.68085002834775,GOOD,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC LINE,PLOT AREA,2NOS  LT,HOUSE,ROAD ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68085002834775 8.811589345461767, 77.68330827140416 8.812570977934586)"
55,53,S,,GC,23.62,T52-T53,291.6204265221767,1.72,90,8.812570977934586,77.68330827140416,GOOD,AVAILABLE,LT LINE-2NOS,FENCING-2NOS ,AGRI LAND,"DC LINE,AGRI LAND,2NOS LT, FENCING-2NOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68330827140416 8.812570977934586, 77.68599182564083 8.813694070718967)"
56,54,S,,GC+3,26.62,T53-T54,320.5156412096349,1.67,86,8.813694070718967,77.68599182564083,GOOD,AVAILABLE,LT LINE,ROAD,AGRI LAND,"DC LINE,LT LINE,ROAD ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68599182564083 8.813694070718967, 77.68854327983063 8.814737318954347)"
57,55,T,"26°01'46""LT",HC+3,24.94,T54-T55,303.6940524162301,2.59,86,8.814737318954347,77.68854327983063,GOOD,AVAILABLE,LT LINE-2NOS,ROAD,WATER LOGGED AREA,"DC LINE,2NOS LT LINE,ROAD ,POND AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68854327983063 8.814737318954347, 77.69057337186487 8.817100862076385)"
58,56,S,,GC+3,26.62,T55-T56,344.06205024092344,1.76,81,8.817100862076385,77.69057337186487,GOOD,AVAILABLE,11KV LINE-2NOS,ROAD,AGRI LAND,"DC LINE,2NOS 11 KV LINE,LT LINE,ROAD ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69057337186487 8.817100862076385, 77.69234832832794 8.819003881089852)"
59,57,T,"00°12'19""RT",HC,21.94,T56-T57,287.3049383721256,2.84,82,8.819003881089852,77.69234832832794,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,LILO,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69234832832794 8.819003881089852, 77.69403845401608 8.820797218075612)"
60,58,S,,GC,23.62,T57-T58,272.0573878963241,1.91,81,8.820797218075612,77.69403845401608,GOOD,AVAILABLE,"33KV LINE,LT LINE",,AGRI LAND,"DC LINE,33 KV LINE,LT LINE, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69403845401608 8.820797218075612, 77.69585833227138 8.822860565182411)"
61,59,S,,GC,23.62,T58-T59,303.7939261753308,1.75,78,8.822860565182411,77.69585833227138,GOOD,AVAILABLE,,"ODAI(NALA),FENCING",AGRI LAND,"DC LINE,ODAI(NALA),FENCING,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69585833227138 8.822860565182411, 77.69787166604122 8.825053769401494)"
62,60,S,,GC,23.62,T59-T60,328.7076397119748,1.47,80,8.825053769401494,77.69787166604122,GOOD,AVAILABLE,11KV LINE,,PLAIN LAND,"DC LINE,11 KV LINE,PLOT AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69787166604122 8.825053769401494, 77.69965164787858 8.827133655111352)"
63,61,T,"00°39'39""RT",HC+3,24.94,T60-T61,302.3065092004598,2.88,81,8.827133655111352,77.69965164787858,GOOD,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"DC LINE,11 KV LINE,ROAD ,PLOT AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69965164787858 8.827133655111352, 77.70151678545194 8.829162176101478)"
64,62,T,"00°28'51""LT",HC+3,24.94,T61-T62,304.2464291409975,2.43,82,8.829162176101478,77.70151678545194,GOOD,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"DC LINE,11 KV LINE,LT LINE,ROAD ,PLOT AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70151678545194 8.829162176101478, 77.70342349858718 8.831188700022466)"
65,63,S,,GC,23.62,T62-T63,307.1921233055983,1.52,80,8.831188700022466,77.70342349858718,GOOD,AVAILABLE,LT LINE-2NOS,,PLAIN LAND,"DC LINE,2 LT LINE,PLOTAREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70342349858718 8.831188700022466, 77.70544386996309 8.833510721201042)"
66,64,S,,GC,23.62,T63-T64,339.8777301148324,1.78,80,8.833510721201042,77.70544386996309,GOOD,AVAILABLE,LT LINE-2NOS,,WATER LOGGED AREA,"DC LINE,2 LT LINE,POND AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70544386996309 8.833510721201042, 77.70722787975173 8.835485876301028)"
67,65,S,,GC,23.62,T64-T65,293.8712156063972,1.94,81,8.835485876301028,77.70722787975173,GOOD,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70722787975173 8.835485876301028, 77.7091604095899 8.837616388057349)"
68,66,T,"00°01'42""LT",HC,21.94,T65-T66,317.5893357104235,2.48,81,8.837616388057349,77.7091604095899,GOOD,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7091604095899 8.837616388057349, 77.71119989947239 8.839838321618586)"
69,67,S,,GC,23.62,T66-T67,332.99511357530565,1.36,82,8.839838321618586,77.71119989947239,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,LT LINE ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71119989947239 8.839838321618586, 77.71302178762272 8.841880026130006)"
70,68,S,,GC,23.62,T67-T68,302.1418658311618,1.62,82,8.841880026130006,77.71302178762272,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71302178762272 8.841880026130006, 77.71485675079673 8.843916750303434)"
71,69,S,,GC,23.62,T68-T69,302.68821458728195,1.95,83,8.843916750303434,77.71485675079673,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71485675079673 8.843916750303434, 77.71662332262761 8.84587825886379)"
72,70,T,"00°07'52""RT",HC,21.94,T69-T70,291.46374365603276,2.51,82,8.84587825886379,77.71662332262761,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71662332262761 8.84587825886379, 77.7184566154331 8.847898394378012)"
73,71,T,"00°21'33""RT",HC,21.94,T70-T71,301.19957462951936,2.9,82,8.847898394378012,77.7184566154331,GOOD,NOT AVAILABLE,230KV LINE,,AGRI LAND,"DC LINE,T70-T71 EARTHWIRE IS NOT AVAILABLE,400 KV LINE UNDER CROSSING OUR LINE ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7184566154331 8.847898394378012, 77.72026005900845 8.849881416448053)"
