S.No,Tower No.,Tower Suspension/Tension,Deviation Angle,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,56,A+0,,"=IF(C16=""A+0"",""S"",IF(C16=""DA+0"",""S"",IF(C16=""A+3"",""S"",IF(C16=""A+6"",""S"",IF(C16=""A+9"",""S"",IF(C16=FALSE,"" "",""T""))))))",28,"=B15& "" -""&B16",254,∞,"=IF(I16>15,0)",138.742783,,9.839889860081012,77.98963095598029,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98963095598029 9.839889860081012, 77.99121899134596 9.841465909197145)"
12,55,A+0,,"=IF(C17=""A+0"",""S"",IF(C17=""DA+0"",""S"",IF(C17=""A+3"",""S"",IF(C17=""A+6"",""S"",IF(C17=""A+9"",""S"",IF(C17=FALSE,"" "",""T""))))))",28,"=B16& "" -""&B17",249,∞,"=IF(I17>15,0)",138.860167999999,,9.841465909197145,77.99121899134596,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99121899134596 9.841465909197145, 77.99285698285411 9.843100883087539)"
13,54,A+0,,"=IF(C18=""A+0"",""S"",IF(C18=""DA+0"",""S"",IF(C18=""A+3"",""S"",IF(C18=""A+6"",""S"",IF(C18=""A+9"",""S"",IF(C18=FALSE,"" "",""T""))))))",28,"=B17& "" -""&B18",258,12.95,"=IF(I18>15,0)",139.756103999999,,9.843100883087539,77.99285698285411,Good,Good,,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99285698285411 9.843100883087539, 77.99463796962961 9.844858903303445)"
14,53,A+0,,"=IF(C19=""A+0"",""S"",IF(C19=""DA+0"",""S"",IF(C19=""A+3"",""S"",IF(C19=""A+6"",""S"",IF(C19=""A+9"",""S"",IF(C19=FALSE,"" "",""T""))))))",28,"=B18& "" -""&B19",278,∞,"=IF(I19>15,0)",140.564819,,9.844858903303445,77.99463796962961,Good,Good,LT,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99463796962961 9.844858903303445, 77.99614000666922 9.846348870280272)"
15,52,A+0,,"=IF(C20=""A+0"",""S"",IF(C20=""DA+0"",""S"",IF(C20=""A+3"",""S"",IF(C20=""A+6"",""S"",IF(C20=""A+9"",""S"",IF(C20=FALSE,"" "",""T""))))))",28,"=B19& "" -""&B20",236,∞,"=IF(I20>15,0)",141.368591,,9.846348870280272,77.99614000666922,Good,Good,,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99614000666922 9.846348870280272, 77.9976780020731 9.847872867780854)"
16,51,A+0,,"=IF(C21=""A+0"",""S"",IF(C21=""DA+0"",""S"",IF(C21=""A+3"",""S"",IF(C21=""A+6"",""S"",IF(C21=""A+9"",""S"",IF(C21=FALSE,"" "",""T""))))))",28,"=B20& "" -""&B21",241,∞,"=IF(I21>15,0)",138.286376999999,,9.847872867780854,77.9976780020731,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9976780020731 9.847872867780854, 77.9993780196644 9.849551930475071)"
17,50,A+0,,"=IF(C22=""A+0"",""S"",IF(C22=""DA+0"",""S"",IF(C22=""A+3"",""S"",IF(C22=""A+6"",""S"",IF(C22=""A+9"",""S"",IF(C22=FALSE,"" "",""T""))))))",28,"=B21& "" -""&B22",266,∞,"=IF(I22>15,0)",141.121658,,9.849551930475071,77.9993780196644,Good,Good,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9993780196644 9.849551930475071, 78.00105499503827 9.851221857062187)"
18,49,A+0,,"=IF(C23=""A+0"",""S"",IF(C23=""DA+0"",""S"",IF(C23=""A+3"",""S"",IF(C23=""A+6"",""S"",IF(C23=""A+9"",""S"",IF(C23=FALSE,"" "",""T""))))))",28,"=B22& "" -""&B23",259,∞,"=IF(I23>15,0)",141.141098,,9.851221857062187,78.00105499503827,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00105499503827 9.851221857062187, 78.00268401790942 9.852841911418434)"
19,48,A+0,,"=IF(C24=""A+0"",""S"",IF(C24=""DA+0"",""S"",IF(C24=""A+3"",""S"",IF(C24=""A+6"",""S"",IF(C24=""A+9"",""S"",IF(C24=FALSE,"" "",""T""))))))",28,"=B23& "" -""&B24",256,∞,"=IF(I24>15,0)",143.256302,,9.852841911418434,78.00268401790942,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00268401790942 9.852841911418434, 78.00432703855878 9.854460876128902)"
20,47,A+0,,"=IF(C25=""A+0"",""S"",IF(C25=""DA+0"",""S"",IF(C25=""A+3"",""S"",IF(C25=""A+6"",""S"",IF(C25=""A+9"",""S"",IF(C25=FALSE,"" "",""T""))))))",28,"=B24& "" -""&B25",257,∞,"=IF(I25>15,0)",144.630402,,9.854460876128902,78.00432703855878,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00432703855878 9.854460876128902, 78.00609000424171 9.856198863872285)"
21,46,A+0,,"=IF(C26=""A+0"",""S"",IF(C26=""DA+0"",""S"",IF(C26=""A+3"",""S"",IF(C26=""A+6"",""S"",IF(C26=""A+9"",""S"",IF(C26=FALSE,"" "",""T""))))))",28,"=B25& "" -""&B26",275,∞,"=IF(I26>15,0)",145.846297999999,,9.856198863872285,78.00609000424171,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00609000424171 9.856198863872285, 78.00775800296248 9.857872897687832)"
22,45,A+0,,"=IF(C27=""A+0"",""S"",IF(C27=""DA+0"",""S"",IF(C27=""A+3"",""S"",IF(C27=""A+6"",""S"",IF(C27=""A+9"",""S"",IF(C27=FALSE,"" "",""T""))))))",28,"=B26& "" -""&B27",263,∞,"=IF(I27>15,0)",145.929337,,9.857872897687832,78.00775800296248,Good,Good,2 NO'S LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00775800296248 9.857872897687832, 78.0093870258337 9.859463866840143)"
23,44,A+0,,"=IF(C28=""A+0"",""S"",IF(C28=""DA+0"",""S"",IF(C28=""A+3"",""S"",IF(C28=""A+6"",""S"",IF(C28=""A+9"",""S"",IF(C28=FALSE,"" "",""T""))))))",28,"=B27& "" -""&B28",254,∞,"=IF(I28>15,0)",144.79924,,9.859463866840143,78.0093870258337,Good,Good,3 NO'S LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0093870258337 9.859463866840143, 78.01113297625342 9.861208895379747)"
24,43,B+0,3°18'4''RT,"=IF(C29=""A+0"",""S"",IF(C29=""DA+0"",""S"",IF(C29=""A+3"",""S"",IF(C29=""A+6"",""S"",IF(C29=""A+9"",""S"",IF(C29=FALSE,"" "",""T""))))))",26,"=B28& "" -""&B29",275,3.07,"=IF(I29>15,0)",145.038574,3°18'4''RT,9.861208895379747,78.01113297625342,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01113297625342 9.861208895379747, 78.01277297941775 9.862830877573938)"
25,42,A+0,,"=IF(C30=""A+0"",""S"",IF(C30=""DA+0"",""S"",IF(C30=""A+3"",""S"",IF(C30=""A+6"",""S"",IF(C30=""A+9"",""S"",IF(C30=FALSE,"" "",""T""))))))",28,"=B29& "" -""&B30",257,∞,"=IF(I30>15,0)",147.387817,,9.862830877573938,78.01277297941775,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01277297941775 9.862830877573938, 78.0142630303354 9.86430491916744)"
26,41,A+0,,"=IF(C31=""A+0"",""S"",IF(C31=""DA+0"",""S"",IF(C31=""A+3"",""S"",IF(C31=""A+6"",""S"",IF(C31=""A+9"",""S"",IF(C31=FALSE,"" "",""T""))))))",28,"=B30& "" -""&B31",234,∞,"=IF(I31>15,0)",147.000823999999,,9.86430491916744,78.0142630303354,Good,Good,3 NO'S LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0142630303354 9.86430491916744, 78.01598400268387 9.865967888873659)"
27,40,A+0,,"=IF(C32=""A+0"",""S"",IF(C32=""DA+0"",""S"",IF(C32=""A+3"",""S"",IF(C32=""A+6"",""S"",IF(C32=""A+9"",""S"",IF(C32=FALSE,"" "",""T""))))))",28,"=B31& "" -""&B32",266,∞,"=IF(I32>15,0)",147.605377,,9.865967888873659,78.01598400268387,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01598400268387 9.865967888873659, 78.01665296237194 9.8666659338146)"
28, LILO : 39,B+0,1°56'55''RT,"=IF(C33=""A+0"",""S"",IF(C33=""DA+0"",""S"",IF(C33=""A+3"",""S"",IF(C33=""A+6"",""S"",IF(C33=""A+9"",""S"",IF(C33=FALSE,"" "",""T""))))))",26,"=B32& "" -""&B33",109,3.67,"=IF(I33>15,0)",148.735030999999,1°56'55''RT,9.8666659338146,78.01665296237194,Good,Good,,SATELITE CITY ROAD,Plain, LILO to Kapplaur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01665296237194 9.8666659338146, 78.01764898391959 9.867636893545177)"
29,38,A+0,,"=IF(C34=""A+0"",""S"",IF(C34=""DA+0"",""S"",IF(C34=""A+3"",""S"",IF(C34=""A+6"",""S"",IF(C34=""A+9"",""S"",IF(C34=FALSE,"" "",""T""))))))",28,"=B33& "" -""&B34",156,0.28,"=IF(I34>15,0)",152.440659,,9.867636893545177,78.01764898391959,Good,Good,,SATELITE CITY ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01764898391959 9.867636893545177, 78.01919896544455 9.869163908769691)"
30,37,A+0,,"=IF(C35=""A+0"",""S"",IF(C35=""DA+0"",""S"",IF(C35=""A+3"",""S"",IF(C35=""A+6"",""S"",IF(C35=""A+9"",""S"",IF(C35=FALSE,"" "",""T""))))))",28,"=B34& "" -""&B35",242,0.54,"=IF(I35>15,0)",153.903549,,9.869163908769691,78.01919896544455,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01919896544455 9.869163908769691, 78.0208620188426 9.870787902622162)"
31,36,B+0,2°45'26''RT,"=IF(C36=""A+0"",""S"",IF(C36=""DA+0"",""S"",IF(C36=""A+3"",""S"",IF(C36=""A+6"",""S"",IF(C36=""A+9"",""S"",IF(C36=FALSE,"" "",""T""))))))",26,"=B35& "" -""&B36",259,0.13,"=IF(I36>15,0)",154.091476,2°45'26''RT,9.870787902622162,78.0208620188426,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0208620188426 9.870787902622162, 78.0223789756693 9.872308882873195)"
32,35,A+0,,"=IF(C37=""A+0"",""S"",IF(C37=""DA+0"",""S"",IF(C37=""A+3"",""S"",IF(C37=""A+6"",""S"",IF(C37=""A+9"",""S"",IF(C37=FALSE,"" "",""T""))))))",28,"=B36& "" -""&B37",239,1.27,"=IF(I37>15,0)",153.036712999999,,9.872308882873195,78.0223789756693,Good,Good,"LT , 11KV",ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0223789756693 9.872308882873195, 78.02382502159557 9.87373489615742)"
33,34,A+0,,"=IF(C38=""A+0"",""S"",IF(C38=""DA+0"",""S"",IF(C38=""A+3"",""S"",IF(C38=""A+6"",""S"",IF(C38=""A+9"",""S"",IF(C38=FALSE,"" "",""T""))))))",28,"=B37& "" -""&B38",226,1.51,"=IF(I38>15,0)",151.866226,,9.87373489615742,78.02382502159557,Good,Good,4 NO'S LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02382502159557 9.87373489615742, 78.0250650403432 9.87494591361102)"
34,33,C+0,0°35'3''RT,"=IF(C39=""A+0"",""S"",IF(C39=""DA+0"",""S"",IF(C39=""A+3"",""S"",IF(C39=""A+6"",""S"",IF(C39=""A+9"",""S"",IF(C39=FALSE,"" "",""T""))))))",26,"=B38& "" -""&B39",194,1.14,"=IF(I39>15,0)",151.442566,0°35'3''RT,9.87494591361102,78.0250650403432,Good,Good,2 NO'S LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0250650403432 9.87494591361102, 78.02687796216915 9.876752884418343)"
35,32,C+0,0°34'11''RT,"=IF(C40=""A+0"",""S"",IF(C40=""DA+0"",""S"",IF(C40=""A+3"",""S"",IF(C40=""A+6"",""S"",IF(C40=""A+9"",""S"",IF(C40=FALSE,"" "",""T""))))))",26,"=B39& "" -""&B40",285,0.34,"=IF(I40>15,0)",148.938141,0°34'11''RT,9.876752884418343,78.02687796216915,Good,Good,2 NO'S LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02687796216915 9.876752884418343, 78.02849097560565 9.878328933780082)"
36,31,A+0,,"=IF(C41=""A+0"",""S"",IF(C41=""DA+0"",""S"",IF(C41=""A+3"",""S"",IF(C41=""A+6"",""S"",IF(C41=""A+9"",""S"",IF(C41=FALSE,"" "",""T""))))))",28,"=B40& "" -""&B41",251,2.2,"=IF(I41>15,0)",148.091063999999,,9.878328933780082,78.02849097560565,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02849097560565 9.878328933780082, 78.02935900549288 9.879190928760098)"
37,30,B+0,3°35'56''RT,"=IF(C42=""A+0"",""S"",IF(C42=""DA+0"",""S"",IF(C42=""A+3"",""S"",IF(C42=""A+6"",""S"",IF(C42=""A+9"",""S"",IF(C42=FALSE,"" "",""T""))))))",26,"=B41& "" -""&B42",137,3.1,"=IF(I42>15,0)",147.247238,3°35'56''RT,9.879190928760098,78.02935900549288,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02935900549288 9.879190928760098, 78.03005101541449 9.879863911812544)"
38,29A,B+0,2°19'47''RT,"=IF(C43=""A+0"",""S"",IF(C43=""DA+0"",""S"",IF(C43=""A+3"",""S"",IF(C43=""A+6"",""S"",IF(C43=""A+9"",""S"",IF(C43=FALSE,"" "",""T""))))))",26,"=B42& "" -""&B43",109,0.25,"=IF(I43>15,0)",147.375885,2°19'47''RT,9.879863911812544,78.03005101541449,Good,Good,,NH-7 ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03005101541449 9.879863911812544, 78.03109799893335 9.880893880144223)"
39,29,A+0,,"=IF(C44=""A+0"",""S"",IF(C44=""DA+0"",""S"",IF(C44=""A+3"",""S"",IF(C44=""A+6"",""S"",IF(C44=""A+9"",""S"",IF(C44=FALSE,"" "",""T""))))))",28,"=B43& "" -""&B44",164,0.18,"=IF(I44>15,0)",146.529556,,9.880893880144223,78.03109799893335,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03109799893335 9.880893880144223, 78.03171700247881 9.881505926754542)"
40,28,C+0,21°32'30''RT,"=IF(C45=""A+0"",""S"",IF(C45=""DA+0"",""S"",IF(C45=""A+3"",""S"",IF(C45=""A+6"",""S"",IF(C45=""A+9"",""S"",IF(C45=FALSE,"" "",""T""))))))",26,"=B44& "" -""&B45",98,1.35,"=IF(I45>15,0)",148.279266,21°32'30''RT,9.881505926754542,78.03171700247881,Good,Good,,NEAR THIRUMANGALAM - MADURAI ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03171700247881 9.881505926754542, 78.03397299170406 9.882472863267141)"
41,27,B+0,1°24'39''RT,"=IF(C46=""A+0"",""S"",IF(C46=""DA+0"",""S"",IF(C46=""A+3"",""S"",IF(C46=""A+6"",""S"",IF(C46=""A+9"",""S"",IF(C46=FALSE,"" "",""T""))))))",26,"=B45& "" -""&B46",272,1.61,"=IF(I46>15,0)",148.855605999999,1°24'39''RT,9.882472863267141,78.03397299170406,Good,Good,,NEAR THIRUMANGALAM - MADURAI ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03397299170406 9.882472863267141, 78.03614097094659 9.883339887486686)"
42,26,B+0,2°23'29''RT,"=IF(C47=""A+0"",""S"",IF(C47=""DA+0"",""S"",IF(C47=""A+3"",""S"",IF(C47=""A+6"",""S"",IF(C47=""A+9"",""S"",IF(C47=FALSE,"" "",""T""))))))",26,"=B46& "" -""&B47",259,0.55,"=IF(I47>15,0)",148.491791,2°23'29''RT,9.883339887486686,78.03614097094659,Good,Good,4 NO'S LT,NEAR THIRUMANGALAM - MADURAI ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03614097094659 9.883339887486686, 78.03833702956469 9.884200876738486)"
