SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
55,55,S,,PA,20.9,T54-T55,266.07925574913605,35.98,33,9.099513512,78.11091006,NOT AVAILABLE,,CART TRACK,AGRI LAND,"SC line: cart  track,T.No.54  To T.No.55  earth wire is not available,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11091006 9.099513512, 78.11305214 9.10071955)"
56,56,S,,PA,20.9,T55-T56,270.8594917757255,42.980000000000004,32,9.10071955,78.11305214,NOT AVAILABLE,,,AGRI LAND,"SC line: Agri land, T.No.55  To T.No.56  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11305214 9.10071955, 78.11517879 9.101934853)"
57,57,S,,PA,20.9,T56-T57,269.89383461278777,44.78,31,9.101934853,78.11517879,NOT AVAILABLE,,CART TRACK,AGRI LAND,"SC line :cart track,T.No.56  To T.No.57  earth wire is not available , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11517879 9.101934853, 78.11730847 9.103158759)"
58,58,S,,PA,20.9,T57-T58,270.65507156708173,40.55,32,9.103158759,78.11730847,NOT AVAILABLE,,,AGRI LAND,"SC line: T.No.57  To T.No.58  earth wire is not available, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11730847 9.103158759, 78.11941702 9.104353529)"
59,59,S,,PA,20.9,T58-T59,267.0324322849207,39.87,30,9.104353529,78.11941702,NOT AVAILABLE,,,AGRI LAND,"SC line:  Agri land,  T.No.58  To T.No.59  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11941702 9.104353529, 78.12153596 9.105551605)"
60,60,S,,PA,20.9,T59-T60,268.206943804613,42.98,30,9.105551605,78.12153596,NOT AVAILABLE,,,AGRI LAND,"SC line:  Agri land, T.No.59  To T.No.60  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12153596 9.105551605, 78.1236653 9.106785762)"
61,61,S,,PA,20.9,T60-T61,271.18914496156526,38.76,30,9.106785762,78.1236653,NOT AVAILABLE,,,AGRI LAND,"SC line:  agri land,T.No.60  To T.No.61  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1236653 9.106785762, 78.1258228 9.10799343)"
62,62,S,,PA+3,23.9,T61-T62,272.4188143373987,36.97,28,9.10799343,78.1258228,NOT AVAILABLE,,THAR ROAD,AGRI LAND,"SC line: tar road, T.No.61  To T.No.62  earth wire is not available, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1258228 9.10799343, 78.12799674 9.109175272)"
63,63,T,"02°99'97""LT",PB,20.85,T62-T63,272.6107645746936,42.980000000000004,27,9.109175272,78.12799674,NOT AVAILABLE,,,AGRI LAND,"SC line:  T.No.62  To T.No.63  earth wire is not available, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12799674 9.109175272, 78.1300446 9.110153848)"
64,64,S,,PA,20.9,T63-T64,249.98625714631146,40.980000000000004,27,9.110153848,78.1300446,NOT AVAILABLE,,,AGRI LAND,"SC line: Agri land, T.No.63  To T.No.64  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1300446 9.110153848, 78.13224234 9.111646867)"
65,65,S,,PA,20.9,T64-T65,292.87117348243555,38.57,26,9.111646867,78.13224234,NOT AVAILABLE,,,AGRI LAND,"SC line:  Agri land, T.No.64  To T.No.65  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13224234 9.111646867, 78.13446354 9.112818766)"
66,66,S,,PA,20.9,T65-T66,276.66316735156704,44.980000000000004,26,9.112818766,78.13446354,NOT AVAILABLE,,,AGRI LAND,"sc line : Agri land, T.No.65  To T.No.66  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13446354 9.112818766, 78.13654862 9.114020455)"
67,67,S,,PA,20.9,T66-T67,265.1667454734954,40.56,26,9.114020455,78.13654862,NOT AVAILABLE,,,AGRI LAND,"SC line:  Agri land, T.No.66  To T.No.67  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13654862 9.114020455, 78.13879933 9.115380709)"
68,68,S,,PA,20.9,T67-T68,289.796821362865,39.58,25,9.115380709,78.13879933,NOT AVAILABLE,,CART TRACK,AGRI LAND,"SC line :  Agri land,T.No.67  To T.No.68  earth wire is not available,cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13879933 9.115380709, 78.14092632 9.116481422)"
69,69,T,"04°32'92""RT",PB+3,23.85,T68-T69,263.8177066479725,44.09,25,9.116481422,78.14092632,AVAILABLE,LT LINE,THAR ROAD,AGRI LAND,"sc line:  tar road, LT line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14092632 9.116481422, 78.1431549 9.117856564)"
70,70,S,,PA,20.9,T69-T70,288.5831938730938,37.980000000000004,25,9.117856564,78.1431549,AVAILABLE,,CART TRACK,AGRI LAND,"SC line :  cart track, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1431549 9.117856564, 78.1454026 9.119374709)"
71,71,S,,PA,20.9,T70-T71,298.97051897802857,41.78,23,9.119374709,78.1454026,AVAILABLE,,,AGRI LAND,SC line :  Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1454026 9.119374709, 78.14773209 9.120830944)"
72,72,T,"10°67'69""RT",PB,20.85,T71-T72,302.7520496941394,42.980000000000004,22,9.120830944,78.14773209,AVAILABLE,,NALA,AGRI LAND,"SC line: Nala, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14773209 9.120830944, 78.14989865 9.122828084)"
73,73,S,,PA,20.9,T72-T73,325.0834340964931,37.98,22,9.122828084,78.14989865,AVAILABLE,"33KV LINE, 11KV LINE",,AGRI LAND,"SC line:  33kv line, 11kv line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14989865 9.122828084, 78.15197803 9.124807007)"
74,74,T,"34°74'07""RT",PC,21.65,T73-T74,316.71919391952474,42.980000000000004,23,9.124807007,78.15197803,NOT AVAILABLE,33KV LINE,,AGRI LAND,"110 kv,DC tower: SC line : 33 kv Line , fencing,T.No.73  To T.No.74  earth wire is not available, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15197803 9.124807007, 78.15204307 9.125124798)"
Gantry,Vilathikulam,,,,18,T74-Vilathikulam Gantry,35.8979649701696,,22,9.125124798,78.15204307,AVAILABLE,,,,Vilathikulam gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H80)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
