S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,TN 20,,T,SC,23,TN 19 - TN 20,204.4426129,4.04,23.418507,19°7'16''LT,8.137480002,77.56457199,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56457199 8.137480002, 77.56225599 8.13750104)"
21,TN 21,,T,SC,23,TN 20 - TN 21,257.3977792,3.02,23.893467,2°54'19''RT,8.13750104,77.56225599,GOOD,AVAILABLE,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56225599 8.13750104, 77.55957596 8.137660967)"
22,TN 22,,S,SA,23,TN 21 - TN 22,298.0578525,5.59,20.576044,,8.137660967,77.55957596,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55957596 8.137660967, 77.55708301 8.137802035)"
23,TN 23,,S,SA,23,TN 22 - TN 23,277.3412346,7.01,24.119509,,8.137802035,77.55708301,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55708301 8.137802035, 77.55434901 8.137955004)"
24,TN 24,,S,SA,23,TN 23 - TN 24,303.9531471,1.43,20.747852,,8.137955004,77.55434901,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55434901 8.137955004, 77.55171298 8.138102023)"
25,TN 25,,T,SC,29,TN 24 - TN 25,293.1293648,1.59,24.061428,48°0'21''LT,8.138102023,77.55171298,GOOD,AVAILABLE,LT -2NO,NH ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55171298 8.138102023, 77.54985555 8.136263872)"
26,TN 26,,T,SC,29,TN 25 - TN 26,290.6632477,NIL,24.061428,40°21'58''LT,8.136263872,77.54985555,GOOD,AVAILABLE,"HT,LT -2NO","ROAD, POND",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54985555 8.136263872, 77.54964726 8.133808309)"
27,TN 27,,S,SA,23,TN 26 - TN 27,274.702412,NIL,24.061428,,8.133808309,77.54964726,GOOD,AVAILABLE,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54964726 8.133808309, 77.54953402 8.131058961)"
28,TN 28,,S,SA,23,TN 27 - TN 28,306.4998725,2.08,24.24287,,8.131058961,77.54953402,GOOD,AVAILABLE,"LT,HT","ROAD, POND",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54953402 8.131058961, 77.549458 8.129491964)"
29,TN 29,2W,T,SC,29,TN 28 - TN 29,175.6068652,2.19,26.065884,14°8'14''RT,8.129491964,77.549458,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.549458 8.129491964, 77.54982797 8.127611987)"
30,TN 30,,S,SA,29,TN 29 - TN 30,214.0013654,3.11,21.33707,,8.127611987,77.54982797,GOOD,AVAILABLE,HT,NH ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54982797 8.127611987, 77.55016099 8.125750031)"
31,TN 31,,T,SC,23,TN 30 - TN 31,211.291612,3.48,16.799589,55°2'13''LT,8.125750031,77.55016099,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55016099 8.125750031, 77.54874201 8.124328963)"
32,TN 32,,S,SA,23,TN 31 - TN 32,223.841988,2.96,16.79278,,8.124328963,77.54874201,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54874201 8.124328963, 77.54755103 8.123111995)"
33,TN 33,,T,SC,23,TN 32 - TN 33,190.107409,2.83,18.928366,9°34'53''LT,8.123111995,77.54755103,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54755103 8.123111995, 77.54646499 8.121549021)"
34,TN 34,,S,SA,23,TN 33 - TN 34,212.374794,4.07,19.747013,,8.121549021,77.54646499,GOOD,AVAILABLE,LT,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54646499 8.121549021, 77.54504803 8.11938297)"
35,TN 35,,S,SA,23,TN 34 - TN 35,288.1275381,3.69,19.797129,,8.11938297,77.54504803,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54504803 8.11938297, 77.54362402 8.117195042)"
36,TN 36,,S,SA,23,TN 35 - TN 36,290.5810446,4.23,20.140476,,8.117195042,77.54362402,GOOD,AVAILABLE,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54362402 8.117195042, 77.54237898 8.115301989)"
37,TN 37,,S,SA,23,TN 36 - TN 37,252.4679217,4.23,18.769871,,8.115301989,77.54237898,GOOD,AVAILABLE,"LT -2NO,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54237898 8.115301989, 77.54124801 8.113582022)"
38,TN 38,,T,SC,23,TN 37 - TN 38,229.5530764,3.82,23.246902,22°45'13''RT,8.113582022,77.54124801,GOOD,AVAILABLE,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54124801 8.113582022, 77.53852774 8.111752756)"
39,TN 39,,T,SC,23,TN 38 - TN 39,363.8890839,NIL,24.792002,9°2'60''LT,8.111752756,77.53852774,GOOD,AVAILABLE,,ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53852774 8.111752756, 77.537436 8.110736031)"
40,TN 40,,T,SC,29,TN 39 - TN 40,166.781255,2.19,24.420385,47°41'38''RT,8.110736031,77.537436,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.537436 8.110736031, 77.53595559 8.110855557)"
41,TN 41,,T,SC,29,TN 40 - TN 41,165.7883844,3.73,27.279348,28°50'55''LT,8.110855557,77.53595559,GOOD,AVAILABLE,LT,NH ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53595559 8.110855557, 77.53399724 8.109977804)"
42,TN 42,2W,T,SC,23,TN 41 - TN 42,238.7965339,4.38,27.945814,1°20'23''LT,8.109977804,77.53399724,GOOD,AVAILABLE,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53399724 8.109977804, 77.53287222 8.109441698)"
43,LILO : 43,3W,T,DC,26,TN 42 - LILO : 43,139.5171108,3.18,27.479445,,8.109441698,77.53287222,GOOD,AVAILABLE,,,PLAIN,"Common tower for 
110KV Kanyakumari - Thengamputhur Link",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
