SL.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,16,T,"23°33'27""RT",HCR+3,23.94,T15-T16,269.3709624030725,2.34,52,8.665219797606845,77.69614632892271,AVAILABLE,,,PLIAN LAND,"Dc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69614632892271 8.665219797606845, 77.69488737117125 8.663364044437548)"
17,17,T,"71°34'13""RT",KCR,24,T16-T17,247.8105796975148,2.49,54,8.663364044437548,77.69488737117125,AVAILABLE,LT LINE,ROAD,PLIAN LAND,"Dc line, plain land, Lt  line,Road ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69488737117125 8.663364044437548, 77.69258133825721 8.664004467566796)"
18,18,T,"83°34'18""LT",KC,24,T17-T18,263.6745287850748,2.53,56,8.664004467566796,77.69258133825721,AVAILABLE,,,PLIAN LAND,"Dc line,  plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69258133825721 8.664004467566796, 77.69163351921814 8.661672404509863)"
19,19,T,"82°44'03""RT",KC,24,T18-T19,278.4148763625798,2.82,58,8.661672404509863,77.69163351921814,AVAILABLE,,,PLIAN LAND,"Dc line,  plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69163351921814 8.661672404509863, 77.68988941221716 8.662129522874485)"
20,20,T,"56°34'50""LT",KCR,30,T19-T20,198.63429442064913,2.71,56,8.662129522874485,77.68988941221716,AVAILABLE,,,PLIAN LAND,"Dc line,  plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68988941221716 8.662129522874485, 77.68828678863699 8.660702330537983)"
21,21,T,"52°19'14""RT",KCR+9,33,T20-T21,236.863692399293,2.38,54,8.660702330537983,77.68828678863699,AVAILABLE,,RAILWAY CROSSING,PLIAN LAND,"Dc line,plain land, railway crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68828678863699 8.660702330537983, 77.68694166139623 8.660950296621762)"
22,22,T,"53°08'00""LT",KCR+9,33,T21-T22,161,2.54,52,8.660950296621762,77.68694166139623,AVAILABLE,,ROAD,PLIAN LAND,"Dc line, Road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68694166139623 8.660950296621762, 77.68528910176144 8.659436054871911)"
23,23,T,"02°38'22""RT",HCR+3,23.94,T22-T23,253,2.76,51,8.659436054871911,77.68528910176144,AVAILABLE,,POND,PLIAN LAND,"Dc line, Pond. plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68528910176144 8.659436054871911, 77.68357215165192 8.657989887837934)"
24,24,S,,GCR,23.62,T23-T24,245,2.68,51,8.657989887837934,77.68357215165192,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68357215165192 8.657989887837934, 77.68183998185354 8.656521226848765)"
25,25,S,,GCR,23.62,T24-T25,250,2.51,50,8.656521226848765,77.68183998185354,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68183998185354 8.656521226848765, 77.68005609467077 8.655066480284237)"
26,26,T,"12°31'18""LT",HCR,21.94,T25-T26,250,2.36,50,8.655066480284237,77.68005609467077,AVAILABLE,,"POND, ROAD",PLIAN LAND,"Dc line, Pond,  Road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68005609467077 8.655066480284237, 77.6786221187293 8.65314969438081)"
27,27,S,,GCR,23.62,T26-T27,264.47466039110014,1.84,49,8.65314969438081,77.6786221187293,AVAILABLE,,,PLIAN LAND,"Dc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6786221187293 8.65314969438081, 77.67715427800749 8.651341619680565)"
28,28,S,,GCR,23.62,T27-T28,257.2525792620962,1.95,50,8.651341619680565,77.67715427800749,AVAILABLE,,,PLIAN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67715427800749 8.651341619680565, 77.67584536493084 8.6497682075533)"
29,29,S,,GCR,23.62,T28-T29,226.06670940457747,1.37,49,8.6497682075533,77.67584536493084,AVAILABLE,,CART TRACK,PLIAN LAND,"Dc line, plain land, cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67584536493084 8.6497682075533, 77.67432220388163 8.647680022533137)"
30,30,S,,GCR,23.62,T29-T30,285.57748747748644,1.9,50,8.647680022533137,77.67432220388163,AVAILABLE,"11KV LINE,LT LINE",,PLIAN LAND,"Dc line, plain land, lt Line, 11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67432220388163 8.647680022533137, 77.6728929240674 8.645768838820256)"
31,31,T,"37°52'26""LT",KCR,24,T30-T31,263.6690050291203,2.82,52,8.645768838820256,77.6728929240674,AVAILABLE,,POND,PLIAN LAND,"Dc line, Pond, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6728929240674 8.645768838820256, 77.6729277851741 8.643316309501275)"
32,32,S,,GCR,23.62,T31-T32,270,1.52,52,8.643316309501275,77.6729277851741,AVAILABLE,11KV LINE,ROAD,PLIAN LAND,"Dc line,plain land,11kv Line, Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6729277851741 8.643316309501275, 77.67292577826407 8.64095658286957)"
33,33,S,,GCR+3,26.62,T32-T33,261.15996888105553,1.45,52,8.64095658286957,77.67292577826407,AVAILABLE,,POND,PLIAN LAND,"Dc line, pond, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67292577826407 8.64095658286957, 77.67288889450049 8.638358853653285)"
34,34,S,,GCR,23.62,T33-T34,287.52927955253233,1.86,55,8.638358853653285,77.67288889450049,AVAILABLE,,,PLIAN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67288889450049 8.638358853653285, 77.6729261088587 8.636075990382496)"
35,35,S,,GCR,23.62,T34-T35,252.68619041017737,1.59,54,8.636075990382496,77.6729261088587,AVAILABLE,LT LINE-2NOS,,PLIAN LAND,"Dc line,plain land, lt line-2nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6729261088587 8.636075990382496, 77.6729780819662 8.633598546438577)"
36,36,T,"27°35'12""RT",HCR,21.94,T35-T36,274.24760563591605,2.64,55,8.633598546438577,77.6729780819662,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"Dc line, cocount gradan, lt line, cart track, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6729780819662 8.633598546438577, 77.67182808159077 8.631495678603361)"
37,37,S,,GCR,23.62,T36-T37,264.96962745373077,1.33,56,8.631495678603361,77.67182808159077,AVAILABLE,,,AGRI LAND,"Dc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67182808159077 8.631495678603361, 77.67073844068098 8.629427946278772)"
38,38,S,,GCR,23.62,T37-T38,258.40675889383374,1.53,55,8.629427946278772,77.67073844068098,AVAILABLE,,,AGRI LAND,"Dc line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67073844068098 8.629427946278772, 77.66972422231662 8.627329699350947)"
39,39,S,,GCR+3,26.62,T38-T39,257.69388894765945,1.93,56,8.627329699350947,77.66972422231662,AVAILABLE,LT LINE,ODAI(NALA),AGRI LAND,"Dc line,agri land, odai( nala), lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66972422231662 8.627329699350947, 77.66867581904101 8.625262921695846)"
40,40,T,"25°36'59""RT",HCR+3,23.94,T39-T40,256.23453007941185,2.42,57,8.625262921695846,77.66867581904101,AVAILABLE,,RIVER,PLIAN LAND,"Dc line, River ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66867581904101 8.625262921695846, 77.66673825576206 8.623799473910568)"
41,41,T,"21°57'04""LT",HCR+3,24.94,T40-T41,267.9126131595823,2.58,59,8.623799473910568,77.66673825576206,AVAILABLE,,"ROAD, WELL",AGRI LAND,"Dc Line,compound wall,Road (sengulam to thidiyur),well,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66673825576206 8.623799473910568, 77.66563989153086 8.621981297103753)"
42,42,S,,GCR+3,26.62,T41-T42,234.79227865711607,1.73,59,8.621981297103753,77.66563989153086,AVAILABLE,LT LINE,ROAD,PLIAN LAND,"Dc Line,Lt line,Road (sengulam to thidiyur), Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66563989153086 8.621981297103753, 77.66465485396498 8.620389187433318)"
43,43,S,,GCR,23.62,T42-T43,206.92955045140073,1.92,60,8.620389187433318,77.66465485396498,AVAILABLE,,"CART TRACK,WELL",AGRI LAND,"Dc Line,Cart track,well,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66465485396498 8.620389187433318, 77.66365740501942 8.618664810819222)"
44,44,S,,GCR,23.62,T43-T44,220.20763628212853,1.84,60,8.618664810819222,77.66365740501942,AVAILABLE,LT LINE,,AGRI LAND,"Dc Line,Lt line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66365740501942 8.618664810819222, 77.66256909969111 8.616853241457244)"
45,45,T,"07°09'19""LT",HCR+3,24.94,T44-T45,233.5955832737886,2.74,60,8.616853241457244,77.66256909969111,AVAILABLE,,,AGRI LAND,"Dc Line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66256909969111 8.616853241457244, 77.66169537138434 8.614926962835442)"
46,46,S,,GCR,23.62,T45-T46,233.9036261304273,1.71,62,8.614926962835442,77.66169537138434,AVAILABLE,LT LINE,WELL,AGRI LAND,"Dc Line,well,Lt line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66169537138434 8.614926962835442, 77.66069926273653 8.61284421539831)"
47,47,S,,GCR+3,26.62,T46-T47,255.28531798176374,1.86,63,8.61284421539831,77.66069926273653,AVAILABLE,,,AGRI LAND,"Dc Line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66069926273653 8.61284421539831, 77.65971858293722 8.610513165912694)"
48,48,S,,GCR,23.62,T47-T48,279.6862863297891,1.93,65,8.610513165912694,77.65971858293722,AVAILABLE,"LT LINE, 11KV LINE",,AGRI LAND,"Dc Line,Lt line,11kv line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65971858293722 8.610513165912694, 77.65872649996469 8.608201986909894)"
49,49,S,,GCR+3,26.62,T48-T49,278.1501692414058,1.67,66,8.608201986909894,77.65872649996469,AVAILABLE,,"ROAD,POND",PLIAN LAND,"Dc Line,Road,Pond, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65872649996469 8.608201986909894, 77.65776157083542 8.605950801289774)"
50,50,T,"06°36'35""RT",HCR,21.94,T49-T50,270.8693728368833,2.72,64,8.605950801289774,77.65776157083542,AVAILABLE,,POND,WATER LOGGED AREA,"TDc Line,water logged area,pond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65776157083542 8.605950801289774, 77.65653111367729 8.603884247195616)"
51,51,S,,GCR+3,26.62,T50-T51,265.854446645103,1.48,65,8.603884247195616,77.65653111367729,AVAILABLE,LT LINE,ROAD,WATER LOGGED AREA,"Dc Line,water logged area,Lt line,Road,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65653111367729 8.603884247195616, 77.65527852179271 8.601687739056294)"
52,52,S,,GCR,23.62,T51-T52,279.5195460232032,1.79,69,8.601687739056294,77.65527852179271,AVAILABLE,11KV LINE,,AGRI LAND,"Dc Line,11kv line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65527852179271 8.601687739056294, 77.6540688466347 8.599662273602712)"
53,53,T,"02°12'56""RT",HCR+3,23.94,T52-T53,260.7757842514493,2.59,71,8.599662273602712,77.6540688466347,AVAILABLE,LT LINE,POND,PLIAN LAND,"Dc Line,pond,Lt line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6540688466347 8.599662273602712, 77.65384488196491 8.599254523301536)"
54,53A,DP,,DP,8,T53-T53A,53,2.91,71,8.599254523301536,77.65384488196491,AVAILABLE,230KV DC TOWER,POND,PLIAN LAND,"Dc Line,pond,230 kv dc tower sc line crossing, our line is below, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65384488196491 8.599254523301536, 77.65361923736994 8.59885837745565)"
55,53B,DP,,DP,8,T53A-T53B,53,2.75,72,8.59885837745565,77.65361923736994,AVAILABLE,,POND,PLIAN LAND,"Dp tower,pond, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65361923736994 8.59885837745565, 77.65373826265363 8.59929927540704)"
56,53C,DP,,DP,8,T53B-T53C,53,2.47,72,8.59929927540704,77.65373826265363,AVAILABLE,,POND,PLIAN LAND,"Dp tower,pond, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65373826265363 8.59929927540704, 77.65351932744439 8.598903137251146)"
57,53D,DP,,DP,8,T53C-T53D,53,2.88,72,8.598903137251146,77.65351932744439,AVAILABLE,,POND,WATER LOGGED AREA,"Dp tower,pond, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65351932744439 8.598903137251146, 77.65333392183469 8.598514944312038)"
58,54,T,"45°48'19""LT",KCR,24,T53D-T54,50,2.43,72,8.598514944312038,77.65333392183469,AVAILABLE,LT LINE,POND,PLIAN LAND,"Dc Line,pond,Lt line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65333392183469 8.598514944312038, 77.65398167500976 8.595784960429018)"
59,55,T,"22°02'38""RT",HCR,21.94,T54-T55,310.4410316340982,3.2,74,8.595784960429018,77.65398167500976,AVAILABLE,,,PLIAN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65398167500976 8.595784960429018, 77.65355855275685 8.59305100123533)"
60,56,T,"53°10'23""RT",KCR,24,T55-T56,306.1419383569989,2.58,78,8.59305100123533,77.65355855275685,AVAILABLE,,,PLIAN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65355855275685 8.59305100123533, 77.65319210031484 8.592773204645113)"
61,56A,DP,,DP,8,T56-T56A,53,2.98,78,8.592773204645113,77.65319210031484,AVAILABLE,400KV DC LINE,,PLIAN LAND,"Dp tower,our line is below,400 kv Dc line koodankulam to tvl( t.no 155 to 156 ), plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65319210031484 8.592773204645113, 77.65280485145348 8.592559715592548)"
62,56B,DP,,DP,8,T56A-T56B,53,2.47,78,8.592559715592548,77.65280485145348,AVAILABLE,,,PLIAN LAND,"Dp tower, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65280485145348 8.592559715592548, 77.65313643606648 8.592873319313657)"
63,56C,DP,,DP,8,T56B-T56C,53,2.58,77,8.592873319313657,77.65313643606648,AVAILABLE,,,PLIAN LAND,"Dp tower, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65313643606648 8.592873319313657, 77.65274349768525 8.592644589779576)"
64,56D,DP,,DP,8,T56C-T56D,53,2.95,77,8.592644589779576,77.65274349768525,AVAILABLE,,,PLIAN LAND,"Dp tower, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65274349768525 8.592644589779576, 77.65233747806958 8.592402920289501)"
65,57,T,"36°36'52""LT",KCR+3,27,T56D-T57,53,2.73,78,8.592402920289501,77.65233747806958,AVAILABLE,,"ROAD,POND",PLIAN LAND,"Dc Line,Road,Pond, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65233747806958 8.592402920289501, 77.65140004284856 8.590328337564667)"
66,58,S,,GCR,23.62,T57-T58,251.75110268873314,1.98,77,8.590328337564667,77.65140004284856,AVAILABLE,,POND,PLIAN LAND,"Dc Line,pond, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65140004284856 8.590328337564667, 77.6504334446349 8.588396619535377)"
67,59,T,"17°42'43""LT",HCR+3,24.94,T58-T59,238.83454624701176,2.85,80,8.588396619535377,77.6504334446349,AVAILABLE,LT LINE,ROAD,PLIAN LAND,"Dc Line,Lt line,plain land,Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6504334446349 8.588396619535377, 77.65012901474954 8.586279226929717)"
68,60,S,,GCR,23.62,T59-T60,236.72298454725063,1.78,79,8.586279226929717,77.65012901474954,AVAILABLE,,CART TRACK,PLIAN LAND,"Dc Line,cart track,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65012901474954 8.586279226929717, 77.64991108489392 8.58415818186386)"
69,61,S,,GCR,23.62,T60-T61,235.96399871381294,1.54,82,8.58415818186386,77.64991108489392,AVAILABLE,,POND,PLIAN LAND,"Dc Line,pond, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64991108489392 8.58415818186386, 77.64953322529666 8.581668134509506)"
70,62,S,,GCR,23.62,T61-T62,278.7036192894341,1.74,81,8.581668134509506,77.64953322529666,AVAILABLE,,,PLIAN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64953322529666 8.581668134509506, 77.64915268999304 8.578942689192006)"
71,63,S,,GCR,23.62,T62-T63,304.52849341225686,1.47,86,8.578942689192006,77.64915268999304,AVAILABLE,,,PLIAN LAND,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64915268999304 8.578942689192006, 77.64891766303397 8.577093117415231)"
72,64,T,"25°50'16""RT",HCR,21.94,T63-T64,206.3259114532819,2.83,89,8.577093117415231,77.64891766303397,AVAILABLE,11KV LINE,,PLIAN LAND,"Dc Line,11 kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64891766303397 8.577093117415231, 77.64766808432078 8.575209745320501)"
73,65,T( LILO),,KCR,24,T64-T65,249.7865391189333,2.97,83,8.575209745320501,77.64766808432078,AVAILABLE,,,PLIAN LAND,"Dc Line,LILO,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H79)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
