S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23,68,S,SA,22,67-68,295.67888105224705,5.14,158.740601,,9.53444100916385,77.6711110118776,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6711110118776 9.53444100916385, 77.6729360036551 9.53666397370398)"
24,69,T,SC,22,68-69,317.3856794684741,3.88,159.085541,"0°36'52"" R",9.53666397370398,77.6729360036551,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6729360036551 9.53666397370398, 77.6746419724076 9.53869700431823)"
25,70,S,SA,22,69-70,292.84579943872706,4.67,156.950623,,9.53869700431823,77.6746419724076,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6746419724076 9.53869700431823, 77.676115008071 9.54048000276088)"
26,71,S,SA,22,70-71,255.21141927627306,5.14,156.377593999999,,9.54048000276088,77.676115008071,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.676115008071 9.54048000276088, 77.6777160353958 9.54244597814977)"
27,72,S,SA,22,71-72,279.7941342845134,4.9,155.763611,,9.54244597814977,77.6777160353958,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6777160353958 9.54244597814977, 77.6793690305203 9.54439703375101)"
28,73,S,SA,22,72-73,282.15203936129257,3.13,156.21933,,9.54439703375101,77.6793690305203,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6793690305203 9.54439703375101, 77.6811409648507 9.5465419627726)"
29,74,S,SA,22,73-74,307.00803128179115,5.08,155.716385,,9.5465419627726,77.6811409648507,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6811409648507 9.5465419627726, 77.6828890107572 9.54864900559186)"
30,75,T,SC,22,74-75,302.1018030137904,4.17,155.497741999999,"0°3'46"" L",9.54864900559186,77.6828890107572,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6828890107572 9.54864900559186, 77.6846770383417 9.55080902203917)"
31,76,S,SA,22,75-76,309.4198744254583,3.16,154.066802999999,,9.55080902203917,77.6846770383417,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6846770383417 9.55080902203917, 77.6863290276378 9.55279503017664)"
32,77,S,SA,22,76-77,285.05207605618926,4.96,154.318175999999,,9.55279503017664,77.6863290276378,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6863290276378 9.55279503017664, 77.6881990302354 9.55506401136517)"
33,78,S,SA,22,77-78,324.45544595184543,5.3,153.872086,,9.55506401136517,77.6881990302354,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6881990302354 9.55506401136517, 77.6899479981511 9.55717197619378)"
34,79,T,SC,22,78-79,302.24371290437597,6.07,152.744019,"0°7'50"" L",9.55717197619378,77.6899479981511,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6899479981511 9.55717197619378, 77.6916080340743 9.55918204039335)"
35,80,S,SA,22,79-80,287.66894151901835,4.24,152.807799999999,,9.55918204039335,77.6916080340743,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6916080340743 9.55918204039335, 77.6932720094919 9.56119202077388)"
36,81,S,SA,22,80-81,287.9360567152741,5.24,151.419128,,9.56119202077388,77.6932720094919,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6932720094919 9.56119202077388, 77.6949889585375 9.56327802501618)"
37,82,S,SA,22,81-82,298.13273182892766,4.14,149.254501,,9.56327802501618,77.6949889585375,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6949889585375 9.56327802501618, 77.6967700291424 9.56540401093661)"
38,83,S,SA,22,82-83,306.02759176145946,3.99,146.849121,,9.56540401093661,77.6967700291424,GOOD,Available,LT -3NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6967700291424 9.56540401093661, 77.6983139757066 9.56729304045438)"
39,84,S,SA,22,83-84,269.2261271638712,4.73,147.499527,,9.56729304045438,77.6983139757066,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6983139757066 9.56729304045438, 77.6999770291149 9.56927896477282)"
40,85,T,SC,22,84-85,285.8180141863283,3.84,147.548767,"3°6'15"" L",9.56927896477282,77.6999770291149,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6999770291149 9.56927896477282, 77.7006429713219 9.57016803324222)"
41,86,T,SC,22,85-86,122.61812709799399,5.43,147.04245,"79°16'42"" R",9.57016803324222,77.7006429713219,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7006429713219 9.57016803324222, 77.7005419693887 9.57027900964021)"
42,Gantry (Valayapatty SS),Gantry,H-POLE,12,86-Gantry,16.552499577990066,,147.750671,,9.57027900964021,77.7005419693887,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G47),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
