S.No,Tower No.,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),"Ground Elevation
(m)","Deviation Angle
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,S,GCR,DA+0,24,9-10,299,6.56,303.659912109375,,10.2747822459787,77.8925159666687,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8925159666687 10.2747822459787, 77.8945272881537 10.2735320013016)"
12,11,S,GCR,DA+0,24,10-11,265,3.85,293.566040039062,,10.2735320013016,77.8945272881537,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8945272881537 10.2735320013016, 77.8962689638137 10.2724371571093)"
13,12,S,GCR,DA+0,24,11-12,231,3.21,302.938842773437,,10.2724371571093,77.8962689638137,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8962689638137 10.2724371571093, 77.8984543774276 10.2710372954607)"
14,13,T,HCR,DC+0,22,12-13,290,5.25,306.784057617187,27°33'31''LT,10.2710372954607,77.8984543774276,Good,Good,"22KV, LT",THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8984543774276 10.2710372954607, 77.9007400386035 10.2708259038627)"
15,14,S,GCR,DA+0,24,13-14,256,5.91,301.256591796875,,10.2708259038627,77.9007400386035,Good,Good,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9007400386035 10.2708259038627, 77.9032007139176 10.270559778437)"
16,15,S,GCR,DA+0,24,14-15,275,5.86,304.621215820312,,10.270559778437,77.9032007139176,Good,Good,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9032007139176 10.270559778437, 77.905794410035 10.2702840138226)"
17,16,S,GCR,DA+0,24,15-16,290,5.21,307.264770507812,,10.2702840138226,77.905794410035,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.905794410035 10.2702840138226, 77.9083167761564 10.2700160443782)"
18,17,S,GCR,DA+0,24,16-17,282,4.01,307.985717773437,,10.2700160443782,77.9083167761564,Good,Good,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9083167761564 10.2700160443782, 77.9109522979706 10.2697481587529)"
19,18,S,GCR,DA+0,24,17-18,294,3.21,305.101806640625,,10.2697481587529,77.9109522979706,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9109522979706 10.2697481587529, 77.9134673718363 10.2694563008844)"
20,19,T,HCR,DB+0,22,18-19,282,3.86,307.745483398437,1°17'53''LT,10.2694563008844,77.9134673718363,Good,Good,,CAR TRACK,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9134673718363 10.2694563008844, 77.9162271134555 10.2691986411809)"
21,20,T,HCR,DB+6,28,19-20,308,2.11,301.977661132812,1°31'6''RT,10.2691986411809,77.9162271134555,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9162271134555 10.2691986411809, 77.917348947376 10.269064111635)"
22,21,T,HCR,DB+6,28,20-21,128,2.82,301.977661132812,7°5'16''RT,10.269064111635,77.917348947376,Good,Good,2-LT,DIN-MDU NH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.917348947376 10.269064111635, 77.9192109033465 10.2686046157032)"
23,22,S,GCR,DA+3,27,21-22,215,3.16,303.900268554687,,10.2686046157032,77.9192109033465,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9192109033465 10.2686046157032, 77.9212147649377 10.268094073981)"
24,23,T,HCR,DC+9,31,22-23,231,2.88,301.7373046875,17°50'60''RT,10.268094073981,77.9212147649377,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9212147649377 10.268094073981, 77.9221882391721 10.2674851287156)"
25,24,T,HCR,DD+9,33,23-24,131,4.77,308.466430664062,33°12'42''LT,10.2674851287156,77.9221882391721,Good,Good,,RAILWAY CROSSING,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9221882391721 10.2674851287156, 77.9247087612748 10.267525864765)"
26,25,S,GCR,DA+0,24,24-25,280,4.31,314.955200195312,,10.267525864765,77.9247087612748,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9247087612748 10.267525864765, 77.9280025977641 10.2675370965152)"
27,26,T,HCR,DB+0,22,25-26,365,6.26,319.28125,8°31'27''RT,10.2675370965152,77.9280025977641,Good,Good,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9280025977641 10.2675370965152, 77.9304032586514 10.2671890798956)"
28,27,S,GCR,DA+0,24,26-27,270,5.64,324.808715820312,,10.2671890798956,77.9304032586514,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9304032586514 10.2671890798956, 77.9327658656984 10.2669068612158)"
29,28,S,GCR,DA+0,24,27-28,265,4.89,326.01025390625,,10.2669068612158,77.9327658656984,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9327658656984 10.2669068612158, 77.9358949139714 10.2665007580071)"
30,29,T,HCR,DD+0,24,28-29,350,4.21,326.731323242187,36°51'20''LT,10.2665007580071,77.9358949139714,Good,Good,,CAR TRACK,AGRI,INSULATOR JUMBER WAS BROKEN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9358949139714 10.2665007580071, 77.9379213228821 10.2676311414688)"
31,30,S,GCR,DA+3,27,29-30,259,3.89,322.645751953125,,10.2676311414688,77.9379213228821,Good,Good,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9379213228821 10.2676311414688, 77.9405482113361 10.2689771912992)"
32,31,S,GCR,DA+3,27,30-31,329,6.21,329.374877929687,,10.2689771912992,77.9405482113361,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9405482113361 10.2689771912992, 77.941827 10.269784)"
33,31A(LILO KEELAKOTAI),T,,DB+0,22,31-31A(LILO KEELAKOTAI),171,2.46,322.645751953125,10°26'13''RT,10.269784,77.941827,Good,Good,LT,,AGRI,LILO KEELAKOTAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.941827 10.269784, 77.9427120834589 10.2701392583549)"
34,32,S,GCR,DA+3,27,31A(LILO KEELAKOTAI)-32,109,1.89,331.537841796875,,10.2701392583549,77.9427120834589,Good,NO E/W,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9427120834589 10.2701392583549, 77.9451621137559 10.2713909279555)"
35,33,S,GCR,DA+0,24,32-33,307,5.21,333.460571289062,,10.2713909279555,77.9451621137559,Good,Good,"LT,22KV",THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9451621137559 10.2713909279555, 77.9470061324536 10.2723950799554)"
36,34,T,HCR,DD+0,24,33-34,235,6.26,334.662231445312,40°8'22''LT,10.2723950799554,77.9470061324536,Good,Good,"3-LT, 400KV",THAR ROAD,AGRI,OUR LINE CROSING BELOW THE 400KV(T.NO 130-131),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9470061324536 10.2723950799554, 77.948037693277 10.2750485390424)"
37,35,S,GCR,DA+0,24,34-35,320,4.16,329.374877929687,,10.2750485390424,77.948037693277,Good,Good,LT,CAR TRACK,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.948037693277 10.2750485390424, 77.9490943159908 10.2776074502617)"
38,36,S,GCR,DA+0,24,35-36,312,3.21,324.328002929687,,10.2776074502617,77.9490943159908,Good,Good,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9490943159908 10.2776074502617, 77.9500545468181 10.2801290620118)"
39,37,S,GCR,DA+0,24,36-37,304,1.86,322.645751953125,,10.2801290620118,77.9500545468181,Good,Good,"LT,22KV",MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9500545468181 10.2801290620118, 77.9511227365583 10.2829353231936)"
40,38,S,GCR,DA+0,24,37-38,338,5.28,324.808715820312,,10.2829353231936,77.9511227365583,Good,Good,"LT,22KV",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9511227365583 10.2829353231936, 77.9521040059626 10.2854695916175)"
41,39,T,HCR,DB+0,22,38-39,306,7.43,322.1650390625,12°12'12''RT,10.2854695916175,77.9521040059626,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9521040059626 10.2854695916175, 77.9531223233789 10.287011694163)"
42,40,S,GCR,DA+0,24,39-40,209,4.56,318.07958984375,,10.287011694163,77.9531223233789,Good,Good,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9531223233789 10.287011694163, 77.9544747434556 10.2890789229422)"
43,41,S,GCR,DA+0,24,40-41,278,8.22,316.156982421875,,10.2890789229422,77.9544747434556,Good,Good,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9544747434556 10.2890789229422, 77.955762874335 10.2910691220313)"
44,42,S,GCR,DA+0,24,41-42,267,6.59,316.8779296875,,10.2910691220313,77.955762874335,Good,Good,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.955762874335 10.2910691220313, 77.9571102652698 10.2931549586355)"
45,43,S,GCR,DA+0,24,42-43,279,5.98,316.156982421875,,10.2931549586355,77.9571102652698,Good,Good,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9571102652698 10.2931549586355, 77.9584101308137 10.2951799426227)"
46,44,T,HCR,DB+3,25,43-44,271,5.45,316.8779296875,4°18'12''RT,10.2951799426227,77.9584101308137,Good,Good,"22KV,2-LT",THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9584101308137 10.2951799426227, 77.9600225575268 10.2973185013979)"
47,45,T,HCR,DB+0,22,44-45,301,4.72,305.822875976562,2°6'55''LT,10.2973185013979,77.9600225575268,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9600225575268 10.2973185013979, 77.9616206511855 10.2996097784489)"
48,46,S,GCR,DA+0,24,45-46,313,4.91,320.963500976562,,10.2996097784489,77.9616206511855,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9616206511855 10.2996097784489, 77.9631553776562 10.3017975389957)"
49,47,S,GCR,DA+0,24,46-47,300,3.51,310.629272460937,,10.3017975389957,77.9631553776562,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9631553776562 10.3017975389957, 77.9648267291486 10.3042365051805)"
50,48,T,HCR,DB+0,22,47-48,332,4.24,306.543823242187,6°30'2''RT,10.3042365051805,77.9648267291486,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9648267291486 10.3042365051805, 77.9666139185428 10.3062968607991)"
51,49 LILO KOSAVAPATTY,T,GCR,DC+0,22,48-49,306,5.41,301.256591796875,20°33'20''LT,10.3062968607991,77.9666139185428,Good,Good,"LT, 110 KV",MUD ROAD,AGRI,"LILO KOSAVAPATTY , OUR LINE CROSSING ABOVE THE 110KV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9666139185428 10.3062968607991, 77.9673799406737 10.3083689510822)"
52,50,T,HCR,DB+0,22,49-50,250,2.08,310.629272460937,11°3'59''LT,10.3083689510822,77.9673799406737,Good,Good,22KV,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9673799406737 10.3083689510822, 77.9677472356706 10.3106547798961)"
53,51,S,GCR,DA+0,24,50-51,262,4.99,307.985717773437,,10.3106547798961,77.9677472356706,Good,Good,"LT,22KV",MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9677472356706 10.3106547798961, 77.9679483175277 10.3123403806239)"
54,52,T,HCR,DB+0,22,51-52,193,3.42,305.58251953125,13°18'55''RT,10.3123403806239,77.9679483175277,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9679483175277 10.3123403806239, 77.9687752760946 10.3145838808268)"
55,53,S,GCR,DA+0,24,52-53,270,4.58,306.063110351562,,10.3145838808268,77.9687752760946,Good,NO E/W,22KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9687752760946 10.3145838808268, 77.9697168990969 10.3171616513282)"
56,54,S,GCR,DA+0,24,53-54,309,5.27,300.055053710937,,10.3171616513282,77.9697168990969,Good,NO E/W,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9697168990969 10.3171616513282, 77.9706618748605 10.3196934890002)"
57,55,S,GCR,DA+0,24,54-55,304,4.27,310.629272460937,,10.3196934890002,77.9706618748605,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9706618748605 10.3196934890002, 77.9716247878968 10.3224036935716)"
58,56,S,GCR,DA+0,24,55-56,324,4.63,307.985717773437,,10.3224036935716,77.9716247878968,Good,NO E/W,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9716247878968 10.3224036935716, 77.9721992835402 10.323916375637)"
59,57,T,HCR,DB+0,22,56-57,184,1.96,310.148681640625,12°35'36''RT,10.323916375637,77.9721992835402,Good,NO E/W,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9721992835402 10.323916375637, 77.9737731534987 10.326297674328)"
60,58,S,GCR,DA+0,24,57-58,320,3.22,303.419555664062,,10.326297674328,77.9737731534987,Good,Good,LT,ODAI,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9737731534987 10.326297674328, 77.9754122346639 10.3288431745022)"
61,59,T,HCR,DB+0,22,58-59,340,3.58,300.055053710937,9°21'28''RT,10.3288431745022,77.9754122346639,Good,Good,,ODAI,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9754122346639 10.3288431745022, 77.9770319536328 10.330631956458)"
62,60,S,GCR,DA+0,24,59-60,271,2.25,297.411254882812,,10.330631956458,77.9770319536328,Good,Good,22KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9770319536328 10.330631956458, 77.9786073323339 10.3323588799685)"
63,61,S,GCR,DA+0,24,60-61,263,4.57,302.698608398437,,10.3323588799685,77.9786073323339,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9786073323339 10.3323588799685, 77.9801677912473 10.334120504558)"
64,62,T,HCR,DC+0,22,61-62,264,4.02,295.008056640625,27°20'11''RT,10.334120504558,77.9801677912473,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9801677912473 10.334120504558, 77.9816896934062 10.3347113449126)"
65,63,S,GCR,DA+0,24,62-63,183,3.88,293.08544921875,,10.3347113449126,77.9816896934062,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9816896934062 10.3347113449126, 77.9837793018668 10.3355205338448)"
66,64,S,GCR,DA+0,24,63-64,250,4.97,298.37255859375,,10.3355205338448,77.9837793018668,Good,Good,2-LT,,Plain,INSIDE MEDICAL COLLEGE (UNDER CONTRUCTION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9837793018668 10.3355205338448, 77.9859502986073 10.3364386875182)"
67,65,S,GCR,DA+0,24,64-65,263,2.81,300.776000976562,,10.3364386875182,77.9859502986073,Good,Good,22KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9859502986073 10.3364386875182, 77.9877736140042 10.3371793963015)"
68,66,T,HCR,DB+0,22,65-66,220,2.58,303.659912109375,10°58'32''RT,10.3371793963015,77.9877736140042,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9877736140042 10.3371793963015, 77.9896695166826 10.3375555761158)"
69,67,S,GCR,DA+0,24,66-67,216,2.62,294.046752929687,,10.3375555761158,77.9896695166826,Good,Good,2-LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9896695166826 10.3375555761158, 77.9919203929603 10.3379600867629)"
70,68,T,HCR,DC+0,22,67-68,255,2.48,300.295288085937,17°19'32''RT,10.3379600867629,77.9919203929603,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9919203929603 10.3379600867629, 77.9944953974336 10.3376452624797)"
71,69,T,HCR,DD+0,24,68-69,288,2.06,308.466430664062,32°7'41''LT,10.3376452624797,77.9944953974336,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9944953974336 10.3376452624797, 77.9954245314002 10.3380760084837)"
72,70,T,HCR,DD+0,24,69-70,117,2.71,309.187377929687,26°26'14''LT,10.3380760084837,77.9954245314002,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9954245314002 10.3380760084837, 77.996069 10.338879)"
73,DINDUKAL GANTRY,T,DB,BAY,12,70- Dindukal Gantry,118,NIL,309.187377929687,,10.338879,77.996069,Good,NO E/W,,DIN-NATHAM ROAD,Plain,DINDUKAL SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL KM,,,,,,,=SUM(H6:H78),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
